task_id	tick	event	node	edge	position	detail
1	0	RELEASE	0	-1	-1	release_seconds=0.0
1	0	NODE_SERVICE_START	0	-1	-1	arrival_tick=0;ready_tick=10;SOURCE_FIXED_TRANSFER;reconstructed_transfer_seconds=2.0;basis=HISTORICAL_OD_LOWER_ENVELOPE
1	9	SELECT	0	0	-1	free_flow_seconds=0.8;moving=0;stopped=0;eta_seconds=0.8;equal_score_candidates=1;nodes=0>1
1	10	NODE_SERVICE_FINISH	0	-1	-1	
1	10	ENTER_EDGE	0	0	0	free_flow_seconds=0.8;moving=0;stopped=0;eta_seconds=0.8;equal_score_candidates=1;nodes=0>1
1	11	MOVE	0	0	1	
1	12	MOVE	0	0	2	
1	13	MOVE	0	0	3	
1	14	COMPLETE	1	-1	-1	
