release_hour,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
2,22,60.200000000,74.513636364,65.800000000,101.365000000,129.250000000,136.600000000,59.600000000,63.909090909,63.400000000,72.460000000,73.232000000,73.400000000,59.600000000,64.036363636,63.600000000,72.500000000,73.548000000,73.800000000,-71.600000000,-10.477272727,-0.800000000,-0.605000000,-0.600000000,-0.600000000,-0.000000000,0.127272727,0.000000000,0.780000000,0.800000000,0.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.127272727,0.000000000,0.780000000,0.800000000,0.800000000,0,-230.500000000,2.800000000,0.000000000
3,169,60.200000000,83.743786982,78.900000000,118.120000000,128.784000000,150.700000000,59.600000000,64.457988166,61.800000000,72.600000000,74.248000000,77.400000000,59.600000000,65.802366864,64.600000000,75.440000000,78.264000000,82.400000000,-78.100000000,-17.941420118,-17.000000000,-0.600000000,1.396000000,3.100000000,-1.000000000,1.344378698,0.400000000,5.600000000,7.656000000,9.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,1.344378698,0.400000000,5.600000000,7.656000000,9.600000000,0,-3032.100000000,227.200000000,6.300000000
4,795,60.200000000,93.233081761,87.500000000,145.000000000,258.762000000,303.100000000,59.600000000,75.209559748,67.200000000,95.600000000,224.472000000,261.000000000,59.600000000,87.612327044,74.600000000,136.960000000,227.940000000,314.800000000,-106.100000000,-5.620754717,-0.700000000,32.930000000,49.324000000,59.100000000,-5.200000000,12.402767296,6.000000000,43.920000000,52.212000000,60.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-5.200000000,12.402767296,6.000000000,43.920000000,52.212000000,60.000000000,8,-4468.500000000,9860.200000000,3988.600000000
5,2923,60.200000000,160.718782073,156.200000000,283.140000000,328.056000000,424.200000000,59.600000000,139.356688334,104.000000000,245.200000000,265.824000000,293.800000000,59.600000000,186.670065002,180.400000000,328.020000000,398.556000000,471.400000000,-177.800000000,25.951282928,15.900000000,126.900000000,154.034000000,228.100000000,-39.400000000,47.313376668,36.400000000,147.380000000,173.736000000,198.600000000,2.000000000,2.013889839,2.000000000,2.000000000,2.000000000,5.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.013889839,0.000000000,0.000000000,0.000000000,3.400000000,-39.400000000,47.299486829,36.400000000,147.380000000,173.736000000,198.600000000,1135,75855.600000000,138297.000000000,100956.300000000
6,4629,60.200000000,193.749211493,206.600000000,299.860000000,335.408000000,436.900000000,59.600000000,170.058716785,199.800000000,242.600000000,266.000000000,287.800000000,157.400000000,349.513501836,222.400000000,713.200000000,747.944000000,775.600000000,-209.500000000,155.764290343,2.700000000,487.160000000,508.972000000,530.200000000,-34.200000000,179.454785051,6.200000000,504.320000000,521.544000000,534.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-34.200000000,179.454785051,6.200000000,504.320000000,521.544000000,534.400000000,2114,721032.900000001,830696.200000001,774921.000000000
7,3948,60.200000000,199.511752786,206.600000000,292.700000000,331.553000000,394.200000000,59.600000000,177.037284701,200.400000000,223.800000000,236.906000000,245.600000000,59.600000000,211.345136778,207.600000000,417.570000000,562.706000000,622.200000000,-188.900000000,11.833383992,-1.800000000,255.095000000,327.630000000,384.800000000,-17.400000000,34.307852077,2.200000000,277.000000000,345.506000000,385.600000000,2.000000000,2.143414387,2.000000000,2.000000000,7.000000000,10.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.143414387,0.000000000,0.000000000,5.000000000,8.200000000,-17.400000000,34.164437690,2.200000000,277.000000000,345.506000000,385.600000000,561,46718.200000000,135447.400000000,113775.200000000
8,1986,60.200000000,172.716767372,201.200000000,268.500000000,307.715000000,386.200000000,59.600000000,159.292749245,198.800000000,237.400000000,256.660000000,272.400000000,59.600000000,173.598489426,208.300000000,264.000000000,293.350000000,305.800000000,-160.700000000,0.881722054,0.200000000,42.475000000,55.900000000,66.400000000,-17.600000000,14.305740181,10.100000000,43.000000000,47.400000000,50.400000000,2.000000000,6.097180262,2.000000000,32.800000000,48.800000000,52.000000000,2.000000000,2.626988922,2.000000000,4.800000000,20.400000000,25.200000000,0.000000000,3.470191339,0.000000000,20.350000000,35.660000000,41.200000000,-17.600000000,10.835548842,5.400000000,36.200000000,46.230000000,50.400000000,286,1751.100000000,28411.200000000,19143.800000000
9,2006,60.200000000,154.460418744,160.100000000,268.825000000,311.660000000,480.400000000,59.600000000,138.270687936,158.200000000,222.000000000,239.770000000,252.000000000,59.600000000,148.873180459,171.800000000,229.950000000,263.380000000,285.400000000,-248.800000000,-5.587238285,-0.600000000,23.700000000,33.200000000,45.200000000,-2.200000000,10.602492522,6.600000000,33.000000000,42.380000000,46.800000000,2.000000000,3.373978066,2.000000000,9.800000000,14.000000000,16.200000000,2.000000000,2.031206381,2.000000000,2.000000000,3.400000000,4.800000000,0.000000000,1.342771685,0.000000000,7.600000000,12.000000000,14.200000000,-2.200000000,9.259720837,5.400000000,30.600000000,42.380000000,46.800000000,270,-11208.000000000,21268.600000000,11567.600000000
10,2549,60.200000000,170.259042762,166.800000000,272.120000000,310.412000000,379.100000000,59.600000000,152.590584543,162.200000000,231.120000000,239.800000000,255.200000000,59.600000000,162.172302864,178.000000000,243.400000000,263.304000000,290.200000000,-180.100000000,-8.086739898,-0.800000000,26.660000000,35.304000000,47.500000000,-18.400000000,9.581718321,4.000000000,33.720000000,41.800000000,50.600000000,2.000000000,2.350647313,2.000000000,4.400000000,10.000000000,11.200000000,2.000000000,2.019301687,2.000000000,2.000000000,2.800000000,4.800000000,0.000000000,0.331345626,0.000000000,2.400000000,7.600000000,8.600000000,-18.400000000,9.250372695,3.600000000,33.520000000,41.800000000,50.600000000,200,-20613.100000000,24423.800000000,12597.100000000
11,2357,60.200000000,166.867967756,163.700000000,267.920000000,307.536000000,442.200000000,59.600000000,153.604497242,161.000000000,232.480000000,241.488000000,252.200000000,59.600000000,168.329995757,196.000000000,249.200000000,264.904000000,280.600000000,-185.100000000,1.462028002,-0.200000000,43.300000000,53.700000000,59.200000000,-6.800000000,14.725498515,8.600000000,48.800000000,55.200000000,57.000000000,2.000000000,4.900466695,2.000000000,19.800000000,26.000000000,31.200000000,2.000000000,2.130844294,2.000000000,2.400000000,5.400000000,8.800000000,0.000000000,2.769622401,0.000000000,17.600000000,23.200000000,26.000000000,-6.800000000,11.955876114,5.800000000,36.000000000,37.600000000,39.800000000,474,3446.000000000,34708.000000000,25488.500000000
