raw_bag_id,segment_id,excel_row,leg_kind,start,goal,release_seconds,historical_dh_seconds,current_dh_seconds,v5_seconds,v5_minus_historical,v5_minus_control,v5_source_wait,current_source_wait_seconds,source_wait_delta,after_admission_delta,free_flow_current_seconds,v5_motion_seconds,v5_edge_stopped_seconds,v5_accounting_remaining_seconds
5744,0,9401,ebs_in,53,47,24197.000000000,61.400000000,60.800000000,591.600000000,530.200000000,530.800000000,2.000000000,2.000000000,0.000000000,530.800000000,60.800000000,40.800000000,12.000000000,536.800000000
5713,0,9364,ebs_in,3,47,24160.000000000,68.100000000,70.200000000,598.000000000,529.900000000,527.800000000,2.000000000,2.000000000,0.000000000,527.800000000,65.000000000,42.000000000,16.800000000,537.200000000
5740,0,9395,ebs_in,53,47,24190.000000000,67.400000000,62.600000000,595.000000000,527.600000000,532.400000000,2.000000000,2.000000000,0.000000000,532.400000000,60.800000000,40.800000000,13.800000000,538.400000000
5712,0,9363,direct,3,48,24158.000000000,240.500000000,239.600000000,767.000000000,526.500000000,527.400000000,2.000000000,2.000000000,0.000000000,527.400000000,236.600000000,213.600000000,14.200000000,537.200000000
5738,0,9392,ebs_in,53,47,24187.000000000,67.200000000,61.400000000,592.600000000,525.400000000,531.200000000,2.000000000,2.000000000,0.000000000,531.200000000,60.800000000,40.800000000,13.000000000,536.800000000
5701,0,9350,ebs_in,3,47,24137.000000000,78.000000000,79.200000000,603.000000000,525.000000000,523.800000000,2.000000000,2.000000000,0.000000000,523.800000000,65.000000000,42.000000000,14.000000000,545.000000000
5751,0,9411,ebs_in,3,47,24206.000000000,65.800000000,65.000000000,589.800000000,524.000000000,524.800000000,2.000000000,2.000000000,0.000000000,524.800000000,65.000000000,42.000000000,13.600000000,532.200000000
5755,0,9418,ebs_in,3,47,24217.000000000,65.800000000,67.600000000,587.800000000,522.000000000,520.200000000,2.000000000,2.000000000,0.000000000,520.200000000,65.000000000,42.000000000,15.600000000,528.200000000
5761,0,9428,ebs_in,5,47,24224.000000000,63.100000000,62.000000000,584.400000000,521.300000000,522.400000000,2.000000000,2.000000000,0.000000000,522.400000000,59.600000000,39.600000000,15.200000000,527.600000000
5708,0,9359,direct,4,48,24153.000000000,245.100000000,240.400000000,765.800000000,520.700000000,525.400000000,2.000000000,2.000000000,0.000000000,525.400000000,232.000000000,212.000000000,12.000000000,539.800000000
5753,0,9414,ebs_in,4,47,24209.000000000,64.500000000,60.400000000,585.000000000,520.500000000,524.600000000,2.000000000,2.000000000,0.000000000,524.600000000,60.400000000,40.400000000,12.000000000,530.600000000
5754,0,9416,ebs_in,5,47,24215.000000000,62.200000000,59.600000000,582.600000000,520.400000000,523.000000000,2.000000000,2.000000000,0.000000000,523.000000000,59.600000000,39.600000000,12.000000000,529.000000000
5702,0,9352,direct,4,49,24140.000000000,231.400000000,227.800000000,750.800000000,519.400000000,523.000000000,2.000000000,2.000000000,0.000000000,523.000000000,213.000000000,178.000000000,19.400000000,551.400000000
5780,0,9459,ebs_in,5,47,24245.000000000,60.200000000,59.600000000,579.600000000,519.400000000,520.000000000,2.000000000,2.000000000,0.000000000,520.000000000,59.600000000,39.600000000,12.000000000,526.000000000
5773,0,9447,ebs_in,53,47,24250.000000000,61.400000000,60.800000000,580.000000000,518.600000000,519.200000000,2.000000000,2.000000000,0.000000000,519.200000000,60.800000000,40.800000000,12.000000000,525.200000000
5777,0,9454,ebs_in,4,47,24238.000000000,64.500000000,61.000000000,583.000000000,518.500000000,522.000000000,2.000000000,2.000000000,0.000000000,522.000000000,60.400000000,40.400000000,13.000000000,527.600000000
5765,0,9435,direct,3,48,24227.000000000,239.600000000,236.600000000,756.600000000,517.000000000,520.000000000,2.000000000,2.000000000,0.000000000,520.000000000,236.600000000,213.600000000,13.400000000,527.600000000
5785,0,9467,ebs_in,53,47,24258.000000000,64.800000000,61.600000000,581.000000000,516.200000000,519.400000000,2.000000000,2.000000000,0.000000000,519.400000000,60.800000000,40.800000000,14.200000000,524.000000000
5783,0,9463,ebs_in,53,47,24256.000000000,61.400000000,60.800000000,577.600000000,516.200000000,516.800000000,2.000000000,2.000000000,0.000000000,516.800000000,60.800000000,40.800000000,12.000000000,522.800000000
5736,0,9390,direct,5,49,24187.000000000,228.700000000,215.800000000,744.200000000,515.500000000,528.400000000,2.000000000,2.000000000,0.000000000,528.400000000,212.200000000,177.200000000,21.000000000,544.000000000
5757,0,9421,ebs_in,4,47,24220.000000000,64.500000000,60.400000000,579.400000000,514.900000000,519.000000000,2.000000000,2.000000000,0.000000000,519.000000000,60.400000000,40.400000000,12.000000000,525.000000000
5762,0,9430,ebs_in,53,47,24225.000000000,67.100000000,62.400000000,581.600000000,514.500000000,519.200000000,2.000000000,2.000000000,0.000000000,519.200000000,60.800000000,40.800000000,12.000000000,526.800000000
5279,0,8741,direct,3,48,23669.000000000,240.500000000,242.200000000,754.800000000,514.300000000,512.600000000,2.000000000,2.000000000,0.000000000,512.600000000,236.600000000,213.600000000,15.600000000,523.600000000
5298,0,8766,ebs_in,53,47,23689.000000000,67.000000000,64.600000000,581.200000000,514.200000000,516.600000000,2.000000000,2.000000000,0.000000000,516.600000000,60.800000000,40.800000000,12.600000000,525.800000000
5700,0,9348,ebs_in,0,47,24151.000000000,80.600000000,69.400000000,594.400000000,513.800000000,525.000000000,2.000000000,2.000000000,0.000000000,525.000000000,61.400000000,38.400000000,13.400000000,540.600000000
5167,0,8582,direct,3,49,23545.000000000,218.900000000,227.200000000,732.600000000,513.700000000,505.400000000,2.000000000,2.000000000,0.000000000,505.400000000,217.600000000,179.600000000,30.600000000,520.400000000
5287,0,8751,ebs_in,53,47,23681.000000000,61.400000000,61.400000000,574.800000000,513.400000000,513.400000000,2.000000000,2.000000000,0.000000000,513.400000000,60.800000000,40.800000000,12.000000000,520.000000000
5310,0,8782,ebs_in,3,47,23708.000000000,65.800000000,67.200000000,578.400000000,512.600000000,511.200000000,2.000000000,2.000000000,0.000000000,511.200000000,65.000000000,42.000000000,16.400000000,518.000000000
5802,0,9496,ebs_in,53,47,24283.000000000,61.400000000,62.600000000,574.000000000,512.600000000,511.400000000,2.000000000,2.000000000,0.000000000,511.400000000,60.800000000,40.800000000,13.400000000,517.800000000
5646,0,9276,direct,4,48,24070.000000000,253.500000000,253.400000000,766.000000000,512.500000000,512.600000000,2.000000000,2.000000000,0.000000000,512.600000000,232.000000000,212.000000000,24.200000000,527.800000000
5815,0,9518,ebs_in,3,47,24294.000000000,70.400000000,65.000000000,582.800000000,512.400000000,517.800000000,2.000000000,2.000000000,0.000000000,517.800000000,65.000000000,47.200000000,13.400000000,520.200000000
5484,0,9045,ebs_in,53,47,24101.000000000,79.900000000,80.200000000,592.200000000,512.300000000,512.000000000,2.000000000,2.000000000,0.000000000,512.000000000,60.800000000,40.800000000,15.600000000,533.800000000
5794,0,9481,ebs_in,53,47,24273.000000000,61.400000000,60.800000000,573.200000000,511.800000000,512.400000000,2.000000000,2.000000000,0.000000000,512.400000000,60.800000000,40.800000000,12.000000000,518.400000000
5286,0,8749,ebs_in,53,47,23679.000000000,63.500000000,62.000000000,575.000000000,511.500000000,513.000000000,2.000000000,2.000000000,0.000000000,513.000000000,60.800000000,40.800000000,12.000000000,520.200000000
5270,0,8728,ebs_in,53,47,23664.000000000,64.200000000,65.800000000,575.600000000,511.400000000,509.800000000,2.000000000,2.000000000,0.000000000,509.800000000,60.800000000,40.800000000,12.600000000,520.200000000
5818,0,9524,ebs_in,2,47,24299.000000000,75.600000000,73.200000000,586.800000000,511.200000000,513.600000000,2.000000000,2.000000000,0.000000000,513.600000000,72.600000000,43.600000000,18.000000000,523.200000000
5731,0,9384,direct,5,49,24181.000000000,235.500000000,215.200000000,746.600000000,511.100000000,531.400000000,2.000000000,2.000000000,0.000000000,531.400000000,212.200000000,177.200000000,22.800000000,544.600000000
5663,0,9303,ebs_in,2,47,24093.000000000,98.300000000,93.800000000,609.200000000,510.900000000,515.400000000,2.000000000,2.000000000,0.000000000,515.400000000,72.600000000,43.600000000,21.800000000,541.800000000
6282,0,10116,ebs_in,53,47,24832.000000000,61.400000000,68.200000000,572.200000000,510.800000000,504.000000000,2.000000000,2.000000000,0.000000000,504.000000000,60.800000000,40.800000000,13.000000000,516.400000000
5698,0,9346,direct,5,48,24134.000000000,258.200000000,246.800000000,768.800000000,510.600000000,522.000000000,2.000000000,2.000000000,0.000000000,522.000000000,231.200000000,211.200000000,12.400000000,543.200000000
