first_release_hour,count,top5_v5_bag_count,historical_min,historical_mean,historical_median,historical_p95,historical_p99,historical_max,control_min,control_mean,control_median,control_p95,control_p99,control_max,v5_min,v5_mean,v5_median,v5_p95,v5_p99,v5_max,historical_delta_min,historical_delta_mean,historical_delta_median,historical_delta_p95,historical_delta_p99,historical_delta_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max
13,1402,0,213.300000000,263.265406562,258.250000000,329.665000000,369.888000000,440.200000000,206.400000000,236.447646220,224.300000000,279.990000000,289.794000000,300.400000000,206.400000000,250.781312411,246.000000000,309.780000000,327.996000000,355.600000000,-187.200000000,-12.484094151,-5.350000000,30.400000000,48.093000000,77.800000000,0.000000000,0.753495007,0.000000000,7.390000000,10.800000000,12.400000000,-21.600000000,13.580171184,6.400000000,45.580000000,55.798000000,77.400000000
14,1420,0,213.300000000,268.507253521,263.450000000,336.425000000,371.744000000,424.800000000,206.400000000,242.436619718,234.000000000,284.810000000,294.124000000,305.400000000,206.400000000,259.250845070,259.100000000,321.010000000,331.610000000,343.200000000,-137.700000000,-9.256408451,-3.650000000,34.705000000,49.011000000,69.700000000,0.000000000,0.590985915,0.000000000,6.200000000,8.562000000,11.600000000,-15.400000000,16.223239437,11.200000000,48.610000000,54.562000000,64.400000000
15,1442,0,213.300000000,262.700554785,255.150000000,332.370000000,362.236000000,440.600000000,206.400000000,238.331761442,226.400000000,283.400000000,296.636000000,303.000000000,206.400000000,253.287378641,245.000000000,318.390000000,339.036000000,371.800000000,-177.600000000,-9.413176144,-3.300000000,32.995000000,57.636000000,89.500000000,0.000000000,1.509708738,0.000000000,11.790000000,22.318000000,23.800000000,-18.400000000,13.445908460,8.000000000,44.200000000,56.118000000,65.400000000
16,1605,0,213.300000000,264.443177570,258.300000000,332.200000000,385.732000000,474.900000000,206.400000000,239.822679128,225.200000000,281.000000000,292.384000000,299.200000000,206.800000000,255.016697819,249.200000000,318.000000000,336.592000000,350.600000000,-178.700000000,-9.426479751,-3.700000000,33.280000000,47.288000000,82.500000000,0.000000000,0.728224299,0.000000000,7.000000000,9.400000000,11.200000000,-6.600000000,14.465794393,9.600000000,45.960000000,57.552000000,70.800000000
17,1498,0,213.300000000,264.671895861,260.250000000,330.765000000,366.615000000,447.000000000,206.400000000,239.019626168,229.300000000,282.430000000,297.806000000,315.600000000,206.400000000,253.847129506,246.900000000,312.290000000,341.036000000,396.600000000,-179.500000000,-10.824766355,-2.700000000,30.560000000,58.021000000,102.200000000,0.000000000,0.679572764,0.000000000,4.800000000,11.006000000,16.200000000,-16.400000000,14.147930574,10.200000000,41.230000000,55.012000000,72.800000000
18,1860,0,213.300000000,266.603494624,259.450000000,339.705000000,372.405000000,434.600000000,206.400000000,237.252580645,224.200000000,284.800000000,297.000000000,314.800000000,206.400000000,256.223010753,244.300000000,332.220000000,363.538000000,403.800000000,-207.600000000,-10.380483871,-6.250000000,49.005000000,76.587000000,117.100000000,0.000000000,1.016451613,0.000000000,7.610000000,20.082000000,21.800000000,-15.400000000,17.953978495,9.100000000,61.200000000,83.964000000,102.600000000
19,1419,0,213.300000000,249.868569415,243.600000000,307.610000000,336.202000000,418.900000000,206.800000000,228.091754757,222.000000000,271.220000000,279.964000000,287.200000000,206.800000000,235.360112755,226.800000000,286.820000000,304.528000000,321.400000000,-198.700000000,-14.508456660,-7.600000000,22.750000000,32.220000000,38.400000000,0.000000000,1.755743481,0.000000000,11.420000000,15.000000000,16.400000000,-6.800000000,5.512614517,2.400000000,22.200000000,29.164000000,40.800000000
20,1237,0,213.300000000,247.635489086,241.300000000,307.280000000,337.732000000,389.700000000,206.800000000,227.621827001,219.600000000,271.840000000,280.600000000,293.800000000,206.800000000,233.390945837,224.400000000,283.240000000,297.200000000,319.200000000,-174.500000000,-14.244543250,-8.200000000,14.140000000,26.656000000,42.900000000,0.000000000,0.579628133,0.000000000,5.080000000,9.128000000,11.600000000,-11.200000000,5.189490703,2.200000000,20.240000000,26.856000000,40.600000000
21,613,0,213.300000000,246.830668842,241.400000000,302.280000000,330.876000000,367.700000000,206.400000000,224.553996737,219.800000000,268.160000000,280.400000000,293.400000000,206.400000000,229.187601958,222.000000000,277.360000000,295.080000000,316.600000000,-145.500000000,-17.643066884,-12.000000000,11.300000000,17.440000000,19.800000000,0.000000000,1.483523654,0.000000000,7.280000000,8.200000000,10.400000000,-14.200000000,3.150081566,1.400000000,11.000000000,13.552000000,16.200000000
22,79,0,215.300000000,242.959493671,241.400000000,296.050000000,324.224000000,331.400000000,206.400000000,222.063291139,217.400000000,266.080000000,275.420000000,276.200000000,206.400000000,223.306329114,217.400000000,279.000000000,289.532000000,290.000000000,-109.200000000,-19.653164557,-15.600000000,14.480000000,16.932000000,17.400000000,0.000000000,0.759493671,0.000000000,7.420000000,8.044000000,8.200000000,-15.800000000,0.483544304,0.000000000,7.820000000,14.200000000,14.200000000
