first_release_hour,count,top5_v5_bag_count,historical_min,historical_mean,historical_median,historical_p95,historical_p99,historical_max,control_min,control_mean,control_median,control_p95,control_p99,control_max,v5_min,v5_mean,v5_median,v5_p95,v5_p99,v5_max,historical_delta_min,historical_delta_mean,historical_delta_median,historical_delta_p95,historical_delta_p99,historical_delta_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max
2,22,0,218.100000000,260.318181818,229.600000000,329.075000000,340.239000000,343.200000000,217.400000000,241.718181818,223.300000000,271.800000000,272.432000000,272.600000000,217.800000000,242.900000000,228.100000000,271.390000000,273.296000000,273.800000000,-71.800000000,-17.418181818,-2.450000000,2.460000000,3.764000000,4.100000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.800000000,1.181818182,0.700000000,4.780000000,5.116000000,5.200000000
3,169,0,218.100000000,282.041420118,282.000000000,362.120000000,392.776000000,418.600000000,217.000000000,251.111242604,265.800000000,272.640000000,276.688000000,279.800000000,217.000000000,255.461538462,266.600000000,279.520000000,282.840000000,287.000000000,-151.000000000,-26.579881657,-22.400000000,8.760000000,11.920000000,13.400000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.000000000,4.350295858,2.600000000,14.440000000,19.048000000,21.600000000
4,795,0,213.300000000,283.357358491,277.100000000,360.830000000,413.896000000,476.000000000,212.200000000,255.977358491,263.000000000,291.860000000,297.600000000,304.400000000,212.200000000,272.696603774,269.800000000,333.000000000,346.824000000,370.400000000,-162.100000000,-10.660754717,-3.600000000,35.420000000,53.568000000,68.600000000,0.000000000,0.090817610,0.000000000,0.000000000,2.200000000,12.800000000,-5.200000000,16.628427673,12.200000000,48.600000000,63.060000000,76.200000000
5,2486,0,213.300000000,286.095655672,278.950000000,382.525000000,438.645000000,499.300000000,206.400000000,253.097425583,254.600000000,303.800000000,317.000000000,326.000000000,206.400000000,309.590748190,312.600000000,414.000000000,465.120000000,505.400000000,-196.700000000,23.495092518,18.100000000,130.250000000,157.515000000,213.500000000,0.000000000,0.055591311,0.000000000,0.000000000,0.000000000,14.600000000,-39.400000000,56.437731295,50.800000000,153.550000000,182.350000000,204.600000000
6,3085,1399,213.300000000,273.969983793,267.900000000,348.840000000,409.280000000,517.200000000,206.400000000,240.880842788,231.600000000,289.560000000,305.000000000,318.400000000,206.400000000,512.021523501,582.400000000,768.800000000,790.000000000,819.000000000,-209.500000000,238.051539708,285.800000000,498.680000000,519.148000000,544.700000000,0.000000000,0.354294976,0.000000000,2.600000000,6.600000000,19.200000000,-34.200000000,270.786385737,321.800000000,515.800000000,533.600000000,547.800000000
7,2183,28,213.300000000,261.796243701,254.900000000,324.070000000,353.134000000,423.900000000,206.400000000,230.151534585,220.200000000,278.000000000,295.036000000,302.400000000,206.400000000,292.796335318,224.800000000,575.540000000,621.108000000,680.400000000,-176.900000000,31.000091617,-11.200000000,306.460000000,354.900000000,406.900000000,0.000000000,2.550068713,0.000000000,19.800000000,35.436000000,41.200000000,-17.400000000,60.094732020,3.400000000,336.200000000,367.436000000,404.600000000
8,1289,0,213.300000000,259.472769589,253.500000000,320.120000000,348.284000000,395.900000000,206.400000000,238.746314973,231.600000000,282.720000000,295.824000000,307.400000000,206.400000000,257.662529092,251.400000000,327.320000000,351.640000000,369.400000000,-160.700000000,-1.810240497,-0.700000000,43.420000000,71.712000000,98.000000000,0.000000000,2.315283165,0.000000000,13.000000000,19.224000000,20.800000000,-17.600000000,16.600930954,12.200000000,48.520000000,60.224000000,76.800000000
9,1338,0,213.300000000,262.847757848,258.750000000,327.200000000,351.626000000,480.400000000,206.400000000,237.493572496,226.000000000,280.030000000,287.000000000,295.000000000,206.400000000,257.090732436,252.600000000,321.830000000,343.378000000,363.200000000,-248.800000000,-5.757025411,-1.100000000,37.000000000,52.741000000,71.800000000,0.000000000,1.856053812,0.000000000,9.800000000,14.200000000,17.800000000,-2.200000000,17.741106129,13.400000000,52.750000000,68.926000000,80.200000000
10,1776,0,213.300000000,259.702252252,251.550000000,323.450000000,367.425000000,452.200000000,206.400000000,234.290202703,222.800000000,280.850000000,289.450000000,303.200000000,206.400000000,252.881644144,242.000000000,323.000000000,350.400000000,368.400000000,-208.600000000,-6.820608108,-2.150000000,45.600000000,65.775000000,88.000000000,0.000000000,2.850563063,0.000000000,19.000000000,23.600000000,26.000000000,-18.400000000,15.740878378,7.000000000,54.600000000,70.800000000,81.800000000
11,1321,0,213.300000000,266.201135503,260.500000000,331.400000000,362.860000000,442.200000000,206.400000000,242.906585920,232.000000000,290.400000000,304.520000000,319.000000000,206.400000000,257.471461014,248.400000000,323.000000000,346.720000000,376.600000000,-185.100000000,-8.729674489,-2.100000000,28.800000000,43.120000000,80.600000000,0.000000000,2.613777441,0.000000000,16.000000000,26.400000000,31.200000000,-6.800000000,11.951097653,6.600000000,36.800000000,48.960000000,59.600000000
12,1467,0,213.300000000,264.463326517,259.100000000,333.590000000,369.638000000,464.900000000,206.400000000,239.840763463,232.000000000,285.480000000,297.076000000,313.800000000,206.400000000,260.597137014,259.000000000,329.340000000,348.268000000,368.400000000,-225.300000000,-3.866189502,-0.800000000,46.900000000,64.008000000,89.900000000,0.000000000,1.721881391,0.000000000,8.000000000,32.936000000,38.800000000,-18.000000000,19.034492161,12.600000000,56.140000000,67.136000000,82.800000000
