start,goal,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
0,47,1519,62.200000000,94.973469388,92.300000000,138.740000000,159.710000000,200.800000000,61.400000000,69.548255431,64.800000000,91.020000000,103.856000000,118.000000000,61.400000000,136.602896643,90.800000000,484.340000000,570.728000000,599.800000000,-82.800000000,41.629427255,-0.800000000,395.240000000,484.192000000,513.800000000,-1.800000000,67.054641211,21.200000000,418.800000000,503.892000000,525.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.800000000,67.054641211,21.200000000,418.800000000,503.892000000,525.000000000,281,63235.100000000,101856.000000000,80560.300000000
0,49,315,215.300000000,252.705714286,246.000000000,309.630000000,339.448000000,356.500000000,214.000000000,218.171428571,215.400000000,231.300000000,244.144000000,255.200000000,214.000000000,276.968888889,230.800000000,679.520000000,724.268000000,734.600000000,-119.300000000,24.263174603,-12.900000000,396.580000000,478.510000000,491.100000000,-2.200000000,58.797460317,14.400000000,462.020000000,506.576000000,519.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.200000000,58.797460317,14.400000000,462.020000000,506.576000000,519.600000000,35,7642.900000000,18521.200000000,13830.200000000
0,50,1366,217.700000000,241.665446559,238.300000000,286.600000000,336.340000000,378.500000000,217.000000000,217.564421669,217.000000000,219.150000000,220.270000000,222.800000000,217.000000000,218.053733529,217.500000000,221.000000000,223.340000000,228.800000000,-160.700000000,-23.611713031,-20.400000000,-0.125000000,2.370000000,5.100000000,-3.800000000,0.489311859,0.200000000,2.600000000,5.670000000,11.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-3.800000000,0.489311859,0.200000000,2.600000000,5.670000000,11.200000000,0,-32253.600000000,668.400000000,89.400000000
1,47,1497,68.900000000,112.407548430,109.100000000,161.800000000,190.304000000,234.600000000,68.000000000,76.598129593,72.400000000,98.800000000,110.648000000,123.200000000,68.000000000,142.672678691,99.000000000,473.280000000,575.344000000,609.600000000,-97.500000000,30.265130261,-7.300000000,365.780000000,460.968000000,506.100000000,-1.200000000,66.074549098,22.600000000,400.360000000,496.224000000,518.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.200000000,66.074549098,22.600000000,400.360000000,496.224000000,518.000000000,244,45306.900000000,98913.600000000,70741.000000000
1,49,331,222.000000000,268.004833837,264.400000000,320.950000000,345.370000000,359.300000000,206.400000000,210.256797583,206.800000000,223.400000000,228.280000000,229.800000000,206.400000000,213.925075529,207.000000000,228.700000000,264.980000000,732.400000000,-144.900000000,-54.079758308,-52.900000000,-10.450000000,29.820000000,472.400000000,-21.600000000,3.668277946,0.200000000,10.800000000,58.020000000,522.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-21.600000000,3.668277946,0.200000000,10.800000000,58.020000000,522.800000000,3,-17900.400000000,1214.200000000,881.100000000
1,50,1365,218.100000000,243.422857143,240.500000000,283.200000000,325.268000000,387.200000000,217.400000000,217.950183150,217.400000000,219.800000000,221.272000000,223.400000000,217.400000000,218.603956044,217.800000000,221.800000000,224.200000000,231.200000000,-169.400000000,-24.818901099,-23.100000000,0.500000000,2.772000000,9.500000000,-2.200000000,0.653772894,0.400000000,3.000000000,5.400000000,12.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.200000000,0.653772894,0.400000000,3.000000000,5.400000000,12.000000000,0,-33877.800000000,892.400000000,134.500000000
2,47,1464,73.500000000,109.635040984,106.850000000,152.485000000,185.103000000,219.300000000,72.600000000,80.764890710,76.600000000,102.200000000,114.674000000,127.000000000,72.600000000,145.956557377,102.600000000,496.000000000,575.414000000,609.200000000,-115.800000000,36.321516393,-3.400000000,384.630000000,474.244000000,511.200000000,-1.200000000,65.191666667,21.800000000,419.140000000,497.896000000,527.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.200000000,65.191666667,21.800000000,419.140000000,497.896000000,527.600000000,250,53174.700000000,95440.600000000,72327.000000000
2,49,333,226.600000000,270.045045045,263.500000000,327.020000000,360.380000000,402.300000000,211.000000000,214.312312312,211.800000000,228.080000000,230.936000000,235.400000000,211.000000000,224.287687688,212.000000000,235.280000000,699.608000000,745.400000000,-190.700000000,-45.757357357,-48.300000000,-11.920000000,409.096000000,476.700000000,-18.400000000,9.975375375,0.200000000,14.680000000,482.432000000,534.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-18.400000000,9.975375375,0.200000000,14.680000000,482.432000000,534.400000000,7,-15237.200000000,3321.800000000,2635.800000000
2,50,1402,222.700000000,237.944650499,226.700000000,283.700000000,322.883000000,363.100000000,222.000000000,222.420970043,222.000000000,223.800000000,224.800000000,227.200000000,222.000000000,222.943366619,222.200000000,225.990000000,228.398000000,234.400000000,-138.900000000,-15.001283880,-4.200000000,1.000000000,3.499000000,11.700000000,-2.800000000,0.522396576,0.000000000,2.600000000,4.998000000,11.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.800000000,0.522396576,0.000000000,2.600000000,4.998000000,11.600000000,0,-21031.800000000,732.400000000,257.500000000
3,47,2332,65.800000000,91.492324185,86.300000000,139.745000000,180.400000000,282.600000000,65.000000000,72.111663808,67.600000000,92.090000000,106.214000000,123.400000000,65.000000000,122.060977702,85.500000000,420.070000000,571.952000000,603.000000000,-180.100000000,30.568653516,-0.600000000,323.220000000,484.307000000,529.900000000,-6.800000000,49.949313894,13.400000000,344.690000000,501.276000000,527.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-6.800000000,49.949313894,13.400000000,344.690000000,501.276000000,527.800000000,325,71286.100000000,116481.800000000,95997.100000000
