release_300s_bin,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
27,1,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,-0.800000000,-0.800000000,-0.800000000,-0.800000000,-0.800000000,-0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,-0.800000000,0.000000000,0.000000000
29,3,60.200000000,62.366666667,61.100000000,65.330000000,65.706000000,65.800000000,59.600000000,61.666666667,60.400000000,64.540000000,64.908000000,65.000000000,59.600000000,61.666666667,60.400000000,64.540000000,64.908000000,65.000000000,-0.800000000,-0.700000000,-0.700000000,-0.610000000,-0.602000000,-0.600000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,-2.100000000,0.000000000,0.000000000
31,2,61.100000000,63.450000000,63.450000000,65.565000000,65.753000000,65.800000000,60.400000000,62.700000000,62.700000000,64.770000000,64.954000000,65.000000000,60.400000000,62.700000000,62.700000000,64.770000000,64.954000000,65.000000000,-0.800000000,-0.750000000,-0.750000000,-0.705000000,-0.701000000,-0.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0,-1.500000000,-0.000000000,0.000000000
33,6,60.300000000,75.516666667,72.300000000,94.950000000,96.510000000,96.900000000,59.600000000,62.833333333,61.600000000,67.250000000,67.850000000,68.000000000,59.600000000,63.033333333,62.100000000,67.250000000,67.850000000,68.000000000,-28.900000000,-12.483333333,-8.800000000,-0.725000000,-0.705000000,-0.700000000,-0.000000000,0.200000000,0.000000000,0.700000000,0.780000000,0.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.200000000,0.000000000,0.700000000,0.780000000,0.800000000,0,-74.900000000,1.200000000,0.000000000
35,10,60.200000000,80.640000000,69.700000000,120.850000000,133.450000000,136.600000000,59.600000000,65.360000000,65.000000000,73.040000000,73.328000000,73.400000000,59.600000000,65.520000000,65.000000000,73.260000000,73.692000000,73.800000000,-71.600000000,-15.120000000,-0.900000000,-0.645000000,-0.609000000,-0.600000000,-0.000000000,0.160000000,0.000000000,0.620000000,0.764000000,0.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.160000000,0.000000000,0.620000000,0.764000000,0.800000000,0,-151.200000000,1.600000000,0.000000000
36,1,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,-0.700000000,-0.700000000,-0.700000000,-0.700000000,-0.700000000,-0.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0,-0.700000000,-0.000000000,0.000000000
37,18,60.300000000,85.705555556,82.700000000,113.640000000,122.888000000,125.200000000,59.600000000,64.022222222,61.700000000,72.600000000,72.600000000,72.600000000,59.600000000,64.588888889,62.500000000,72.870000000,74.094000000,74.400000000,-58.400000000,-21.116666667,-20.900000000,-0.700000000,-0.700000000,-0.700000000,-0.200000000,0.566666667,0.200000000,1.980000000,2.796000000,3.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.200000000,0.566666667,0.200000000,1.980000000,2.796000000,3.000000000,0,-380.100000000,10.200000000,0.000000000
39,15,60.300000000,85.860000000,81.600000000,119.040000000,132.928000000,136.400000000,59.600000000,64.666666667,61.400000000,72.960000000,73.632000000,73.800000000,59.600000000,64.880000000,61.400000000,73.760000000,75.552000000,76.000000000,-71.200000000,-20.980000000,-21.200000000,-0.700000000,-0.700000000,-0.700000000,-1.000000000,0.213333333,0.000000000,1.500000000,2.060000000,2.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,0.213333333,0.000000000,1.500000000,2.060000000,2.200000000,0,-314.700000000,3.200000000,0.000000000
40,1,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,-0.700000000,-0.700000000,-0.700000000,-0.700000000,-0.700000000,-0.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0,-0.700000000,-0.000000000,0.000000000
41,20,60.200000000,84.395000000,84.750000000,104.120000000,115.064000000,117.800000000,59.600000000,64.770000000,63.800000000,72.600000000,72.600000000,72.600000000,59.600000000,65.300000000,64.400000000,72.840000000,73.448000000,73.600000000,-52.800000000,-19.095000000,-22.200000000,0.175000000,1.315000000,1.600000000,-0.000000000,0.530000000,0.400000000,1.220000000,1.524000000,1.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.530000000,0.400000000,1.220000000,1.524000000,1.600000000,0,-381.900000000,10.600000000,1.700000000
42,1,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,-0.800000000,-0.800000000,-0.800000000,-0.800000000,-0.800000000,-0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,-0.800000000,0.000000000,0.000000000
43,27,61.100000000,93.307407407,93.700000000,120.690000000,121.718000000,121.900000000,59.600000000,64.792592593,62.600000000,72.880000000,73.592000000,73.800000000,60.000000000,65.748148148,64.600000000,74.080000000,74.496000000,74.600000000,-54.700000000,-27.559259259,-27.400000000,-0.700000000,2.112000000,3.100000000,-1.000000000,0.955555556,0.800000000,2.340000000,2.696000000,2.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,0.955555556,0.800000000,2.340000000,2.696000000,2.800000000,0,-744.100000000,25.800000000,3.100000000
44,11,61.400000000,62.536363636,61.400000000,67.550000000,72.390000000,73.600000000,60.800000000,61.872727273,60.800000000,66.700000000,71.420000000,72.600000000,60.800000000,61.872727273,60.800000000,66.700000000,71.420000000,72.600000000,-1.000000000,-0.663636364,-0.600000000,-0.600000000,-0.600000000,-0.600000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0,-7.300000000,-0.000000000,0.000000000
