raw_bag_id,segment_count,first_release,historical,control,v5,historical_delta,control_delta,source_wait_delta,after_admission_delta,source_wait,first_release_hour
5545,2,24132.000000000,287.800000000,274.200000000,819.000000000,531.200000000,544.800000000,5.600000000,539.200000000,9.600000000,6
5658,2,24126.000000000,289.400000000,276.000000000,817.000000000,527.600000000,541.000000000,4.800000000,536.200000000,8.800000000,6
5609,2,24097.000000000,304.500000000,274.200000000,812.000000000,507.500000000,537.800000000,5.000000000,532.800000000,9.000000000,6
5597,2,24049.000000000,318.100000000,278.800000000,809.800000000,491.700000000,531.000000000,5.200000000,525.800000000,9.200000000,6
5585,2,24042.000000000,344.700000000,280.200000000,809.800000000,465.100000000,529.600000000,5.400000000,524.200000000,9.400000000,6
5477,2,24098.000000000,318.300000000,276.800000000,808.200000000,489.900000000,531.400000000,6.000000000,525.400000000,10.000000000,6
5738,2,24187.000000000,268.400000000,261.400000000,807.800000000,539.400000000,546.400000000,0.000000000,546.400000000,4.000000000,6
5734,2,24180.000000000,281.300000000,262.400000000,804.800000000,523.500000000,542.400000000,0.000000000,542.400000000,4.000000000,6
6109,2,24668.000000000,285.500000000,261.000000000,802.000000000,516.500000000,541.000000000,18.000000000,523.000000000,22.000000000,6
5714,2,24162.000000000,295.300000000,273.200000000,801.800000000,506.500000000,528.600000000,0.000000000,528.600000000,4.000000000,6
5742,2,24193.000000000,304.900000000,267.600000000,800.800000000,495.900000000,533.200000000,0.000000000,533.200000000,4.000000000,6
5673,2,24142.000000000,316.900000000,274.600000000,799.400000000,482.500000000,524.800000000,0.000000000,524.800000000,4.000000000,6
5812,2,24292.000000000,323.100000000,277.200000000,799.000000000,475.900000000,521.800000000,4.000000000,517.800000000,8.400000000,6
5759,2,24222.000000000,280.300000000,261.400000000,797.400000000,517.100000000,536.000000000,0.400000000,535.600000000,4.400000000,6
5547,2,24137.000000000,309.500000000,273.800000000,797.000000000,487.500000000,523.200000000,0.000000000,523.200000000,4.000000000,6
5751,2,24206.000000000,272.300000000,271.200000000,796.400000000,524.100000000,525.200000000,0.000000000,525.200000000,4.000000000,6
5700,2,24151.000000000,287.300000000,269.400000000,795.000000000,507.700000000,525.600000000,0.000000000,525.600000000,4.000000000,6
5748,2,24204.000000000,298.100000000,265.800000000,795.000000000,496.900000000,529.200000000,0.000000000,529.200000000,4.000000000,6
5624,2,24049.000000000,340.400000000,285.000000000,794.400000000,454.000000000,509.400000000,0.000000000,509.400000000,4.000000000,6
5484,2,24101.000000000,282.300000000,278.600000000,794.000000000,511.700000000,515.400000000,0.000000000,515.400000000,4.000000000,6
5501,2,24130.000000000,305.000000000,275.400000000,794.000000000,489.000000000,518.600000000,0.000000000,518.600000000,4.000000000,6
5662,2,24091.000000000,325.000000000,283.800000000,794.000000000,469.000000000,510.200000000,0.000000000,510.200000000,4.000000000,6
5755,2,24217.000000000,272.300000000,273.800000000,794.000000000,521.700000000,520.200000000,0.000000000,520.200000000,4.000000000,6
6282,2,24832.000000000,260.400000000,267.200000000,793.000000000,532.600000000,525.800000000,4.800000000,521.000000000,8.800000000,6
6285,2,24834.000000000,279.000000000,266.000000000,791.800000000,512.800000000,525.800000000,1.800000000,524.000000000,5.800000000,6
5753,2,24209.000000000,274.500000000,266.600000000,791.200000000,516.700000000,524.600000000,0.000000000,524.600000000,4.000000000,6
5663,2,24093.000000000,256.200000000,251.200000000,791.000000000,534.800000000,539.800000000,1.000000000,538.800000000,5.000000000,6
5573,2,24036.000000000,331.100000000,283.400000000,790.800000000,459.700000000,507.400000000,0.000000000,507.400000000,4.000000000,6
6294,2,24850.000000000,272.200000000,260.000000000,790.800000000,518.600000000,530.800000000,6.200000000,524.600000000,10.200000000,6
5502,2,23961.000000000,370.400000000,274.400000000,790.200000000,419.800000000,515.800000000,17.400000000,498.400000000,21.400000000,6
