start,goal,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
0,47,112,62.200000000,94.358035714,92.200000000,126.800000000,147.926000000,150.300000000,61.400000000,71.366071429,66.700000000,92.760000000,99.026000000,100.000000000,405.800000000,522.082142857,532.600000000,594.940000000,599.180000000,599.800000000,291.400000000,427.724107143,440.400000000,494.995000000,505.556000000,513.800000000,343.800000000,450.716071429,467.700000000,518.400000000,524.068000000,525.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,343.800000000,450.716071429,467.700000000,518.400000000,524.068000000,525.000000000,112,47905.100000000,50480.200000000,47905.100000000
0,49,21,222.100000000,261.152380952,253.900000000,302.700000000,337.900000000,346.700000000,214.000000000,216.476190476,215.800000000,220.800000000,228.800000000,230.800000000,624.000000000,693.723809524,692.800000000,733.600000000,734.400000000,734.600000000,333.500000000,432.571428571,436.700000000,484.700000000,489.820000000,491.100000000,408.800000000,477.247619048,476.000000000,517.200000000,519.120000000,519.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,408.800000000,477.247619048,476.000000000,517.200000000,519.120000000,519.600000000,21,9084.000000000,10022.200000000,9084.000000000
1,47,106,68.900000000,121.982075472,119.950000000,165.425000000,198.750000000,214.500000000,68.000000000,79.516981132,77.600000000,99.950000000,106.520000000,107.600000000,403.800000000,516.735849057,528.600000000,588.550000000,597.300000000,609.600000000,249.900000000,394.753773585,399.500000000,483.225000000,492.940000000,506.100000000,324.800000000,437.218867925,446.900000000,507.700000000,517.130000000,518.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,324.800000000,437.218867925,446.900000000,507.700000000,517.130000000,518.000000000,106,41843.900000000,46345.200000000,41843.900000000
1,49,1,260.000000000,260.000000000,260.000000000,260.000000000,260.000000000,260.000000000,209.600000000,209.600000000,209.600000000,209.600000000,209.600000000,209.600000000,732.400000000,732.400000000,732.400000000,732.400000000,732.400000000,732.400000000,472.400000000,472.400000000,472.400000000,472.400000000,472.400000000,472.400000000,522.800000000,522.800000000,522.800000000,522.800000000,522.800000000,522.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,522.800000000,522.800000000,522.800000000,522.800000000,522.800000000,522.800000000,1,472.400000000,522.800000000,472.400000000
2,47,107,73.500000000,111.446728972,107.700000000,152.360000000,195.162000000,219.300000000,72.600000000,82.269158879,77.600000000,101.740000000,105.316000000,107.800000000,418.600000000,526.835514019,544.600000000,588.480000000,601.316000000,609.200000000,237.300000000,415.388785047,429.200000000,489.390000000,510.726000000,511.200000000,333.600000000,444.566355140,460.400000000,509.140000000,515.292000000,527.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,333.600000000,444.566355140,460.400000000,509.140000000,515.292000000,527.600000000,107,44446.600000000,47568.600000000,44446.600000000
2,49,5,239.100000000,277.040000000,268.700000000,321.800000000,327.000000000,328.300000000,211.000000000,214.800000000,211.600000000,225.240000000,227.928000000,228.600000000,699.200000000,716.640000000,708.000000000,742.480000000,744.816000000,745.400000000,402.500000000,439.600000000,446.500000000,473.380000000,476.036000000,476.700000000,470.600000000,501.840000000,496.400000000,531.480000000,533.816000000,534.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,470.600000000,501.840000000,496.400000000,531.480000000,533.816000000,534.400000000,5,2198.000000000,2509.200000000,2198.000000000
3,47,115,65.800000000,93.170434783,84.700000000,146.720000000,178.970000000,190.100000000,65.000000000,73.342608696,68.800000000,92.120000000,100.172000000,102.400000000,415.200000000,528.860869565,544.000000000,588.100000000,600.752000000,603.000000000,276.300000000,435.690434783,451.300000000,510.370000000,524.860000000,529.900000000,334.000000000,455.518260870,471.600000000,518.520000000,524.660000000,527.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,334.000000000,455.518260870,471.600000000,518.520000000,524.660000000,527.800000000,115,50104.400000000,52384.600000000,50104.400000000
3,48,110,237.400000000,276.642727273,270.800000000,338.580000000,389.917000000,423.100000000,236.600000000,244.967272727,240.600000000,263.120000000,270.274000000,271.000000000,620.200000000,702.158181818,712.800000000,768.320000000,772.638000000,775.600000000,303.000000000,425.515454545,435.050000000,503.380000000,516.757000000,526.500000000,356.000000000,457.190909091,469.700000000,518.820000000,528.310000000,533.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,356.000000000,457.190909091,469.700000000,518.820000000,528.310000000,533.400000000,110,46806.700000000,50291.000000000,46806.700000000
3,49,68,218.900000000,267.752941176,263.750000000,339.955000000,389.394000000,410.700000000,217.600000000,225.344117647,223.000000000,242.010000000,244.460000000,245.800000000,622.000000000,696.411764706,707.400000000,738.720000000,752.730000000,753.400000000,223.900000000,428.658823529,434.100000000,500.795000000,510.752000000,513.700000000,376.200000000,471.067647059,480.300000000,516.530000000,529.466000000,529.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,376.200000000,471.067647059,480.300000000,516.530000000,529.466000000,529.600000000,68,29148.800000000,32032.600000000,29148.800000000
4,47,105,61.100000000,93.256190476,91.900000000,132.140000000,171.448000000,185.300000000,60.400000000,68.146666667,63.400000000,85.480000000,91.720000000,92.800000000,415.600000000,524.409523810,539.200000000,584.720000000,595.784000000,597.400000000,285.500000000,431.153333333,448.900000000,505.420000000,518.356000000,520.500000000,339.200000000,456.262857143,471.400000000,521.440000000,528.824000000,532.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,339.200000000,456.262857143,471.400000000,521.440000000,528.824000000,532.800000000,105,45271.100000000,47907.600000000,45271.100000000
