begin_seconds,end_seconds,duration_seconds,v5_mean_admitted_active_segments,control_mean_admitted_active_segments,v5_mean_source_pending_segments
23400,24600,1200,474.815500000,203.825666667,2.426666667
24900,25500,600,462.864000000,217.890333333,2.516666667
