release_hour,isolated_route_uses_24_to_27,segment_count,v5_mean_seconds,historical_mean_seconds,control_mean_seconds
2,True,22,64.036363636,74.513636364,63.909090909
3,True,169,65.802366864,83.743786982,64.457988166
4,True,795,87.612327044,93.233081761,75.209559748
5,False,801,203.181023720,209.653558052,197.770536829
5,True,2122,180.437606032,142.247172479,117.306974552
6,False,2291,202.777826277,219.788607595,201.077084243
6,True,2338,493.299401198,168.233276305,139.663900770
7,False,2526,198.760411718,211.096357878,194.532541568
7,True,1422,233.700281294,178.933192686,145.959212377
8,False,904,215.526769912,205.413495575,200.178097345
8,True,1082,138.567837338,145.398983364,125.133456562
9,False,779,194.259563543,186.799101412,183.080102696
9,True,1227,120.058190709,133.929176854,109.822004890
10,False,1043,197.265196548,195.513806328,188.461169703
10,True,1506,137.868260292,152.768525896,127.747941567
11,False,1131,202.946242263,186.270999116,182.424933687
11,True,1226,136.396084829,148.968433931,127.017292007
12,False,956,207.693723849,204.178033473,199.606276151
12,True,1305,151.537471264,159.368429119,134.748965517
13,False,850,196.526117647,193.124588235,187.080000000
13,True,1237,134.462085691,149.153112369,123.516087308
14,False,1018,191.612377210,190.822396857,185.584872299
14,True,1270,145.705354331,155.323543307,130.153543307
15,False,859,202.790454016,206.288824214,198.321303842
15,True,1232,133.494480519,144.028733766,121.111688312
16,False,1071,195.007469655,195.383380019,189.292063492
16,True,1338,122.219431988,132.055156951,109.356651719
17,False,1245,196.648353414,198.617108434,190.882891566
17,True,1294,129.949613601,141.764683153,119.455332303
18,False,1016,201.442519685,198.229822835,190.673818898
18,True,1656,142.893961353,157.166364734,128.708816425
19,False,1331,194.512997746,193.541247183,187.092111195
19,True,1214,149.365733114,169.279818781,147.475782537
20,False,680,192.021764706,183.260588235,180.310588235
20,True,1153,157.408846487,175.078404163,154.979531657
21,False,639,191.274804382,185.788888889,183.164319249
21,True,561,170.779322638,191.770766488,169.301247772
22,False,245,183.114285714,177.848163265,175.565714286
22,True,49,190.502040816,220.044897959,190.746938776
