release_hour,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
6,1399,60.200000000,157.594781987,114.900000000,294.810000000,332.004000000,423.100000000,59.600000000,130.405718370,81.000000000,248.600000000,261.604000000,271.000000000,384.400000000,587.661901358,568.000000000,741.000000000,765.804000000,775.600000000,223.900000000,430.067119371,439.900000000,505.010000000,518.616000000,530.200000000,322.200000000,457.256182988,472.000000000,518.640000000,528.004000000,534.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,322.200000000,457.256182988,472.000000000,518.640000000,528.004000000,534.400000000,1399,601663.900000000,639701.400000000,601663.900000000
7,784,61.400000000,189.700127551,199.000000000,247.585000000,307.182000000,387.300000000,59.600000000,179.818622449,198.400000000,206.600000000,207.800000000,236.600000000,157.400000000,199.413265306,200.500000000,221.600000000,430.454000000,622.200000000,-188.900000000,9.713137755,1.100000000,22.585000000,334.323000000,384.800000000,-1.800000000,19.594642857,4.000000000,23.200000000,367.668000000,385.600000000,2.000000000,2.494387755,2.000000000,6.400000000,7.800000000,8.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.494387755,0.000000000,4.400000000,5.800000000,6.400000000,-1.800000000,19.100255102,4.000000000,21.370000000,367.668000000,385.600000000,127,7615.100000000,15362.200000000,13260.300000000
8,134,157.900000000,193.354477612,201.200000000,224.470000000,227.934000000,228.200000000,157.400000000,190.894029851,198.800000000,217.940000000,220.868000000,221.400000000,169.400000000,208.098507463,211.400000000,240.800000000,241.334000000,241.600000000,-21.200000000,14.744029851,7.700000000,41.270000000,42.134000000,42.400000000,0.000000000,17.204477612,12.400000000,42.400000000,42.800000000,43.000000000,2.000000000,8.656716418,7.000000000,20.600000000,21.134000000,21.600000000,2.000000000,2.656716418,2.000000000,6.540000000,9.468000000,10.000000000,0.000000000,6.000000000,4.400000000,18.400000000,18.934000000,19.200000000,0.000000000,11.204477612,4.800000000,24.000000000,24.000000000,24.200000000,39,1975.700000000,2305.400000000,2013.800000000
9,26,158.000000000,176.876923077,162.100000000,206.500000000,206.575000000,206.600000000,157.400000000,175.023076923,159.400000000,206.200000000,206.200000000,206.200000000,157.400000000,175.923076923,161.800000000,206.200000000,206.200000000,206.200000000,-8.600000000,-0.953846154,-0.700000000,0.375000000,1.750000000,2.200000000,-1.000000000,0.900000000,0.800000000,2.300000000,3.450000000,3.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,0.900000000,0.800000000,2.300000000,3.450000000,3.800000000,0,-24.800000000,23.400000000,2.900000000
10,1,245.600000000,245.600000000,245.600000000,245.600000000,245.600000000,245.600000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,206.200000000,-39.400000000,-39.400000000,-39.400000000,-39.400000000,-39.400000000,-39.400000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0,-39.400000000,-0.000000000,0.000000000
