leg_kind,count,historical_dh_seconds_min,historical_dh_seconds_mean,historical_dh_seconds_median,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,current_dh_seconds_min,current_dh_seconds_mean,current_dh_seconds_median,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,v5_seconds_min,v5_seconds_mean,v5_seconds_median,v5_seconds_p95,v5_seconds_p99,v5_seconds_max,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,current_source_wait_seconds_min,current_source_wait_seconds_mean,current_source_wait_seconds_median,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,source_wait_delta_min,source_wait_delta_mean,source_wait_delta_median,source_wait_delta_p95,source_wait_delta_p99,source_wait_delta_max,after_admission_delta_min,after_admission_delta_mean,after_admission_delta_median,after_admission_delta_p95,after_admission_delta_p99,after_admission_delta_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
direct,510,213.300000000,267.165882353,264.050000000,316.120000000,372.855000000,423.100000000,209.600000000,233.515686275,234.200000000,257.110000000,266.200000000,271.000000000,620.000000000,698.936862745,709.500000000,757.020000000,769.382000000,775.600000000,223.900000000,431.770980392,440.150000000,504.175000000,514.246000000,526.500000000,356.000000000,465.421176471,476.200000000,519.910000000,528.400000000,534.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,356.000000000,465.421176471,476.200000000,519.910000000,528.400000000,534.400000000,510,220203.200000000,237364.800000000,220203.200000000
ebs_in,917,60.200000000,94.672846238,89.500000000,145.500000000,176.364000000,219.300000000,59.600000000,71.188004362,67.400000000,92.640000000,101.968000000,107.800000000,384.400000000,520.622682661,536.000000000,587.880000000,597.936000000,609.600000000,237.300000000,425.949836423,437.800000000,505.520000000,520.240000000,530.200000000,322.200000000,449.434678299,467.600000000,517.840000000,524.968000000,532.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,322.200000000,449.434678299,467.600000000,517.840000000,524.968000000,532.800000000,917,390596.000000000,412131.600000000,390596.000000000
ebs_out,917,157.900000000,192.894547437,199.000000000,239.900000000,306.156000000,387.300000000,157.400000000,184.710577972,198.400000000,207.600000000,216.936000000,221.400000000,157.400000000,193.321264995,200.200000000,222.840000000,240.568000000,241.600000000,-188.900000000,0.426717557,1.400000000,22.920000000,40.800000000,42.400000000,-1.800000000,8.610687023,4.400000000,23.840000000,41.968000000,43.000000000,2.000000000,3.395419847,2.000000000,9.600000000,20.368000000,21.600000000,2.000000000,2.095965104,2.000000000,2.000000000,5.536000000,10.000000000,0.000000000,1.299454744,0.000000000,6.440000000,18.168000000,19.200000000,-1.800000000,7.311232279,3.600000000,22.800000000,24.000000000,25.600000000,138,391.300000000,7896.000000000,6141.700000000
