cell_id,family,map,load_factor,speed_mps,scenario_index,seed,method,output_dir,spec_sha256,runner_sha256,cell_state,runner_status,normalized_status,error,full_population_complete,terminal_result_accepted,postprocessing_pending,TH,completion_rate,success_std_rate,success_paper_literal_rate,tht_D_min_seconds,tht_D_mean_seconds,tht_D_max_seconds,tht_native_min_seconds,tht_native_mean_seconds,tht_native_max_seconds,normalized_path,runner_status_path,workload_identity_sha256,raw_sha256,canonical_sha256,map_sha256,input_signature_sha256,raw_bag_count,segment_count,horizon_seconds,initial_failed_edge_count,affected_edge_count,affected_edges_json,fault_mapping_sha256,runner_status_sha256,normalized_sha256,binary_sha256,unfinished_raw_bag_count,completed_segment_count,active_inflight_grants_at_horizon,all_returned_native_fields_preserved,decision_trace_truncated,event_trace_truncated,full_lifecycle_trace_proof_claimed,merge_grant_lifecycle_complete,merge_grant_lifecycle_dropped_count,merge_grant_lifecycle_stored_count,merge_grant_structural_integrity_pass,native_active_state_integrity_pass,native_full_protocol_integrity_pass,pending_requests_at_horizon,short_history_is_full_path,terminal_state_quiescent,native_wall_seconds,orchestration_status,orchestration_record_path,orchestration_record_sha256,orchestration_wall_seconds,source_sha256,class_sha256
b_map2_1x_v1p5_s104729_q00_g31,base,map2,1.0,1.5,0,104729,G31_S4_ADVERTISED_FAULT_REPAIR_V1,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_g31,493f49e0d2a9398dd72e698ed7cf80b4e08f8b2234e93c1cc1a773baf4b5c634,7bc4b52cc93ef08c3daf5f341fc915ec0db5b1226a14d76c332614cc4ee350ef,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_g31\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_g31\runner_status.json,9bc5780d88bce1c1ac909dc438c09ced2a2cef6ee6443b4a92625a5cce12b406,7337fc1c7cca646e1179c72ce88aef74f11d6c687ff7f36b91a57b323fbc7f95,c1889c379e34f168c1cc06c44903753d163b60ae36225cf04996c86d769eb48b,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,174a99434ca625142114cecd922d07a9c654f7346d1c984667cd338a633f69bd,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s104729_q00_hca,base,map2,1.0,1.5,0,104729,HCA_TIME_LABEL_REPAIR_V3,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_hca,4a70d32d0e50b8b738f9985b5667e8d1623b8c0f3d5c300b0588b5bdb76ce270,808e8605020dbb5459801643048f2b741849eb0f8c2c420253b27d8bc666873e,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_hca\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_hca\runner_status.json,9bc5780d88bce1c1ac909dc438c09ced2a2cef6ee6443b4a92625a5cce12b406,7337fc1c7cca646e1179c72ce88aef74f11d6c687ff7f36b91a57b323fbc7f95,c1889c379e34f168c1cc06c44903753d163b60ae36225cf04996c86d769eb48b,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,174a99434ca625142114cecd922d07a9c654f7346d1c984667cd338a633f69bd,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s104729_q00_dh,base,map2,1.0,1.5,0,104729,FENG_DH_PAPER_SUITE_V6,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_dh,7f5700d83eeaca536bf10ad3f315bb3e851b8aae708fb9a72ce2569f8bf5b487,9c93676560b72984c630bd74c23a6e6f6e6114907a79977d06c1853d23f5d290,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_dh\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_dh\runner_status.json,9bc5780d88bce1c1ac909dc438c09ced2a2cef6ee6443b4a92625a5cce12b406,7337fc1c7cca646e1179c72ce88aef74f11d6c687ff7f36b91a57b323fbc7f95,c1889c379e34f168c1cc06c44903753d163b60ae36225cf04996c86d769eb48b,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,174a99434ca625142114cecd922d07a9c654f7346d1c984667cd338a633f69bd,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s104729_q00_tarau,base,map2,1.0,1.5,0,104729,TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_tarau,d3c785a63eb8bf635143c9ed01fd744d5a27072c2519cae64a00f34c4edfcc58,7bc4b52cc93ef08c3daf5f341fc915ec0db5b1226a14d76c332614cc4ee350ef,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_tarau\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s104729_q00_tarau\runner_status.json,9bc5780d88bce1c1ac909dc438c09ced2a2cef6ee6443b4a92625a5cce12b406,7337fc1c7cca646e1179c72ce88aef74f11d6c687ff7f36b91a57b323fbc7f95,c1889c379e34f168c1cc06c44903753d163b60ae36225cf04996c86d769eb48b,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,174a99434ca625142114cecd922d07a9c654f7346d1c984667cd338a633f69bd,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s130363_q00_g31,base,map2,1.0,1.5,0,130363,G31_S4_ADVERTISED_FAULT_REPAIR_V1,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_g31,39f9fd447ce577488f08c76f5206f1b09ee1d84e23062d16e23fcda30b8c22db,7bc4b52cc93ef08c3daf5f341fc915ec0db5b1226a14d76c332614cc4ee350ef,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_g31\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_g31\runner_status.json,a282e2ee0392c471c8dff6c6cfa2128296cae599477dd3f627b4bf1f6145acbf,6e350b2e70d667a20c51cc5332163cab9758545c8398e95e8a16c3664722158f,6b8e86ee8947a2398704fb47e12bc22c1265704ecd8dd0a54884cf112cd9541f,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,b45f35e34496a9a6219edae200dfbf6ac61f77d1e96514b4c632c5157eadb8a7,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s130363_q00_hca,base,map2,1.0,1.5,0,130363,HCA_TIME_LABEL_REPAIR_V3,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_hca,45d9adc1ab3fe8062fa42d7222a4d942e17c8723b6b179000fcbe62cc3186f1a,808e8605020dbb5459801643048f2b741849eb0f8c2c420253b27d8bc666873e,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_hca\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_hca\runner_status.json,a282e2ee0392c471c8dff6c6cfa2128296cae599477dd3f627b4bf1f6145acbf,6e350b2e70d667a20c51cc5332163cab9758545c8398e95e8a16c3664722158f,6b8e86ee8947a2398704fb47e12bc22c1265704ecd8dd0a54884cf112cd9541f,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,b45f35e34496a9a6219edae200dfbf6ac61f77d1e96514b4c632c5157eadb8a7,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s130363_q00_dh,base,map2,1.0,1.5,0,130363,FENG_DH_PAPER_SUITE_V6,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_dh,0df97eaaee0eca7a520526066e28d10b2807c9b0135d59b0081d80f54edee130,9c93676560b72984c630bd74c23a6e6f6e6114907a79977d06c1853d23f5d290,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_dh\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_dh\runner_status.json,a282e2ee0392c471c8dff6c6cfa2128296cae599477dd3f627b4bf1f6145acbf,6e350b2e70d667a20c51cc5332163cab9758545c8398e95e8a16c3664722158f,6b8e86ee8947a2398704fb47e12bc22c1265704ecd8dd0a54884cf112cd9541f,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,b45f35e34496a9a6219edae200dfbf6ac61f77d1e96514b4c632c5157eadb8a7,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s130363_q00_tarau,base,map2,1.0,1.5,0,130363,TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_tarau,038c0cbc27e3ff85a5b5298c32f2a9012b115e9e13018e7a975387eb91a70766,7bc4b52cc93ef08c3daf5f341fc915ec0db5b1226a14d76c332614cc4ee350ef,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_tarau\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s130363_q00_tarau\runner_status.json,a282e2ee0392c471c8dff6c6cfa2128296cae599477dd3f627b4bf1f6145acbf,6e350b2e70d667a20c51cc5332163cab9758545c8398e95e8a16c3664722158f,6b8e86ee8947a2398704fb47e12bc22c1265704ecd8dd0a54884cf112cd9541f,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,b45f35e34496a9a6219edae200dfbf6ac61f77d1e96514b4c632c5157eadb8a7,28506,43602,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s155921_q00_g31,base,map2,1.0,1.5,0,155921,G31_S4_ADVERTISED_FAULT_REPAIR_V1,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s155921_q00_g31,b61787dcaf6f4d80f7a497ee7d88029794973ed04caac0b9356d7ea9613d783d,7bc4b52cc93ef08c3daf5f341fc915ec0db5b1226a14d76c332614cc4ee350ef,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s155921_q00_g31\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s155921_q00_g31\runner_status.json,d6cb1265e54f96076644c97627f45e8d5622d3ad27bd1efe677e51d9c34b3f79,73bf1b6a542788e1e4095ea458d4252dd317ad393802387b3ab0143c3f04f4d4,cf1634bfa3bf2df26aec405b4f347c6158e13497a4a940e906b91eb07c9ce13e,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,322fb95d321f9cd30e0626ebec70ec91c38161750abee712095836a8532167e3,28506,43599,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
b_map2_1x_v1p5_s155921_q00_hca,base,map2,1.0,1.5,0,155921,HCA_TIME_LABEL_REPAIR_V3,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s155921_q00_hca,8bd5d0cad08705d014918222bcbc77c008e804b7c738dad55ca103983e3821ca,808e8605020dbb5459801643048f2b741849eb0f8c2c420253b27d8bc666873e,MISSING,NA,NA,NA,NA,False,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s155921_q00_hca\normalized_result.json,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\outputs\runtime\feng_paper_suite_20260907\cells\b_map2_1x_v1p5_s155921_q00_hca\runner_status.json,d6cb1265e54f96076644c97627f45e8d5622d3ad27bd1efe677e51d9c34b3f79,73bf1b6a542788e1e4095ea458d4252dd317ad393802387b3ab0143c3f04f4d4,cf1634bfa3bf2df26aec405b4f347c6158e13497a4a940e906b91eb07c9ce13e,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,322fb95d321f9cd30e0626ebec70ec91c38161750abee712095836a8532167e3,28506,43599,98259,0,0,[],NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
