event,count
released_segments,400
entered_segments,400
move_commits,335347
stopped_ticks,81066
holds,85150
entry_stopped_holds,3
entry_moving_holds,2041
local_fifo_conflict_holds,2040
following_footprint_holds,26051
junction_through_busy_holds,1308
no_path_holds,0
route_decisions,9558
tied_route_decisions,50
