event,count
released_segments,43603
entered_segments,43603
move_commits,28398044
stopped_ticks,3116591
holds,9997179
entry_stopped_holds,4610781
entry_moving_holds,1515564
local_fifo_conflict_holds,754243
following_footprint_holds,1034647
junction_through_busy_holds,38658
no_path_holds,0
route_decisions,7216089
tied_route_decisions,638
