ordinal,task_id,start,goal,epoch,finish_time,path
1,7,0,1,1.0,21.0,0;1
2,124,2,3,1.0,3.0,2;3
3,23,0,1,2.0,22.0,0;1
4,125,2,3,2.0,4.0,2;3
5,123,2,3,10.0,12.0,2;3
