baseline,baseline_mean,bootstrap_ci_high,bootstrap_ci_low,load_factor,map,mean_delta_reference_minus_baseline,metric,missing_seed_count,missing_seeds,paired_seed_count,preferred_direction,reference,reference_loss_count,reference_mean,reference_win_count,status,tie_count
HCA_SEGMENT_IDENTITY_V1,28506.0,0.0,0.0,1.0,map2,0.0,completed_raw_bag_count,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,28506.0,0,COMPLETE,10
HCA_SEGMENT_IDENTITY_V1,1044.3989863523952,0.0,0.0,1.0,map2,0.0,completed_raw_bags_per_fixed_horizon_hour,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,1044.3989863523952,0,COMPLETE,10
HCA_SEGMENT_IDENTITY_V1,1.0,0.0,0.0,1.0,map2,0.0,completion_rate,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,1.0,0,COMPLETE,10
HCA_SEGMENT_IDENTITY_V1,0.0,0.0,0.0,1.0,map2,0.0,missed_bag_count,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,COMPLETE,10
HCA_SEGMENT_IDENTITY_V1,0.0,0.0,0.0,1.0,map2,0.0,missed_bag_rate,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,COMPLETE,10
HCA_SEGMENT_IDENTITY_V1,5901989.4,82790.1908710502,77540.75603658483,1.0,map2,80208.10554104745,network_backlog_area_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,10,5982197.505541047,0,COMPLETE,0
HCA_SEGMENT_IDENTITY_V1,1.0,0.0,0.0,1.0,map2,0.0,on_time_rate,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,1.0,0,COMPLETE,10
HCA_SEGMENT_IDENTITY_V1,28506.0,0.0,0.0,1.0,map2,0.0,on_time_raw_bag_count,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,28506.0,0,COMPLETE,10
HCA_SEGMENT_IDENTITY_V1,358.7,174.90395202499454,160.10464699999392,1.0,map2,167.39945799999367,population_latency_max_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,10,526.0994579999937,0,COMPLETE,0
HCA_SEGMENT_IDENTITY_V1,237.0408089525012,0.19693070165916468,0.01500750004075293,1.0,map2,0.11060671642623561,population_latency_mean_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,7,237.15141566892748,3,COMPLETE,0
HCA_SEGMENT_IDENTITY_V1,299.2,40.037118599999054,39.0160374937451,1.0,map2,39.526358499995055,population_latency_p95_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,10,338.72635849999506,0,COMPLETE,0
HCA_SEGMENT_IDENTITY_V1,330.7,71.42570740499373,69.48090419999377,1.0,map2,70.4638320999939,population_latency_p99_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,10,401.1638320999939,0,COMPLETE,0
HCA_SEGMENT_IDENTITY_V1,66869836.914530315,-2676747.427170666,-2745495.5080161435,1.0,map2,-2709482.2832263336,source_backlog_area_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,64160354.63130398,10,COMPLETE,0
HCA_SEGMENT_IDENTITY_V1,0.0,0.0,0.0,1.0,map2,0.0,tardiness_max_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,COMPLETE,10
