section,case_id,scale,speed_mps,fault_scenario,metric,s4_value,hca_value,fixed_denominator,verdict,evidence_status
primary_capacity,t5_2_nanning_1x_speed_1p5,1,1.5,,completed_raw_bags,28506,28505,28506,S4_WIN,ADMITTED
primary_capacity,t5_2_nanning_1x_speed_2,1,2.0,,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
primary_capacity,t5_2_nanning_1x_speed_2p5,1,2.5,,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
primary_capacity,t5_2_nanning_1x_speed_3,1,3.0,,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
primary_capacity,t5_2_nanning_2x_speed_1p5,2,1.5,,completed_raw_bags,57012,39060,57012,S4_WIN,ADMITTED
primary_capacity,t5_2_nanning_2x_speed_2,2,2.0,,completed_raw_bags,57012,39272,57012,S4_WIN,ADMITTED
primary_capacity,t5_2_nanning_2x_speed_2p5,2,2.5,,completed_raw_bags,57012,39063,57012,S4_WIN,ADMITTED
primary_capacity,t5_2_nanning_2x_speed_3,2,3.0,,completed_raw_bags,57012,39278,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_1,1,2.5,single_1,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_2,1,2.5,single_2,completed_raw_bags,25886,596,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_3,1,2.5,single_3,completed_raw_bags,28506,28504,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_4,1,2.5,single_4,completed_raw_bags,27813,2091,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_5,1,2.5,single_5,completed_raw_bags,23669,560,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_6,1,2.5,single_6,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_7,1,2.5,single_7,completed_raw_bags,28506,28506,28506,FULL_POPULATION_CEILING_TIE,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_single_8,1,2.5,single_8,completed_raw_bags,27839,2183,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_pair_1_7,1,2.5,pair_1_7,completed_raw_bags,28506,28505,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_pair_2_4,1,2.5,pair_2_4,completed_raw_bags,25193,477,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_pair_3_5,1,2.5,pair_3_5,completed_raw_bags,12186,483,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_pair_4_5,1,2.5,pair_4_5,completed_raw_bags,22976,231,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_pair_5_7,1,2.5,pair_5_7,completed_raw_bags,23669,560,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_triple_2_4_6,1,2.5,triple_2_4_6,completed_raw_bags,25193,477,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_triple_3_5_8,1,2.5,triple_3_5_8,completed_raw_bags,12115,483,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_1x_fault_triple_4_6_7,1,2.5,triple_4_6_7,completed_raw_bags,27813,2091,28506,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_single_1,2,2.5,single_1,completed_raw_bags,41043,37810,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_single_2,2,2.5,single_2,completed_raw_bags,49488,1015,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_single_3,2,2.5,single_3,completed_raw_bags,38618,31709,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_single_4,2,2.5,single_4,completed_raw_bags,55626,3609,57012,S4_WIN,ADMITTED
primary_capacity,t5_5_nanning_2x_fault_single_5,2,2.5,single_5,completed_raw_bags,47338,1054,57012,S4_WIN,ADMITTED
