case_id,scale,case_group,protocol_status,repeats_expected,repeats_complete,speed_mps,fault_line_ids,fault_edges,fault_schedule,topology_upper_raw_bags,fixed_raw_bag_denominator,fixed_segment_population,primary_capacity_eligible,status_echo_pass,cohort_pass,fixed_horizon_pass,fault_event_pass,released_segment_count_by_repeat,planned_segment_count_by_repeat,completed_segment_count_by_repeat,completed_raw_bag_count_by_repeat,fixed_denominator_completion_rate_by_repeat,mean_fixed_denominator_completion_rate,full_population_completion,formal_timing_comparison_allowed,timing_scope,processed_attempt_mean_minutes_by_repeat,full_population_processed_attempt_minutes_by_repeat
nanning_1x_t5_2_speed_1p5,1,stable_speed,FIXED_HORIZON_CAPACITY,2,2,1.5,[],[],none,,28506,43603,True,True,True,True,True,"[43603, 43603]","[43603, 43603]","[43602, 43602]","[28505, 28505]","[0.9999649196660352, 0.9999649196660352]",0.9999649196660352,False,False,NOT_REPORTED,"[null, null]","[null, null]"
nanning_1x_t5_2_speed_2,1,stable_speed,FULL_POPULATION_TIMING,2,2,2.0,[],[],none,,28506,43603,True,True,True,True,True,"[43603, 43603]","[43603, 43603]","[43603, 43603]","[28506, 28506]","[1.0, 1.0]",1.0,True,True,FULL_POPULATION,"[7.364979887275194, 7.364979887275194]","[{""max"": 20.983333333333334, ""mean"": 7.364979887275194, ""min"": 0.9833333333333333, ""p50"": 7.483333333333333, ""p95"": 12.7, ""p99"": 15.066666666666666}, {""max"": 20.983333333333334, ""mean"": 7.364979887275194, ""min"": 0.9833333333333333, ""p50"": 7.483333333333333, ""p95"": 12.7, ""p99"": 15.066666666666666}]"
nanning_1x_t5_2_speed_2p5,1,stable_speed,FULL_POPULATION_TIMING,2,2,2.5,[],[],none,,28506,43603,True,True,True,True,True,"[43603, 43603]","[43603, 43603]","[43603, 43603]","[28506, 28506]","[1.0, 1.0]",1.0,True,True,FULL_POPULATION,"[6.1262511985780765, 6.1262511985780765]","[{""max"": 18.55, ""mean"": 6.1262511985780765, ""min"": 0.8166666666666667, ""p50"": 6.2, ""p95"": 10.7, ""p99"": 12.765833333333346}, {""max"": 18.55, ""mean"": 6.1262511985780765, ""min"": 0.8166666666666667, ""p50"": 6.2, ""p95"": 10.7, ""p99"": 12.765833333333346}]"
nanning_1x_t5_2_speed_3,1,stable_speed,FULL_POPULATION_TIMING,2,2,3.0,[],[],none,,28506,43603,True,True,True,True,True,"[43603, 43603]","[43603, 43603]","[43603, 43603]","[28506, 28506]","[1.0, 1.0]",1.0,True,True,FULL_POPULATION,"[5.220453588718164, 5.220453588718164]","[{""max"": 15.183333333333334, ""mean"": 5.220453588718164, ""min"": 0.7, ""p50"": 5.283333333333333, ""p95"": 9.166666666666666, ""p99"": 11.016666666666667}, {""max"": 15.183333333333334, ""mean"": 5.220453588718164, ""min"": 0.7, ""p50"": 5.283333333333333, ""p95"": 9.166666666666666, ""p99"": 11.016666666666667}]"
nanning_2x_t5_2_speed_1p5,2,stable_speed,FIXED_HORIZON_CAPACITY,2,2,1.5,[],[],none,,57012,87206,True,True,True,True,True,"[68224, 68224]","[68223, 68223]","[68059, 68059]","[39060, 39060]","[0.6851189223321406, 0.6851189223321406]",0.6851189223321406,False,False,NOT_REPORTED,"[null, null]","[null, null]"
nanning_2x_t5_2_speed_2,2,stable_speed,FIXED_HORIZON_CAPACITY,2,2,2.0,[],[],none,,57012,87206,True,True,True,True,True,"[68441, 68441]","[68439, 68439]","[68301, 68301]","[39272, 39272]","[0.6888374377324072, 0.6888374377324072]",0.6888374377324072,False,False,NOT_REPORTED,"[null, null]","[null, null]"
nanning_2x_t5_2_speed_2p5,2,stable_speed,FIXED_HORIZON_CAPACITY,2,2,2.5,[],[],none,,57012,87206,True,True,True,True,True,"[68158, 68158]","[68156, 68156]","[68062, 68062]","[39063, 39063]","[0.6851715428330878, 0.6851715428330878]",0.6851715428330878,False,False,NOT_REPORTED,"[null, null]","[null, null]"
nanning_2x_t5_2_speed_3,2,stable_speed,FIXED_HORIZON_CAPACITY,2,2,3.0,[],[],none,,57012,87206,True,True,True,True,True,"[68423, 68423]","[68421, 68421]","[68325, 68325]","[39278, 39278]","[0.6889426787343016, 0.6889426787343016]",0.6889426787343016,False,False,NOT_REPORTED,"[null, null]","[null, null]"
nanning_1x_t5_5_fault_single_1,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[1],"[[50, 25]]",8260:50:25:fault,28506,28506,43603,True,True,True,True,True,[43603],[43603],[43603],[28506],[1.0],1.0,True,False,NOT_REPORTED,[null],[null]
nanning_1x_t5_5_fault_single_2,1,all_day_line_interruption,FIXED_HORIZON_CAPACITY,1,1,2.5,[2],"[[28, 29]]",8260:28:29:fault,25886,28506,43603,True,True,True,True,True,[2462],[2450],[2450],[596],[0.02090787904300849],0.02090787904300849,False,False,NOT_REPORTED,[null],[null]
