component,sha256,source,head
model_weights_hash,a1e685fae78ab9e5cd8e2f7b65429341719738860ae7b542dd41c9cff4ed9b04,g4e_model,b3d2296
feature_schema_hash,7965ae34e408e45b7cc5bf743d5301f441c6f7e1e89f9ee9eb59f9fe44c80d40,g4e_model,b3d2296
risk_head_hash,85c68c6e71feaaaeac266dd3b0b38462aa7258f39a066a2ec3e00bfb56b82ad7,g4e_model,b3d2296
fallback_config_hash,dcc6a6aadf420f988c293f23ffa28e9310fd0a176a3217b8700cb107740a0b50,g4h_cpp_policy_bundle,b3d2296
combined_policy_hash,3cfa2dfda51425c96d8442a31234bc273a06bbc5400adebfbe90feed742fe0dd,combined,b3d2296
