scenario,policy_family,task_global_index,segment_id,task_id,source_line,teacher_family,teacher_planned,policy_planned,teacher_path,policy_path,teacher_path_length,policy_path_length,prefix_match_len,first_divergence_current,sipp_teacher_next,policy_next,divergence_reason,policy_decision_count,policy_terminal_reason,teacher_finish_time,policy_finish_time,finish_time_gap_vs_sipp,failure_motif,counterfactual_interpretation
legacy_first16,periodic_replanning_sipp,0,0:storage_in,0,2,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,8316.845453,8342.845453,26.0,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,1,1:storage_in,1,3,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,8914.245453,8932.845453,18.600000000000364,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,2,2:storage_in,2,4,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,8939.800872,8942.845453,3.0445810000001075,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,3,3:storage_in,3,5,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,8929.000872,8957.845453,28.84458099999938,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,4,4:storage_in,4,6,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,9511.482986,9537.482986,26.0,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,5,5:storage_in,5,7,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,9522.282986,9547.482986,25.200000000000728,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,6,6:storage_in,6,8,rolling_horizon_sipp,True,True,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10108.221619999998,10127.62162,19.400000000001455,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,7,7:storage_in,7,9,rolling_horizon_sipp,True,True,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,9,9,9,,,,path_prefix_match,8,,10122.28213,10152.62162,30.339490000000296,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,8,8:storage_in,8,10,rolling_horizon_sipp,True,True,0 6 8 11 14 46 36 38 39 47,0 6 12 13 23 24 27 28 47,10,9,2,6,8,12,different_next_node,8,,10155.706479999999,10162.62162,6.915140000000974,,policy completed under this diagnostic
legacy_first16,periodic_replanning_sipp,9,9:storage_in,9,11,rolling_horizon_sipp,True,True,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,8,8,8,,,,path_prefix_match,7,,10155.172939999997,10197.62162,42.44868000000315,,policy completed under this diagnostic
