system,task_scope,estimated_full_cie_astar_calls,model_inference_count,pibt_lite_fallback_calls,task_level_zero_full_astar_share,notes
original_cie_retry_teacher,g4d_teacher_windows,15852,0,0,0,offline teacher/reference cost
g4e_model_plus_cie_fallback_reference,g4d_teacher_planned_scope,6395,,0,0.01708249,reference still uses full CIE/A* as fallback
g4h_model_plus_pibt_lite_no_astar,g4h_stress_windows,0,262188,59885,1,runtime full CIE/A* fallback disabled; local PIBT-lite fallback counted separately
