leg,source,release_time_block,row_count,mean_delta_total_seconds,mean_delta_source_wait_seconds,mean_delta_route_wait_inclusive_seconds,mean_coordination_residual_delta_seconds,mean_delta_network_seconds,s4_slower_fraction
direct,node_0,10,214,-10.778417836462951,0.0,-7.029015967299333,-3.7494018691636186,-10.778417836462951,0.17757009345794392
direct,node_0,11,66,-13.058644090920676,0.0,-8.484886515158877,-4.573757575761799,-13.058644090920676,0.16666666666666666
direct,node_0,12,142,-6.629379035224446,0.0,-3.015886077473496,-3.6134929577509496,-6.629379035224446,0.2887323943661972
direct,node_0,13,164,-1.7187656707434453,0.0,-0.9841803048832556,-0.7345853658601899,-1.7187656707434453,0.32926829268292684
direct,node_0,14,140,-13.59590090001449,0.0,-9.313615185724329,-4.282285714290161,-13.59590090001449,0.20714285714285716
direct,node_0,15,196,-4.696249882666776,0.0,-1.6380458010290957,-3.05820408163768,-4.696249882666776,0.3622448979591837
direct,node_0,16,193,-7.308398435248291,0.0,-4.046149730580019,-3.2622487046682713,-7.308398435248291,0.26424870466321243
direct,node_0,17,155,-7.466435774210925,0.0,-5.1303712580763765,-2.336064516134549,-7.466435774210925,0.2903225806451613
direct,node_0,18,164,-6.981879682678082,0.0,-3.6948548717129777,-3.287024810965105,-6.981879682678082,0.36585365853658536
direct,node_0,19,140,2.231615793037989,0.0,6.1124733715983375,-3.8808575785603483,2.231615793037989,0.35
direct,node_0,20,56,-5.901587249897732,0.0,-4.825015374908617,-1.0765718749891156,-5.901587249897732,0.23214285714285715
direct,node_0,21,76,-4.091430842038742,0.0,-2.5592198420498264,-1.5322109999889155,-4.091430842038742,0.39473684210526316
direct,node_0,22,38,-0.5401066578805943,0.0,-0.5421061578917464,0.001999500011152122,-0.5401066578805943,0.7105263157894737
direct,node_0,5,262,-15.478426980941306,0.0,-6.1758468282695995,-9.302580152671707,-15.478426980941306,0.2824427480916031
direct,node_0,6,512,80.36382427337983,3.56103515625,92.04453911712983,-15.24175000000006,76.80278911712986,0.685546875
direct,node_0,7,584,-80.0879741492222,4.556078767123288,-68.44468305333169,-16.19936986301386,-84.64405291634552,0.1404109589041096
direct,node_0,8,156,-0.27046585257059447,0.0,1.9698418397367556,-2.24030769230735,-0.27046585257059447,0.34615384615384615
direct,node_0,9,104,-6.9052400288581754,0.0,-5.164932336545392,-1.7403076923127838,-6.9052400288581754,0.21153846153846154
direct,node_1,10,234,-5.517273474371936,0.0,-1.3705555256518946,-4.146717948720041,-5.517273474371936,0.24358974358974358
direct,node_1,11,72,-16.0313725555641,0.0,-8.797261444452184,-7.2341111111119165,-16.0313725555641,0.18055555555555555
direct,node_1,12,152,2.3108349210389956,0.0,6.399624394724445,-4.088789473685449,2.3108349210389956,0.3223684210526316
direct,node_1,13,190,-1.422771536852509,0.0,1.4910179368321368,-2.9137894736846457,-1.422771536852509,0.3
direct,node_1,14,128,-10.071874585951718,0.0,-5.923874585951069,-4.14800000000065,-10.071874585951718,0.1796875
direct,node_1,15,164,2.025149164624076,0.0,4.0085150182864995,-1.9833658536624237,2.025149164624076,0.5365853658536586
direct,node_1,16,168,-4.160528142869832,0.0,-0.9315757619129034,-3.2289523809569283,-4.160528142869832,0.40476190476190477
direct,node_1,17,148,-8.339933540555796,0.0,-4.736528135146826,-3.6034054054089704,-8.339933540555796,0.3783783783783784
direct,node_1,18,180,-2.891924388670668,0.0,1.5671870502076166,-4.459111438878285,-2.891924388670668,0.37222222222222223
direct,node_1,19,132,5.1228056668547985,0.0,8.32383636381377,-3.201030696958972,5.1228056668547985,0.38636363636363635
direct,node_1,20,58,-3.7290514481649333,0.0,-3.7310510688649035,0.0019996206999700196,-3.7290514481649333,0.3275862068965517
direct,node_1,21,82,1.2873576707870376,0.0,2.514626341507587,-1.2272686707205493,1.2873576707870376,0.45121951219512196
direct,node_1,22,44,-0.08436499998523769,0.0,1.3454536136394546,-1.4298186136246924,-0.08436499998523769,0.6136363636363636
direct,node_1,5,236,-19.523500402565997,0.0,-9.03905972459998,-10.484440677966015,-19.523500402565997,0.3728813559322034
direct,node_1,6,536,192.0361440969575,146.1865671641791,65.28936797755452,-19.439791044776157,45.84957693277841,0.8227611940298507
direct,node_1,7,576,-24.690855158233685,73.25824652777777,-73.46325446378836,-24.485847222223065,-97.94910168601142,0.22743055555555555
direct,node_1,8,176,3.363328892036262,0.0,5.035192528399668,-1.6718636363634067,3.363328892036262,0.38636363636363635
direct,node_1,9,116,-4.868714448286106,0.0,-3.112093758628832,-1.7566206896572738,-4.868714448286106,0.3103448275862069
direct,node_2,10,234,-2.509792380354879,0.0,0.4189768504176568,-2.9287692307725357,-2.509792380354879,0.3803418803418803
direct,node_2,11,86,-6.751510127914645,0.0,-4.025603151166568,-2.7259069767480764,-6.751510127914645,0.38372093023255816
