case,policy,task_count,planned_count,unplanned_count,decision_count,post_shield_conflicts,mean_travel_time,decisions_per_second,compact_planned_count,compact_decision_count,accounted_pass,safety_pass
synthetic_seed7_medium_repair,edge_score_event,18,18,0,55,0,9.152747331723951,9053.050878145936,18,55,True,True
synthetic_seed7_medium_repair,fallback_event,18,18,0,55,0,9.152747331723951,9159.49173147701,18,55,True,True
synthetic_seed11_dense_multi_repair,edge_score_event,24,16,8,112,0,14.121867493001641,6449.1610332477285,18,140,True,True
synthetic_seed11_dense_multi_repair,fallback_event,24,16,8,112,0,14.121867493001641,7635.40921021236,18,140,True,True
synthetic_seed17_static_plus_repair,edge_score_event,20,12,8,97,0,16.972989032025044,6175.19735166794,14,247,True,True
synthetic_seed17_static_plus_repair,fallback_event,20,12,8,97,0,16.972989032025044,8564.1383329066,14,247,True,True
synthetic_seed23_repeated_repair,edge_score_event,22,20,2,85,0,12.984904736897482,7513.612898663461,20,128,True,True
synthetic_seed23_repeated_repair,fallback_event,22,19,3,93,0,13.7293717342828,8496.09910288502,20,128,True,True
