case_id,speed_mps,completed_raw_bags,fifo_min_minutes,fifo_mean_minutes,fifo_p95_minutes,fifo_p99_minutes,fifo_max_minutes,fresh_hca_min_minutes,fresh_hca_mean_minutes,fresh_hca_max_minutes,paper_min_minutes,paper_mean_minutes,paper_max_minutes,fifo_min_vs_fresh_hca,fifo_mean_vs_fresh_hca,fifo_max_vs_fresh_hca,fifo_min_vs_paper,fifo_mean_vs_paper,fifo_max_vs_paper,fault_values_activation
t5_2_speed_1p5,1.5,28506,5.088922222221906,5.718631431979208,6.722288888889003,6.798677777777848,7.255622222222337,5.1,6.4199238756752965,9.633333333333333,5.1,6.44,9.68,G27_FIFO_WIN,G27_FIFO_WIN,G27_FIFO_WIN,G27_FIFO_WIN,G27_FIFO_WIN,G27_FIFO_WIN,FAULT_VALUES_DLP_EXACT_OFF_NO_FAULT_CASE
t5_2_speed_2,2.0,28506,3.8666999999998857,4.32514088028247,5.075066666666681,5.125066666666438,5.308399999999771,3.8666666666666667,4.9273766926261136,7.366666666666666,3.87,4.93,7.37,RESOLUTION_BOUND_TIE,G27_FIFO_WIN,G27_FIFO_WIN,RESOLUTION_BOUND_TIE,G27_FIFO_WIN,G27_FIFO_WIN,FAULT_VALUES_DLP_EXACT_OFF_NO_FAULT_CASE
t5_2_speed_2p5,2.5,28506,3.133366666666431,3.51261796113099,4.120066666666571,4.250066666666438,4.7967333333332745,3.1333333333333333,3.94516943801305,5.95,3.13,3.96,5.98,RESOLUTION_BOUND_TIE,G27_FIFO_WIN,G27_FIFO_WIN,RESOLUTION_BOUND_TIE,G27_FIFO_WIN,G27_FIFO_WIN,FAULT_VALUES_DLP_EXACT_OFF_NO_FAULT_CASE
t5_2_speed_3,3.0,28506,2.638922222222027,2.9527766314303583,3.4611777777776904,3.527844444444357,3.855622222222155,2.6333333333333333,3.3545686288266796,5.05,2.63,3.37,5.05,ORIGINAL_WIN,G27_FIFO_WIN,G27_FIFO_WIN,ORIGINAL_WIN,G27_FIFO_WIN,G27_FIFO_WIN,FAULT_VALUES_DLP_EXACT_OFF_NO_FAULT_CASE
