segments,arm_id,status,telemetry_mode,telemetry_enabled,hard_safety_pass,algorithmic_safety_pass,mean_tth_seconds,p95_tth_seconds,p99_tth_seconds,source_wait_mean_seconds,merge_grant_wait_mean_seconds,network_time_mean_seconds,mean_tth_delta_vs_j0_seconds,mean_tth_delta_vs_j1_seconds,wall_seconds,cpu_seconds,wrapper_wall_limit_seconds,observed_cpu_lower_bound_seconds,observed_rss_mb,events_per_requested_segment,events_per_raw_bag,wakeups_per_service_opportunity,pending_peak,service_opportunity_count,multi_candidate_opportunity_count,order_mutation_count
144,J0_F2_EAGER,COMPLETE,evidence_trace,True,True,True,10212.42233934722,11436.12360435,11543.1984448,1.2743055555555556,0.7707045833333773,224.25387124999878,,,0.11721550009679049,0.109375,,,,103.95138888888889,207.90277777777777,,1,0,0,0
144,J1_F2_JIT_FIFO,COMPLETE,evidence_trace,True,True,True,10212.380695319443,11436.12360435,11543.138159600001,1.2743055555555556,0.7290605555552045,224.2122272222206,-0.04164402777678333,,0.10402289999183267,0.109375,,,,98.06944444444444,196.13888888888889,1.004524886877828,2,442,0,0
144,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,evidence_trace,True,True,True,10212.380695319443,11436.12360435,11543.138159600001,1.2743055555555556,0.7290605555552045,224.2122272222206,-0.04164402777678333,0.0,0.10307960002683103,0.109375,,,,98.06944444444444,196.13888888888889,1.004524886877828,2,442,0,0
512,J0_F2_EAGER,COMPLETE,evidence_trace,True,True,True,8816.72193442578,11183.227207499998,11755.365823,3.126953125,1.3423699609375177,228.76652433593617,,,0.3804297000169754,0.375,,,,106.384765625,212.76953125,,1,0,0,0
512,J1_F2_JIT_FIFO,COMPLETE,evidence_trace,True,True,True,8816.347362785154,11176.475534999998,11748.383518499999,3.126953125,1.1403071093744828,228.39195269531064,-0.3745716406247084,,0.37332919996697456,0.375,,,,98.484375,196.96875,1.0228862047043865,3,1573,10,0
512,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,evidence_trace,True,True,True,8816.347362785154,11175.843132499996,11752.4073765,3.126953125,1.1679588281244833,228.39195269531064,-0.3745716406247084,0.0,0.3947438000468537,0.40625,,,,98.404296875,196.80859375,1.0228862047043865,3,1573,13,13
2048,J0_F2_EAGER,COMPLETE,evidence_trace,True,True,True,6313.742402753578,10876.900578999997,11452.135283,16.739493791786057,1.9509060936006417,239.63489000954755,,,1.8046244999859482,1.703125,,,,109.99462890625,215.15663801337155,,1,0,0,0
2048,J1_F2_JIT_FIFO,COMPLETE,evidence_trace,True,True,True,6312.535969764085,10876.055388999994,11444.667296399997,16.739493791786057,1.5299202674307864,238.42845702005408,-1.206432989492896,,2.425729800015688,2.328125,,,,101.8330078125,199.1919770773639,1.0402684563758389,4,6407,74,0
2048,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,evidence_trace,True,True,True,6312.535969764085,10876.219158999995,11450.6729738,16.739493791786057,1.657408223495724,238.42845702005408,-1.206432989492896,0.0,2.952305099926889,2.828125,,,,101.75048828125,199.03056351480421,1.0405806149523957,4,6407,138,134
8192,J0_F2_EAGER,COMPLETE,evidence_trace,True,True,True,3443.3670068830093,9531.536286999997,11016.294537999996,35.252143732135565,2.6059440036747445,242.84142706614483,,,9.245586399920285,8.9375,,,,119.323974609375,199.57166190281748,,1,0,0,0
8192,J1_F2_JIT_FIFO,COMPLETE,evidence_trace,True,True,True,3439.2327934816212,9527.658799499992,11010.985507799995,34.99775418538179,1.811778280931399,238.96160321151123,-4.134213401388024,,37.8131031000521,37.125,,,,108.3250732421875,181.17578603511637,1.0776709755828084,5,27153,553,0
8192,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,evidence_trace,True,True,True,3439.282884451405,9527.676140999993,11014.033238099995,35.031135157207025,2.128532043691706,238.97831320946955,-4.084122431604101,0.050090969783923356,37.875488099991344,37.1875,,,,108.265869140625,181.07676602694977,1.0792914226788937,7,27153,978,895
43603,J0_F2_EAGER,COMPLETE,capacity,False,True,True,2493.3798860974166,7357.77384499998,10792.85834149997,22.350671788395424,2.0239244408193753,228.76912224970042,,,28.680505799944513,28.15625,,,,124.8770038758801,191.01283940223112,,2,0,0,0
43603,J1_F2_JIT_FIFO,COMPLETE,capacity,False,True,True,2490.6319065485513,7344.588737499984,10789.015762999989,21.657615940503753,1.5627412527197808,226.7141985487269,-2.74797954886526,,24.887982600019313,24.453125,,,,114.39295461321468,174.97635585490775,1.0645194339501824,6,156170,2259,0
43603,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,capacity,False,True,True,2490.6626720249424,7348.184714999998,10789.015762999989,21.684706728408056,1.7466487918343927,226.71787323721352,-2.717214072474235,0.030765476391025004,24.475684199947864,24.109375,,,,114.34167373804554,174.8979162281625,1.0650573093423834,7,156170,3621,3252
