scenario,scale,task_count,raw_bags,complete_bags,planned_segments,failed_segments,node_conflicts,runtime_full_astar_calls,mean_tth,min_tth,max_tth,p95_tth,p99_tth,source_retry_count,source_queue_backlog,max_source_queue_delay,total_source_queue_delay,fallback_calls,loop_count,runtime_seconds,tasks_per_second,memory_estimate_mb,policy_id,release_semantics,reservation_semantics,tth_denominator,generation_level,topology_changed,claim_level,task_path,task_path_sha256,graph_speed,fault_edges,note
high_flow_no_fault_1x,1x,43603,28506,28506,43603,0,0,0,3.55659385,3.13333333,4.72000018,4.18000003,4.38666673,0,310,309,985341,83320,0,9.297237,4689.88797425,29.82057764,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,original_processed_inputdata_with_java_source_queue_release,False,high_flow_extension,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,2.5,[],scale ladder no-fault full run
high_flow_no_fault_2x,2x,87206,57012,57012,87206,0,0,0,4.12307776,3.13333333,9.3400139,6.3266812,7.50334825,0,956,955,6145482,168171,4504,29.6383062,2942.34088181,61.55560044,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,high_flow_extension,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\high_flow_no_fault_2x\java_source_queue_one_per_epoch.jsonl,31d17f6d13af728e4944791aad083f3621f38d7f9a2f5e15a6e578192640ba76,2.5,[],scale ladder no-fault full run
high_flow_no_fault_4x,4x,174412,114024,114024,174412,0,0,0,74.04123981,3.1566668,228.3607251,138.72455853,189.49082148,0,6968,6967,207674676,331248,2473,119.9043569,1454.59268128,124.08970229,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,high_flow_extension,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\high_flow_no_fault_4x\java_source_queue_one_per_epoch.jsonl,63a587c8bec1593a222970c331cbc144a5b3e144d4438ef7ddc6737d473282d8,2.5,[],scale ladder no-fault full run
high_flow_no_fault_8x,8x,348824,228048,228048,348824,0,0,0,590.21708243,3.18333335,1609.72967778,1270.11580828,1496.81279776,0,60556,60555,3999197460,618332,2534,463.1950845,753.08225772,249.38661283,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,high_flow_extension,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\high_flow_no_fault_8x\java_source_queue_one_per_epoch.jsonl,28ac77db008aab8436ad0713b04db45457eab5bc716726798cf3089ee00c12ba,2.5,[],scale ladder no-fault full run
high_flow_no_fault_16x,16x,697648,456096,456096,697648,0,0,0,1551.371367,3.18333337,3870.63013284,3502.99704214,3773.31410471,0,179744,179743,25438332683,1228403,2354,1777.4997637,392.48837848,500.7471216,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,high_flow_extension_if_feasible,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\high_flow_no_fault_16x\java_source_queue_one_per_epoch.jsonl,93d2e67ea7f4fef35415b04a0cd59a5403f32f2445dce79e46f47cb3d567ea5d,2.5,[],16x full run requested and executed
high_flow_no_fault_32x_smoke,32x,32768,32768,32768,32768,0,0,0,59.79003731,0.75666667,153.92025532,140.2002207,149.17691933,0,420704,420703,138382828517,35898,0,8.7301413,3753.43294844,23.53192139,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,smoke_only,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\high_flow_no_fault_32x_smoke\java_source_queue_one_per_epoch.jsonl,64b291c9fc00727653f00b24ef4d59c61989d5d3082aad7c0c74d294272ee868,2.5,[],32x smoke capped at first 32768 released segments
source_wave_peak_4x_compressed,4x,174412,114024,114024,174412,0,0,0,292.42094658,3.18333335,787.31481823,613.9118933,728.28165482,0,30278,30277,999748701,309230,840,119.4951829,1459.57348043,124.20243137,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,diagnostic_pressure_extension,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\source_wave_peak_4x_compressed\java_source_queue_one_per_epoch.jsonl,96207f6363a1639eeedd29f54836c1f8562d818ca904ed0f50b3174ab4e4947b,2.5,[],distribution-preserving OD/leg resample with time compression for source-wave pressure; not paper-main
storage_release_peak_4x_compressed,4x,174412,114024,114024,174412,0,0,0,180.88702399,3.18,487.74504127,353.04431592,451.99512202,0,16490,16489,593963120,320655,1289,117.9702088,1478.44105537,124.25993295,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,diagnostic_pressure_extension,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\storage_release_peak_4x_compressed\java_source_queue_one_per_epoch.jsonl,293f8eb59490b80947b8ffecf3ec963413636b9f0281941afb52d57a827f01fd,2.5,[],storage release pressure diagnostic using deterministic fixed-map resample
late_bag_peak_4x,4x,174412,114024,114024,174412,0,0,0,74.04123981,3.1566668,228.3607251,138.72455853,189.49082148,0,6968,6967,207674676,331248,2473,115.6034639,1508.7091175,124.08970229,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,diagnostic_pressure_extension,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\late_bag_peak_4x\java_source_queue_one_per_epoch.jsonl,63a587c8bec1593a222970c331cbc144a5b3e144d4438ef7ddc6737d473282d8,2.5,[],late-bag pressure retained through original std/pass_time ordering in high-flow resample
speed_deviation_10_8x,8x,348824,228048,228048,348824,0,0,0,587.76446618,3.51666668,1600.43259492,1255.34303534,1483.74560219,0,60556,60555,3999197460,617116,2537,444.6911322,784.41861045,249.49576837,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,distribution_preserving_resample,False,dynamic_high_flow_diagnostic,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\speed_deviation_10_8x\java_source_queue_one_per_epoch.jsonl,28ac77db008aab8436ad0713b04db45457eab5bc716726798cf3089ee00c12ba,2.25,[],8x high-flow speed deviation diagnostic at 10 percent
