sample_id,scenario,context,task_id,segment_id,decision_index,current_node,goal_node,candidate_next_nodes,is_branch_node,is_source_retry,current_time,task_entry_time,deadline_or_std,time_slack,candidate_shortest_time_to_goal,candidate_travel_time,candidate_service_time,candidate_node_type,candidate_fault_status,local_node_time_window_pressure,local_queue_or_occupancy_summary,source_retry_age_seconds,label_type,split,edge_capacity_primary,teacher_next_node,retry_delay_seconds,attempts,root_cause
g4a_source_retry_000000,legacy_first32,no_fault,18,18:storage_in,-1,0,47,[6],False,True,10684.10647,10684.10647,24000,13315.89353,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",,"{""retry_delay_seconds"": 1.893529999999373, ""source_retry_attempts"": 3}",0,WAIT_AT_SOURCE_RETRY,train,False,,1.89353,3,temporary_node_time_window_blockage_recovered_by_source_retry
g4a_source_retry_000001,legacy_offset64_repair32,repair_window,66,66:storage_in,-1,4,47,[17],False,True,12477.43655,12477.43655,25800,13322.56345,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",,"{""retry_delay_seconds"": 1.1512700000002951, ""source_retry_attempts"": 3}",0,WAIT_AT_SOURCE_RETRY,train,False,,1.15127,3,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000002,legacy_offset64_repair32,repair_window,71,71:storage_in,-1,4,47,[17],False,True,12485.3062,12485.3062,25800,13314.6938,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",,"{""retry_delay_seconds"": 1.2982799999990675, ""source_retry_attempts"": 3}",0,WAIT_AT_SOURCE_RETRY,val,False,,1.29828,3,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000003,legacy_offset64_repair32,repair_window,72,72:storage_in,-1,0,47,[6],False,True,12486.60448,12486.60448,23400,10913.39552,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",,"{""retry_delay_seconds"": 2.395520000000033, ""source_retry_attempts"": 5}",0,WAIT_AT_SOURCE_RETRY,test,False,,2.39552,5,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000004,legacy_offset64_repair32,repair_window,80,80:storage_in,-1,0,47,[6],False,True,13050.16178,13050.16178,26400,13349.83822,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",,"{""retry_delay_seconds"": 1.683499999999185, ""source_retry_attempts"": 3}",0,WAIT_AT_SOURCE_RETRY,val,False,,1.6835,3,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000005,legacy_offset64_repair32,repair_window,84,84:storage_in,-1,4,47,[17],False,True,13059.8454,13059.8454,24000,10940.1546,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",,"{""retry_delay_seconds"": 1.1545999999998457, ""source_retry_attempts"": 4}",0,WAIT_AT_SOURCE_RETRY,train,False,,1.1546,4,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000006,legacy_offset64_repair32,repair_window,89,89:storage_in,-1,4,47,[17],False,True,13067.84538,13067.84538,23100,10032.15462,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",,"{""retry_delay_seconds"": 1.1546199999993405, ""source_retry_attempts"": 4}",0,WAIT_AT_SOURCE_RETRY,val,False,,1.15462,4,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000007,legacy_offset64_repair32,repair_window,90,90:storage_in,-1,0,47,[6],False,True,13067.93782,13067.93782,25200,12132.06218,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",,"{""retry_delay_seconds"": 2.062180000000808, ""source_retry_attempts"": 5}",0,WAIT_AT_SOURCE_RETRY,test,False,,2.06218,5,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000008,legacy_offset64_repair32,repair_window,95,95:storage_in,-1,0,47,[6],False,True,13078.60448,13078.60448,24600,11521.39552,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",,"{""retry_delay_seconds"": 0.3955200000000332, ""source_retry_attempts"": 2}",0,WAIT_AT_SOURCE_RETRY,train,False,,0.39552,2,temporary_node_time_window_blockage_after_repair_window_recovered_by_source_retry
g4a_source_retry_000009,legacy_offset64_merge32,merge_window,66,66:storage_in,-1,4,47,[17],False,True,12477.43655,12477.43655,25800,13322.56345,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",,"{""retry_delay_seconds"": 1.1512700000002951, ""source_retry_attempts"": 3}",0,WAIT_AT_SOURCE_RETRY,val,False,,1.15127,3,temporary_node_time_window_blockage_in_merge_named_window_no_merge_constraint_applied
