protocol_id,arm,repeat,denominator,status,segment_count,raw_bag_count,completed_segments,completed_raw_bags,failed_segments,comparison_eligible,safety_pass,min_s,p50_s,mean_s,p95_s,p99_s,max_s,mean_improvement_vs_hca_pct,p95_improvement_vs_hca_pct,p99_improvement_vs_hca_pct,max_improvement_vs_hca_pct,source_wait_mean_s,network_time_mean_s,deadline_miss_count,release_protocol,release_trace,end_to_end_wall_s,core_wall_s,cpu_s,event_count,decision_count,centralized_full_route,runtime_astar,global_reservation,learning,resource_semantics,scorer,pibt,event_semantics,merge_timing,hotpath
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,HCA,1,processed_attempt,complete,43603,28506,43603,28506,0,True,NOT_MEASURED,188.0,232.0,236.710166280783,299.0,330.0,357.0,0.0,0.0,0.0,0.0,1.289482915877359,236.710166280783,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,227.43387579999398,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,yes,yes,yes,no,legacy_java_hca_global_reservation,HCA_star,no,legacy_integer_epoch,NOT_MEASURED,no
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,HCA,1,java_release,complete,43603,28506,43603,28506,0,True,NOT_MEASURED,188.0,235.0,237.99964919666036,300.0,332.0,383.0,0.0,0.0,0.0,0.0,1.289482915877359,236.710166280783,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,227.43387579999398,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,yes,yes,yes,no,legacy_java_hca_global_reservation,HCA_star,no,legacy_integer_epoch,NOT_MEASURED,no
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,HCA,1,raw_entry,complete,43603,28506,43603,28506,0,True,NOT_MEASURED,187.01089000000138,2678.877679999998,2584.689412660352,7543.53318,10834.457734999998,12450.32946,0.0,0.0,0.0,0.0,1.289482915877359,236.710166280783,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,227.43387579999398,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,yes,yes,yes,no,legacy_java_hca_global_reservation,HCA_star,no,legacy_integer_epoch,NOT_MEASURED,no
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,HCA,2,processed_attempt,complete,43603,28506,43603,28506,0,True,NOT_MEASURED,188.0,232.0,236.710166280783,299.0,330.0,357.0,0.0,0.0,0.0,0.0,1.289482915877359,236.710166280783,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,271.5177211999835,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,yes,yes,yes,no,legacy_java_hca_global_reservation,HCA_star,no,legacy_integer_epoch,NOT_MEASURED,no
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,HCA,2,java_release,complete,43603,28506,43603,28506,0,True,NOT_MEASURED,188.0,235.0,237.99964919666036,300.0,332.0,383.0,0.0,0.0,0.0,0.0,1.289482915877359,236.710166280783,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,271.5177211999835,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,yes,yes,yes,no,legacy_java_hca_global_reservation,HCA_star,no,legacy_integer_epoch,NOT_MEASURED,no
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,HCA,2,raw_entry,complete,43603,28506,43603,28506,0,True,NOT_MEASURED,187.01089000000138,2678.877679999998,2584.689412660352,7543.53318,10834.457734999998,12450.32946,0.0,0.0,0.0,0.0,1.289482915877359,236.710166280783,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,271.5177211999835,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,yes,yes,yes,no,legacy_java_hca_global_reservation,HCA_star,no,legacy_integer_epoch,NOT_MEASURED,no
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,F2,1,processed_attempt,PASS,43603,28506,43603,28506,0,True,True,188.00199999998586,201.4019999999946,211.39715512523665,247.20400000004156,267.39649999999466,452.80399999999645,10.693673006642364,17.323076923063024,18.970757575759194,-26.8358543417357,0.0,211.39715512523665,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,NOT_MEASURED,12.372502699989127,12.109375,4233483,340738,no,no,no,frozen_local_adapter,R3_java_node_window_compatible,S1_frozen_g4e_legal_local_adapter,P2,NOT_MEASURED,NOT_MEASURED,E0
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,F2,1,java_release,PASS,43603,28506,43603,28506,0,True,True,188.00199999998586,201.4019999999946,211.39715512523665,247.20400000004156,267.39649999999466,452.80399999999645,11.17753499268477,17.598666666652814,19.458885542170282,-18.225587467361997,0.0,211.39715512523665,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,NOT_MEASURED,12.372502699989127,12.109375,4233483,340738,no,no,no,frozen_local_adapter,R3_java_node_window_compatible,S1_frozen_g4e_legal_local_adapter,P2,NOT_MEASURED,NOT_MEASURED,E0
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,F2,1,raw_entry,PASS,43603,28506,43603,28506,0,True,True,187.01288999999815,2633.6500700000397,2558.0869185889287,7520.546569999984,10819.68549100003,12405.533459999999,1.029233684369142,0.3047194126614327,0.1363450240084291,0.35979770771465264,0.0,211.39715512523665,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,NOT_MEASURED,12.372502699989127,12.109375,4233483,340738,no,no,no,frozen_local_adapter,R3_java_node_window_compatible,S1_frozen_g4e_legal_local_adapter,P2,NOT_MEASURED,NOT_MEASURED,E0
G4IRSF24_EXACT_HCA_RELEASE_1X_NO_FAULT,S4,1,processed_attempt,PASS,43603,28506,43603,28506,0,True,True,188.00199999998586,201.4019999999946,210.76973465235392,247.20399999998335,254.00400000001446,407.403999999995,10.958731530634315,17.32307692308249,23.029090909086527,-14.1187675070014,0.0,210.76973465235392,NOT_MEASURED,exact_hca_release_epoch,artifacts/datasets/g4irsf24_release_compact.csv,NOT_MEASURED,19.31012740000733,18.953125,3995959,339437,no,no,no,no,R3_java_node_window_compatible,S4_queue_aware_rule_only,P2,E4_batch_plus_destination_merge_request,jit_fair_aging_deadline,E2
