dimension,bucket,row_count,activation_count,activation_coverage,beneficial_precision,beneficial_recall,harmful_recall,harmful_activation_rate,activated_utility_mean
source,52,34,0,0.0,0.0,0.0,1.0,0.0,0.0
time,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0
time,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0
time,12,3,0,0.0,0.0,0.0,0.0,0.0,0.0
time,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0
time,14,2,0,0.0,0.0,0.0,0.0,0.0,0.0
time,15,3,0,0.0,0.0,0.0,1.0,0.0,0.0
time,16,2,0,0.0,0.0,0.0,1.0,0.0,0.0
time,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0
time,18,3,0,0.0,0.0,0.0,0.0,0.0,0.0
time,19,2,0,0.0,0.0,0.0,0.0,0.0,0.0
time,20,2,0,0.0,0.0,0.0,0.0,0.0,0.0
time,21,1,0,0.0,0.0,0.0,0.0,0.0,0.0
time,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0
time,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0
time,8,3,0,0.0,0.0,0.0,0.0,0.0,0.0
time,9,5,0,0.0,0.0,0.0,0.0,0.0,0.0
queue,q33_plus,34,0,0.0,0.0,0.0,1.0,0.0,0.0
slack,tight,34,0,0.0,0.0,0.0,1.0,0.0,0.0
leg,storage_in_out,34,0,0.0,0.0,0.0,1.0,0.0,0.0
utility_scope,BOUNDED_DIRECT_SWAP_COHORT,33,0,0.0,0.0,0.0,1.0,0.0,0.0
utility_scope,H_SYSTEM_EXTERNALITY_AUDIT,1,0,0.0,0.0,0.0,0.0,0.0,0.0
