generation_id,input_identity_sha256,stage,case_group,status,execution_status,candidate_id,repeat_count,unsafe_entry_count,hard_failure_count,fault_policy_benefit,unsafe_entry_zero_status,fault_generation_monotone_status,stale_grant_rejected_status,repair_reentry_once_status,credit_grant_cleanup_status,p2_transaction_atomic_status,metric_status,reference_scope,reason,row_sha256
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,G0_NO_FAULT_CONTROL,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,5fbf30c1428625fb72a39980a5219b36dc2eb3769d9b1c8fcaf7152ef04d493f
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,G1_PHYSICAL_SHIELD,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,863d9e1b2edce5500656025b6275e23d7cd6eb09ac848c0edcc637a745ae1226
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,G2_DDI_LOCAL_POLICY,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,59df05d850a69cf532faa2ba4c0de786a759f444aa60e67dad6d8ee6afbff24f
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,G3_DDI_PLUS_P2,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,6c3283bcf6b1cde5450bd2be40db528c8c79bd36e6be9c9bc7d9dcb416d6b77f
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,G5_DELAYED_FAULT,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,f784c14958ada60c8753d482c0c10d56e78f85362b8b26b0db08e4493406ebd8
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,G6_DROPPED_FAULT,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,0d15506df26d265d3a53a67f126b3b4060eb8e3f3ded837d1c855d8441eb3d47
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,G7_REPAIR_REOPEN,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,4669003975c602fed5751f6134c153e989dd7b8a8a0be4ca2cb39981680c1966
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,INFORMATIVE_MULTI_FAULT,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,b75f2b60f33169fe560fb77ebac2894aa1474d28823173601de69d59734d5640
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,GRANT_ISSUE_TO_FAULT,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,34ea5457dcb4f6ddc168b7742d950372059b679066b8085121e98937c9180509
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,PREPARE_COMMIT_TO_FAULT,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,7199ff5874554787465d6dc5e090ea5f3cf4668beff3281d51740f80fe0e7d2c
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,K,SAME_TIMESTAMP_BATCH_AND_FAULT_EVENT,NOT_RUN_NO_ELIGIBLE_NEW_CANDIDATE,NOT_RUN,,0,,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_MEASURED,G4IRSF13_FROZEN_ONLY,NO_STAGE14_CLOSED_LOOP_CANDIDATE,f1b2c5c6e6e26e4ebd845e9eb349b67958c4bd1767fc9ced0687a92c8422143f
