case_index,start,goal,java_path,python_path,cpp_path,java_python_parity,java_cpp_parity,python_cpp_parity
0,3,47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,True,True,True
1,52,49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,True,True,True
2,4,47,4;17;18;22;24;27;28;47,4;17;18;22;24;27;28;47,4;17;18;22;24;27;28;47,True,True,True
3,52,49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,True,True,True
4,5,47,5;19;18;22;24;27;28;47,5;19;18;22;24;27;28;47,5;19;18;22;24;27;28;47,True,True,True
5,52,49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,True,True,True
6,3,47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,True,True,True
7,52,48,52;40;41;45;48,52;40;41;45;48,52;40;41;45;48,True,True,True
8,3,47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,True,True,True
9,52,49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,True,True,True
10,4,47,4;17;18;22;24;27;28;47,4;17;18;22;24;27;28;47,4;17;18;22;24;27;28;47,True,True,True
11,52,49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,True,True,True
12,5,47,5;19;18;22;24;27;28;47,5;19;18;22;24;27;28;47,5;19;18;22;24;27;28;47,True,True,True
13,52,49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,True,True,True
14,3,47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,3;16;17;18;22;24;27;28;47,True,True,True
15,52,49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,52;29;30;31;32;37;49,True,True,True
16,0,47,0;6;12;13;23;24;27;28;47,0;6;12;13;23;24;27;28;47,0;6;12;13;23;24;27;28;47,True,True,True
17,52,50,52;29;30;31;32;33;44;50,52;29;30;31;32;33;44;50,52;29;30;31;32;33;44;50,True,True,True
18,4,47,4;17;18;22;24;27;28;47,4;17;18;22;24;27;28;47,4;17;18;22;24;27;28;47,True,True,True
19,52,48,52;40;41;45;48,52;40;41;45;48,52;40;41;45;48,True,True,True
20,5,47,5;19;18;22;24;27;28;47,5;19;18;22;24;27;28;47,5;19;18;22;24;27;28;47,True,True,True
21,52,48,52;40;41;45;48,52;40;41;45;48,52;40;41;45;48,True,True,True
22,1,47,1;7;8;11;13;23;24;27;28;47,1;7;8;11;13;23;24;27;28;47,1;7;8;11;13;23;24;27;28;47,True,True,True
23,52,50,52;29;30;31;32;33;44;50,52;29;30;31;32;33;44;50,52;29;30;31;32;33;44;50,True,True,True
