source_node,task_count,max_release_count_per_epoch,epochs_with_multiple_releases,max_source_queue_backlog,max_queue_delay_seconds,total_queue_delay_seconds,total_fractional_advance_seconds,queue_delay_excluded_from_java_release_tth,paper_output_support,status
0,3200,1,0,2,1,80,1590.33321,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
1,3193,1,0,2,1,72,1624.56908,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
2,3199,1,0,3,2,80,1658.27417,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
3,4887,1,0,3,2,172,2437.541091,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
4,4887,1,0,3,2,153,2401.464637,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
5,4886,1,0,3,2,172,2453.928989,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
52,15097,1,0,310,309,984466,0,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
53,4254,1,0,3,2,146,2183.67577,True,G4IRSF8 original output inference supports release/cur_time denominator for majority samples.,PASS
