source,decision_ordinal,task_decision_ordinal,event,terminal_reason,task_index,segment_id,task_id,current,goal,ready_time,waiting_time,proposed_position,executed_index,executed_next,executed_kind,unsafe_proposal,fallback_used,reached_goal,candidate_count,safe_candidate_count,route_size_after
python,213,19,step,,17,17:storage_in,17,46,47,10724.07782,11.0,2,2,46,hold,False,False,False,3,2,7
cpp,213,18,step,,17,17:storage_in,17,46,47,10724.07782,11.0,2,2,46,hold,False,False,False,3,1,7
python,214,20,step,,17,17:storage_in,17,46,47,10725.07782,12.0,2,2,46,hold,False,False,False,3,2,7
cpp,214,19,step,,17,17:storage_in,17,46,47,10725.07782,12.0,2,2,46,hold,False,False,False,3,1,7
python,215,21,step,,17,17:storage_in,17,46,47,10726.07782,13.0,2,2,46,hold,False,False,False,3,2,7
cpp,215,20,step,,17,17:storage_in,17,46,47,10726.07782,13.0,2,2,46,hold,False,False,False,3,1,7
python,216,22,step,,17,17:storage_in,17,46,47,10727.07782,14.0,0,0,35,move,False,False,False,3,1,8
cpp,216,21,unplanned,no_safe_action,17,17:storage_in,17,46,47,10727.07782,14.0,-1,-1,46,none,False,True,False,3,0,7
python,217,23,step,,17,17:storage_in,17,35,47,10738.87782,14.0,1,1,35,hold,False,False,False,2,2,8
cpp,217,1,step,,18,18:storage_in,18,0,47,10684.10647,0.0,0,0,6,move,False,False,False,2,2,2
python,218,24,step,,17,17:storage_in,17,35,47,10739.87782,15.0,1,1,35,hold,False,False,False,2,2,8
cpp,218,2,step,,18,18:storage_in,18,6,47,10688.306470000001,0.0,1,1,12,move,False,False,False,3,2,3
python,219,25,step,,17,17:storage_in,17,35,47,10740.87782,16.0,1,1,35,hold,False,False,False,2,2,8
cpp,219,3,step,,18,18:storage_in,18,12,47,10699.306470000001,0.0,0,0,13,move,False,False,False,2,2,4
