map,load_factor,seed,native_status,normalized_status,raw_bag_denominator,completed_raw_bag_count,completion_rate,on_time_raw_bag_count,on_time_rate,full_population_complete,formal_timing_status,wall_seconds,result_sha256
nanning,1,104729,complete,COMPLETE,28506,12696,0.44537992001683857,12330,0.43254051778572933,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,26278.409043999854,01d413029554d367c4a80cd057392c358bbcfcba9e83afaf32238cd1b8834f47
nanning,1,130363,complete,COMPLETE,28506,12701,0.44555532168666245,12334,0.43268083912158845,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,29282.30791429989,2880cb2faf1abf931c27660d23fdc955b29d0d2711c567983e93ffcaac07dc67
nanning,1,155921,complete,COMPLETE,28506,12692,0.44523959868097945,12324,0.4323300357819406,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,28765.709894800093,53e2c1ea086a062ba66b3ebcefea27137734a7ab1f6a2dbe936629bc659a6129
nanning,1,205759,complete,COMPLETE,28506,12693,0.4452746790149442,12326,0.4324001964498702,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,28421.931925500045,b10738b8d364c9bd9ada91b96d7b107a9ea8e520f42032913e665148f438e437
nanning,1,232003,complete,COMPLETE,28506,12693,0.4452746790149442,12326,0.4324001964498702,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,29625.055895300116,efe117ccaeefba692d6e514e67db870ec47b10e8fc5df3f5cf6f69e4e775cf0e
nanning,1,283303,complete,COMPLETE,28506,12690,0.44516943801304987,12324,0.4323300357819406,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,28840.337567399954,4de8e5036b376852bc6148ed3637f499cab3e80b28f80bca120c6d2ce548d413
nanning,1,308081,complete,COMPLETE,28506,12691,0.4452045183470147,12326,0.4324001964498702,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,29064.78568209987,562c716dfed5fe846b19af05485135041b8687d4f3bc867d6d0bc69043594bda
nanning,1.75,104729,complete,COMPLETE,49765,22052,0.44312267657992566,14130,0.28393449211293076,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,58770.85359669989,9e7f5d769754f1e6395e6afc76973bea874a9259765a2b839084abe06395545a
nanning,1.75,181081,complete,COMPLETE,49765,22049,0.44306239324826685,14125,0.28383401989349943,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,57067.986809999915,61b9c03e82ebde5e1f4fb688b03544d457509d9d7c22dee9e0f6eda860866fe3
nanning,1.75,257053,complete,COMPLETE,49765,22052,0.44312267657992566,14126,0.2838541143373857,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,57529.10448480002,f5c707102cf879e533a4a0f6951868857058f76294991ad5ee1b85538ac62eea
nanning,1.75,308081,complete,COMPLETE,49765,22047,0.44302220436049433,14126,0.2838541143373857,false,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,57603.81746180006,abc43f5e8e1e0bf3c52150d1cbeb916ba2fe12f52523472dd234b9de34b6a2e1
nanning,2,155921,complete,COMPLETE,57012,24484,0.42945344839682875,16126,0.28285273275801587,false,FORMAL_2X_TIMING_NA_BY_PROTOCOL,68852.49496889999,42a269154120baa87af99e2c6d9d8bd2a249900017e26345334e9e1c06a5d2d9
nanning,2,257053,complete,COMPLETE,57012,24473,0.42926050656002246,16120,0.2827474917561215,false,FORMAL_2X_TIMING_NA_BY_PROTOCOL,68812.68902259995,405342d880da149e1c4ea9d5eea39f1d86487b5dd65a5fd31a775cb3924fb96a
nanning,2,308081,complete,COMPLETE,57012,24483,0.42943590822984634,16123,0.2828001122570687,false,FORMAL_2X_TIMING_NA_BY_PROTOCOL,69207.10981720011,410ee67cf0373e712e092a668765495efe7afb81ce47660af77f7fdfef310d77
