scenario,candidate,release_semantics,reservation_semantics,tth_denominator,mean_tht,complete_bags,processed_segment_count,planned_segments,failed_segments,node_conflicts,runtime_full_astar_calls,source_retry_count,fault_success_rate,material_regression,claim_level,note
paper_main_2.5,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.55659385,28506,43603,43603,0,0,0,0,,False,paper_protocol_engineering_candidate,paper main THT under java_release_time_tth
speed_sweep_1.5,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,5.77449286,28506,43603,43603,0,0,0,0,,False,paper_protocol_engineering_candidate,speed sweep safety regression
speed_sweep_2.0,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,4.39737996,28506,43603,43603,0,0,0,0,,False,paper_protocol_engineering_candidate,speed sweep safety regression
speed_sweep_2.5,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.55659385,28506,43603,43603,0,0,0,0,,False,paper_protocol_engineering_candidate,speed sweep safety regression
speed_sweep_3.0,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.00632553,28506,43603,43603,0,0,0,0,,False,paper_protocol_engineering_candidate,speed sweep safety regression
dynamic_static_1.5_10,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,6.38682559,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.350; paper_dynamic=6.45
dynamic_static_1.5_20,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,7.15652773,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.200; paper_dynamic=6.67
dynamic_static_1.5_30,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,8.16152673,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.050; paper_dynamic=6.91
dynamic_static_2.0_10,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,4.84631854,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.800; paper_dynamic=4.92
dynamic_static_2.0_20,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,5.42324629,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.600; paper_dynamic=5.16
dynamic_static_2.0_30,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,6.16633573,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.400; paper_dynamic=5.42
dynamic_static_2.5_10,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.92667167,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.250; paper_dynamic=3.99
dynamic_static_2.5_20,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,4.39737996,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.000; paper_dynamic=4.25
dynamic_static_2.5_30,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,4.97758123,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=1.750; paper_dynamic=4.49
dynamic_static_3.0_10,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.30875759,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.700; paper_dynamic=3.39
dynamic_static_3.0_20,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.69363376,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.400; paper_dynamic=3.51
dynamic_static_3.0_30,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,4.18896363,28506,43603,43603,0,0,0,0,,False,diagnostic_only,effective_speed=2.100; paper_dynamic=3.64
fault_16_paper_fault_arc_1,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.54640612,25306,43603,40403,3200,0,0,0,0.88774293,False,fault_diagnostic_only,paper_success=1.0; g6_reference=0.88774293
fault_16_paper_fault_arc_2,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.54170847,25313,43603,40410,3193,0,0,0,0.88798849,False,fault_diagnostic_only,paper_success=0.88; g6_reference=0.88798849
fault_16_paper_fault_arc_3,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.53461691,25307,43603,40404,3199,0,0,0,0.88777801,False,fault_diagnostic_only,paper_success=1.0; g6_reference=0.88777801
fault_16_paper_fault_arc_4,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.53938805,23619,43603,38716,4887,0,0,0,0.82856241,False,fault_diagnostic_only,paper_success=0.95; g6_reference=0.82856241
fault_16_paper_fault_arc_5,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.54729158,23619,43603,38716,4887,0,0,0,0.82856241,False,fault_diagnostic_only,paper_success=0.97; g6_reference=0.82856241
fault_16_paper_fault_arc_6,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.55303697,23620,43603,38717,4886,0,0,0,0.82859749,False,fault_diagnostic_only,paper_success=0.96; g6_reference=0.82859749
fault_16_paper_fault_arc_7,model_plus_pibt_lite_java_source_queue_v2_safe,java_source_queue_one_per_epoch,baseline,java_release_time_tth,3.59471157,28506,43603,43603,0,0,0,0,1,False,fault_diagnostic_only,paper_success=1.0; g6_reference=1.0
