schema,case_id,execution_status,gate_status,blocker,comparator_id,candidate_id,policy_enabled,pibt_mode,fault_kind,fault_arc_ids_json,fault_edges_json,message_delay_seconds,notification_dropped,fault_duration_seconds,task_id,pallet_id,segment_id,leg,start,goal,release_time,completed,finish_minus_release_seconds,path_json,fault_edge_candidate_exposure,fault_target_edge_attempt,affected_bag_count,informative_fault_case,physical_fault_generation_sequence_json,physical_fault_generation_pass,physical_fault_event_count,physical_repair_event_count,repaired_task_reentry_count,repaired_task_reentry_boost_cleared_count,repaired_task_reentry_boost_clear_pass,physical_interlock_mode,local_fault_policy_action_count,local_fault_policy_reroute_count,physical_interlock_rejection_count,physical_interlock_hold_count,fault_notification_drop_count,credit_fault_revocation_count,credit_physical_fault_rejection_count,credit_physical_interlock_bypass,pibt_fault_batch_cancel_count,pibt_activation_count,credit_containment_status,pibt_containment_status,resolved_deadlock_count,unresolved_deadlock_count,repair_backlog_slope_available,repair_backlog_slope,unsafe_entry_count,reservation_conflicts,runtime_full_astar_calls,global_reservation_scan_count,future_routes_stored,event_limit_reached,time_limit_reached,reservation_depth,map_raw_sha256,task_raw_sha256,binary_sha256,frozen_binary_match,deterministic_runtime_projection_sha256,delay_delta_vs_comparator_seconds,completion_delta_vs_comparator,causal_promotion_status
czr005.g4irsf13.fault_control.v1,G0_no_fault,EXECUTED,PASS,,,J_F2,True,P2,no_fault_control,[],[],0,False,0,8,8,8:storage_in,storage_in,0,47,10084.10648,True,45.402000000001863,"[0,6,12,13,23,24,27,28,47]",0,0,0,True,[],True,0,0,0,0,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,0,0,0,0,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,0,0,False,,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,94e28d9cb68f2d0418929a403754d53700e83f3a033ea9ded4f9e34c30247e5b,,,NOT_APPLICABLE
czr005.g4irsf13.fault_control.v1,G1_physical_shield_only,EXECUTED,PASS,,,J_F2,False,P2,single_alternate_edge_fault,[8],"[{""end"":12,""start"":6}]",0,False,97,8,8,8:storage_in,storage_in,0,47,10084.10648,True,141.40200000000186,"[0,6,12,13,23,24,27,28,47]",384,384,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10184.10648}],""generation_pass"":true,""start"":6}]",True,1,1,1,1,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,0,0,384,384,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,1,0,True,-0.024153422539972828,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,270e050626d74c58e227d652733189530df27fb91d80b229201ff49a6e0cf041,,,NOT_APPLICABLE
czr005.g4irsf13.fault_control.v1,G2_control_physical_shield_only_p0,EXECUTED,PASS,,,J_F2,False,P0,single_alternate_edge_fault,[8],"[{""end"":12,""start"":6}]",0,False,97,8,8,8:storage_in,storage_in,0,47,10084.10648,True,141.40200000000186,"[0,6,12,13,23,24,27,28,47]",384,384,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10184.10648}],""generation_pass"":true,""start"":6}]",True,1,1,1,1,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,0,0,384,384,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,1,0,True,-0.024153422539972828,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,1c0c3eb77f9a7fa7e89594f2c536a8eb167c7cae9689ca1c2776ab3717fefc10,,,NOT_APPLICABLE
czr005.g4irsf13.fault_control.v1,G2_ddi_local_policy,EXECUTED,PASS,,G2_control_physical_shield_only_p0,J_F2,True,P0,single_alternate_edge_fault,[8],"[{""end"":12,""start"":6}]",0,False,97,8,8,8:storage_in,storage_in,0,47,10084.10648,True,49.60200000000259,"[0,6,8,11,13,23,24,27,28,47]",1,1,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10184.10648}],""generation_pass"":true,""start"":6}]",True,1,1,0,0,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,1,1,0,0,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,0,0,False,,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,01102d920ee63487cfb4dff08e55eeebe6bf624e88367c6655bdeb9e09d6da73,-91.799999999999272,0,MATCHED_PHYSICAL_SHIELD_POLICY_CONTRIBUTION_PASS
czr005.g4irsf13.fault_control.v1,G3_ddi_plus_p2,EXECUTED,PASS,,G1_physical_shield_only,J_F2,True,P2,single_alternate_edge_fault,[8],"[{""end"":12,""start"":6}]",0,False,97,8,8,8:storage_in,storage_in,0,47,10084.10648,True,49.60200000000259,"[0,6,8,11,13,23,24,27,28,47]",1,1,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10184.10648}],""generation_pass"":true,""start"":6}]",True,1,1,0,0,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,1,1,0,0,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,0,0,False,,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,7952486e6bb1c9712539939c05490c04cd1e1cdf241d0e822157e1e9c185af7d,-91.799999999999272,0,MATCHED_PHYSICAL_SHIELD_POLICY_CONTRIBUTION_PASS
czr005.g4irsf13.fault_control.v1,G4_v3_fault_aware_plus_p2,NOT_RUN,NOT_RUN,FRESH_HOLDOUT_OFFLINE_FAIL_RUNTIME_ACTIVATION_FORBIDDEN,G1_physical_shield_only,,,,single_alternate_edge_fault,[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE
czr005.g4irsf13.fault_control.v1,G5_delayed_message,EXECUTED,PASS,,G3_ddi_plus_p2,J_F2,True,P2,delayed_ddi,[8],"[{""end"":12,""start"":6}]",20,False,97,8,8,8:storage_in,storage_in,0,47,10084.10648,True,49.60200000000259,"[0,6,8,11,13,23,24,27,28,47]",1,1,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10184.10648}],""generation_pass"":true,""start"":6}]",True,1,1,0,0,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,0,0,1,0,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,0,0,True,0,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,ac00642370f652d97dca3bc74047fcf43d48d245d5c0199780f93d64fc338f5d,0,0,UNMATCHED_FAULT_OR_CONTROL_CONFIGURATION
czr005.g4irsf13.fault_control.v1,G6_dropped_message,EXECUTED,PASS,,G1_physical_shield_only,J_F2,True,P2,dropped_ddi_physical_interlock_fallback,[8],"[{""end"":12,""start"":6}]",0,True,97,8,8,8:storage_in,storage_in,0,47,10084.10648,True,49.60200000000259,"[0,6,8,11,13,23,24,27,28,47]",1,1,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10184.10648}],""generation_pass"":true,""start"":6}]",True,1,1,0,0,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,0,0,1,0,2,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,0,0,False,,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,84f915f6b9343a108ccca28a0e3faab462392a0915ba97ef8aa24fa86f1fc31d,-91.799999999999272,0,UNMATCHED_FAULT_OR_CONTROL_CONFIGURATION
czr005.g4irsf13.fault_control.v1,G7_repair_reopen,EXECUTED,PASS,,G7_control_physical_shield_only,J_F2,True,P2,repair_generation_and_queue_wakeup,[8],"[{""end"":12,""start"":6}]",0,False,12,8,8,8:storage_in,storage_in,0,47,10084.10648,True,49.60200000000259,"[0,6,8,11,13,23,24,27,28,47]",1,1,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10099.10648}],""generation_pass"":true,""start"":6}]",True,1,1,1,1,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,1,1,0,0,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,0,0,True,-0.028900063580137712,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,15c3a69d811a0236f8f65da9b30c9783132ca33917903e6c3e75ca728d4a5e92,-6.7999999999992724,0,MATCHED_PHYSICAL_SHIELD_POLICY_CONTRIBUTION_PASS
czr005.g4irsf13.fault_control.v1,G7_control_physical_shield_only,EXECUTED,PASS,,,J_F2,False,P2,repair_generation_and_queue_wakeup,[8],"[{""end"":12,""start"":6}]",0,False,12,8,8,8:storage_in,storage_in,0,47,10084.10648,True,56.402000000001863,"[0,6,12,13,23,24,27,28,47]",44,44,1,True,"[{""end"":12,""events"":[{""active_count"":1,""event"":""FAULT"",""generation"":1,""time"":10087.10648},{""active_count"":0,""event"":""REPAIR"",""generation"":2,""time"":10099.10648}],""generation_pass"":true,""start"":6}]",True,1,1,1,1,True,ALWAYS_ON_NOT_POLICY_CONFIGURABLE,0,0,44,44,0,0,0,False,0,0,NO_CREDIT_CONTAINMENT_OBSERVED,NO_PIBT_BATCH_IN_SINGLE_BAG_PROBE,1,0,True,-0.024153422539972828,0,0,0,0,0,False,False,1,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,814b233016a51a755d6f568604fcb04ca81d781222416075cf2648ec087f1de7,True,7e1becd98c1bc0cf737486b34c1eefa0df7b6be92fb5e99fe069c6797c609a23,,,NOT_APPLICABLE
