case,max_tasks,horizon_seconds,edge_capacity,edge_headway_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_conflicts,cpp_conflicts,mean_travel_abs_diff,python_event_count,cpp_event_count,parity_pass,first_mismatch_status,first_mismatch_index,first_mismatch_field,python_value,cpp_value
line_priority,2,60.0,1,0.0,2,2,0,0,0,0,0.0,2,2,True,match,,none,,
line_fault_unplanned,1,300.0,1,0.0,0,0,1,1,0,0,0.0,1,1,True,match,,none,,
line_repair_window_recovered,1,300.0,1,0.0,1,1,0,0,0,0,0.0,1,1,True,match,,none,,
line_repair_window_active_unplanned,1,300.0,1,0.0,0,0,1,1,0,0,0.0,1,1,True,match,,none,,
single_edge_capacity,2,60.0,1,0.0,2,2,0,0,0,0,0.0,2,2,True,match,,none,,
single_edge_headway,2,60.0,2,2.0,2,2,0,0,0,0,0.0,2,2,True,match,,none,,
line_buffer_capacity,2,60.0,2,0.0,2,2,0,0,0,0,0.0,2,2,True,match,,none,,
synthetic_seed7_medium_repair_rolling,18,6.0,1,0.0,18,18,0,0,0,0,0.0,18,18,True,match,,none,,
synthetic_seed11_dense_multi_repair_rolling,24,6.0,1,0.0,24,24,0,0,0,0,1.7763568394002505e-15,24,24,True,match,,none,,
synthetic_seed17_static_plus_repair_rolling,20,6.0,1,0.0,20,20,0,0,0,0,7.105427357601002e-15,20,20,True,match,,none,,
synthetic_seed23_repeated_repair_rolling,22,6.0,1,0.0,22,22,0,0,0,0,1.7763568394002505e-15,22,22,True,match,,none,,
synthetic_seed31_merge_buffer_rolling,26,6.0,1,0.0,26,26,0,0,0,0,3.552713678800501e-15,26,26,True,match,,none,,
