window_name,window_offset,window_size,selected_count,first_pass_time,last_pass_time,context,fault_edges,fault_windows,edge_capacity_primary
g4d_first144_no_fault,0,144,144,8267.845453,13686.77316,real_inputdata_window,[],[],False
g4d_first256_no_fault,0,256,256,8267.845453,15278.85778,real_inputdata_window,[],[],False
g4d_first512_no_fault,0,512,512,8267.845453,16658.63959,real_inputdata_window,[],[],False
g4d_first1024_no_fault,0,1024,1024,8267.845453,18066.77416,real_inputdata_window,[],[],False
g4d_offset512_512_high_density,512,512,512,16659.81628,18066.77416,real_inputdata_window,[],[],False
g4d_offset2048_1024_high_density,2048,1024,1024,19684.99047,20837.48794,real_inputdata_window,[],[],False
g4d_offset64_static512,64,512,512,12474.63977,16742.58803,static_fault,"[[16, 17]]",[],False
g4d_offset64_repair512,64,512,512,12474.63977,16742.58803,repair_window,[],"[[28, 47, 0.0, 12000.0]]",False
