policy,model_inference_count,verified_cie_fallback_calls,a_star_calls_saved,a_star_calls_saved_rate,planned,notes
verified_cie_retry_per_interface_fallback,0,1186,0,0,144,Diagnostic cost baseline: every interface asks fallback.
g4b_no_calibration,1186,0,1186,1,132,"No fallback calls, but route-exact planned count remains lower."
g4c_round1_cluster_abstain,1186,114,1072,0.90387858,144,Fallback calls are limited to calibrated high-risk branch clusters.
