mode,baseline_mode,mean_seconds,baseline_mean_seconds,delta_seconds,delta_pct,trace_limit,summary_only,profile_enabled,edge_overlap_diagnostic_enabled,final_conflict_audit_enabled
cpp_trace500_tasks_profile_off,cpp_trace0_summary_profile_off,0.44381448,0.41133962,0.03247486,0.07894902,500,False,False,True,True
cpp_full_trace_tasks_profile_off,cpp_trace0_summary_profile_off,0.65323438,0.41133962,0.24189476,0.58806579,1000000,False,False,True,True
cpp_profile_on_trace0_summary,cpp_trace0_summary_profile_off,0.43937248,0.41133962,0.02803286,0.06815016,0,True,True,True,True
cpp_no_edge_diag_trace0_summary,cpp_trace0_summary_profile_off,0.39282838,0.41133962,-0.01851124,-0.04500233,0,True,False,False,True
cpp_no_final_scan_trace0_summary,cpp_trace0_summary_profile_off,0.39568538,0.41133962,-0.01565424,-0.03805673,0,True,False,True,False
cpp_no_edge_diag_no_final_scan_trace0_summary,cpp_trace0_summary_profile_off,0.38162104,0.41133962,-0.02971858,-0.07224828,0,True,False,False,False
