map,nominal_load_factor,component,opportunity_count,any_ranking_change_count,raw_argmin_action_change_count,raw_argmin_action_change_rate,classification
map2,1.00,Q,28263,74,74,0.002618264161624739,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.00,I,366645,879,879,0.0023974143926686576,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.00,wc,0,0,0,0.0,NOT_ACTIVATED
map2,1.00,ws,119412,169,169,0.0014152681472548822,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.25,Q,43660,151,151,0.0034585432890517635,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.25,I,499750,1490,1490,0.002981490745372686,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.25,wc,0,0,0,0.0,NOT_ACTIVATED
map2,1.25,ws,182886,265,265,0.0014489900812528023,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.50,Q,62669,293,293,0.0046753578324211335,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.50,I,644314,2271,2271,0.003524678960879323,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.50,wc,0,0,0,0.0,NOT_ACTIVATED
map2,1.50,ws,258320,374,374,0.00144781666150511,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.75,Q,88528,516,516,0.005828664377372131,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.75,I,798479,3335,3335,0.004176690933637578,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,1.75,wc,0,0,0,0.0,NOT_ACTIVATED
map2,1.75,ws,347484,504,504,0.0014504264944572988,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,2.00,Q,121605,798,798,0.006562230171456766,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,2.00,I,979452,4630,4630,0.004727133131587868,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
map2,2.00,wc,0,0,0,0.0,NOT_ACTIVATED
map2,2.00,ws,458735,649,649,0.0014147601556454162,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.00,Q,192308,19820,19626,0.10205503671194126,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.00,I,879767,62578,57674,0.06555599380290464,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.00,wc,0,0,0,0.0,NOT_ACTIVATED
nanning,1.00,ws,493725,4688,4491,0.009096156767431262,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.25,Q,329706,45061,44287,0.13432269961723475,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.25,I,1301789,82627,73139,0.056183452156993184,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.25,wc,0,0,0,0.0,NOT_ACTIVATED
nanning,1.25,ws,811081,7593,7199,0.008875808951263808,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.50,Q,538639,114170,112581,0.20901011623740576,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.50,I,1820698,98019,83345,0.04577640003998466,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.50,wc,0,0,0,0.0,NOT_ACTIVATED
nanning,1.50,ws,1230070,10341,9602,0.00780605981773395,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.75,Q,699505,168007,165326,0.23634713118562412,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.75,I,2267232,120779,101795,0.04489836064416875,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,1.75,wc,0,0,0,0.0,NOT_ACTIVATED
nanning,1.75,ws,1574996,12893,11919,0.007567638267017821,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,2.00,Q,835654,215592,210337,0.2517034562151321,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,2.00,I,2677076,146153,119980,0.04481755467532487,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
nanning,2.00,wc,0,0,0,0.0,NOT_ACTIVATED
nanning,2.00,ws,1877589,15600,13791,0.007345057943990937,ACTIVATED_NO_CLEAR_OUTCOME_EFFECT
