scenario,context,scheduler,planned,unplanned,node_conflicts,edge_conflicts,merge_conflicts,real_constraint_conflicts,wait_occupancy_model,route_scope
legacy_first16,no_fault,g3f_local_executable_capacity_wait_budget_5s,15,1,0,0,0,0,local_hold_consumes_current_node_capacity,single_executable_step
legacy_first16_buffer2,buffer_capacity,g3f_local_executable_capacity_wait_budget_5s,15,1,0,0,0,0,local_hold_consumes_current_node_capacity,single_executable_step
legacy_first32,no_fault,g3f_local_executable_capacity_wait_budget_5s,25,7,0,0,0,0,local_hold_consumes_current_node_capacity,single_executable_step
legacy_offset32_static16,static_fault,g3f_local_executable_capacity_wait_budget_5s,10,6,0,0,0,0,local_hold_consumes_current_node_capacity,single_executable_step
legacy_offset64_repair32,repair_window,g3f_local_executable_capacity_wait_budget_5s,16,16,0,0,0,0,local_hold_consumes_current_node_capacity,single_executable_step
legacy_offset64_merge32,merge_group,g3f_local_executable_capacity_wait_budget_5s,15,17,0,0,0,0,local_hold_consumes_current_node_capacity,single_executable_step
legacy_first16,no_fault,legacy_node_window_full_route,16,0,0,28,0,28,timed_node_windows_only_no_explicit_edge_wait_occupancy,full_route
legacy_first16_buffer2,buffer_capacity,legacy_node_window_full_route,16,0,0,28,0,28,timed_node_windows_only_no_explicit_edge_wait_occupancy,full_route
legacy_first32,no_fault,legacy_node_window_full_route,31,1,0,81,0,81,timed_node_windows_only_no_explicit_edge_wait_occupancy,full_route
legacy_offset32_static16,static_fault,legacy_node_window_full_route,16,0,0,38,0,38,timed_node_windows_only_no_explicit_edge_wait_occupancy,full_route
legacy_offset64_merge32,merge_group,legacy_node_window_full_route,24,8,0,129,25,154,timed_node_windows_only_no_explicit_edge_wait_occupancy,full_route
legacy_offset64_repair32,repair_window,legacy_node_window_full_route,24,8,0,129,0,129,timed_node_windows_only_no_explicit_edge_wait_occupancy,full_route
legacy_first16,no_fault,sipp_full_route_edge_capacity,16,0,0,0,0,0,full_route_release_time_search,full_route
legacy_first16_buffer2,buffer_capacity,sipp_full_route_edge_capacity,16,0,0,0,0,0,full_route_release_time_search,full_route
legacy_first32,no_fault,sipp_full_route_edge_capacity,32,0,0,0,0,0,full_route_release_time_search,full_route
legacy_offset32_static16,static_fault,sipp_full_route_edge_capacity,16,0,0,0,0,0,full_route_release_time_search,full_route
legacy_offset64_merge32,merge_group,sipp_full_route_edge_capacity,32,0,0,0,0,0,full_route_release_time_search,full_route
legacy_offset64_repair32,repair_window,sipp_full_route_edge_capacity,32,0,0,0,0,0,full_route_release_time_search,full_route
ALL,aggregate,g3f_local_executable_capacity_wait_budget_5s,96,48,0,0,0,0,local_hold_consumes_current_node_capacity,single_executable_step
ALL,aggregate,legacy_node_window_full_route,127,17,0,433,25,458,timed_node_windows_only_no_explicit_edge_wait_occupancy,full_route
ALL,aggregate,sipp_full_route_edge_capacity,144,0,0,0,0,0,full_route_release_time_search,full_route
