check,status,local_value,remote_or_recorded_value,details
current_branch,INFO,codex/czr005-rewrite,origin/codex/czr005-rewrite,
local_head,INFO,5d4be59617284ae240e43a2a6de2663c494bb979,5d4be59617284ae240e43a2a6de2663c494bb979,
head_matches_upstream_tracking_ref,PASS,5d4be59,5d4be59,Local tracking ref comparison; this does not query GitHub Actions.
head_is_ancestor_of_upstream,PASS,True,origin/codex/czr005-rewrite,False means local work is ahead or diverged from the tracking ref.
working_tree_status,WARN,M cpp/ics_core/bindings/czr005_cpp.cpp |  M scripts/eval/g4i_runtime.py |  M src/czr005/cpp_backend.py | ?? outputs/tables/g4ir2_git_state_audit.csv | ?? scripts/eval/g4ir2_baseline_fairness.py | ?? scripts/eval/g4ir2_edge_diagnostic_audit.py | ?? scripts/eval/g4ir2_no_leakage_runtime.py | ?? scripts/eval/g4ir2_optimization_sweep.py | ?? scripts/eval/g4ir2_policy_ablation_quality.py | ?? scripts/eval/g4ir2_runtime.py | ?? scripts/eval/g4ir2_runtime_profile.py | ?? scripts/eval/g4ir2_scale_stress.py | ?? scripts/eval/g4ir2_state_reconciliation.py,,"G4IR2 generation writes files, so this is expected to become dirty before commit."
legacy_java_no_diff,PASS,,,Legacy Java must remain untouched.
g4i_report_recorded_heads,WARN,5d4be59,"[""b3d2296""]","{""g4i_cpp_python_episode_parity_report.md"": [""b3d2296""], ""g4i_full_cpp_runtime_report.md"": [""b3d2296""], ""g4i_large_window_stress_report.md"": [""b3d2296""], ""g4i_negative_boundary_report.md"": [""b3d2296""], ""g4i_no_leakage_runtime_report.md"": [""b3d2296""], ""g4i_promotion_decision.md"": [""b3d2296""], ""g4i_runtime_speed_benchmark_report.md"": [""b3d2296""]}"
recent_log,INFO,5d4be59 eval: add g4i full cpp runtime audit | b3d2296 eval: add g4h no-astar cpp runtime audit | dc3891b eval: add g4g no-astar fallback stress audit | 7fdf7c0 eval: add g4f no-astar fallback audit | 4599f9b eval: add g4e fallback reduction audit | 597b9b9 eval: add g4d large-window runtime audit | 678c169 eval: add g4c failure-driven aggregation | 5d7ebad eval: add g4 cie retry policy pilot,,
