case_id,case_group,execution_class,protocol_status,primary_capacity_eligible,full_completion_eligible,repeats_expected,repeats_complete,speed_mps,fault_line_ids,seed_edges,fault_schedule,status_echo_pass,fixed_horizon_pass,cohort_pass,release_repeat_match,comparison_eligible_by_repeat,released_segment_count_by_repeat,planned_segment_count_by_repeat,completed_segment_count_by_repeat,canonical_complete_raw_bag_count_by_repeat,canonical_success_rate_by_repeat,wall_seconds_by_repeat,timing_scope,secondary_timing_censored,processed_attempt_mean_minutes_by_repeat,full_population_processed_attempt_minutes_by_repeat,secondary_censored_processed_attempt_mean_minutes_by_repeat,secondary_censored_processed_attempt_minutes_by_repeat,counts_consistent_across_repeats,full_release_observed,full_plan_observed,full_segment_completion_observed,full_raw_bag_completion_observed,common_release_cohort_observed,common_release_segment_count,common_release_cohort_drives_capacity_verdict,fixed_raw_bag_denominator,fixed_segment_population,formal_timing_comparison_allowed,survivor_timing_drives_verdict
t5_2_speed_1p5,stable_speed,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,2,2,1.5,[],[],none,True,True,True,True,"[false, false]","[109854, 109854]","[109854, 109854]","[109432, 109432]","[68047, 68047]","[0.7957038284337801, 0.7957038284337801]","[537.4446465999936, 518.9768265999737]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[6.241294167455082, 6.241294167455082]","[{""max"": 9.683333333333334, ""mean"": 6.241294167455082, ""min"": 1.2333333333333334, ""p50"": 6.366666666666666, ""p95"": 8.1, ""p99"": 8.916666666666666}, {""max"": 9.683333333333334, ""mean"": 6.241294167455082, ""min"": 1.2333333333333334, ""p50"": 6.366666666666666, ""p95"": 8.1, ""p99"": 8.916666666666666}]",True,False,False,False,False,True,109854,False,85518,130809,False,False
t5_2_speed_2,stable_speed,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,2,2,2.0,[],[],none,True,True,True,True,"[false, false]","[100470, 100470]","[100469, 100469]","[100172, 100172]","[58854, 58854]","[0.6882059917210411, 0.6882059917210411]","[485.1964171999716, 459.03230909997365]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[4.653289156407246, 4.653289156407246]","[{""max"": 7.366666666666666, ""mean"": 4.653289156407246, ""min"": 0.95, ""p50"": 4.816666666666666, ""p95"": 5.916666666666667, ""p99"": 6.783333333333333}, {""max"": 7.366666666666666, ""mean"": 4.653289156407246, ""min"": 0.95, ""p50"": 4.816666666666666, ""p95"": 5.916666666666667, ""p99"": 6.783333333333333}]",True,False,False,False,False,True,100470,False,85518,130809,False,False
t5_2_speed_2p5,stable_speed,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,2,2,2.5,[],[],none,True,True,True,True,"[false, false]","[115827, 115827]","[115824, 115824]","[115508, 115508]","[73081, 73081]","[0.8545686288266797, 0.8545686288266797]","[391.7803325999994, 410.747169499984]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[3.8904601803155523, 3.8904601803155523]","[{""max"": 5.983333333333333, ""mean"": 3.8904601803155523, ""min"": 0.7666666666666667, ""p50"": 3.966666666666667, ""p95"": 5.033333333333333, ""p99"": 5.533333333333333}, {""max"": 5.983333333333333, ""mean"": 3.8904601803155523, ""min"": 0.7666666666666667, ""p50"": 3.966666666666667, ""p95"": 5.033333333333333, ""p99"": 5.533333333333333}]",True,False,False,False,False,True,115827,False,85518,130809,False,False
t5_2_speed_3,stable_speed,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,2,2,3.0,[],[],none,True,True,True,True,"[false, false]","[110542, 110542]","[110540, 110540]","[110350, 110350]","[69267, 69267]","[0.8099698309127903, 0.8099698309127903]","[499.59193029999733, 435.05591060000006]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[3.249003136200717, 3.249003136200717]","[{""max"": 5.066666666666666, ""mean"": 3.249003136200717, ""min"": 0.6666666666666666, ""p50"": 3.316666666666667, ""p95"": 4.25, ""p99"": 4.7}, {""max"": 5.066666666666666, ""mean"": 3.249003136200717, ""min"": 0.6666666666666666, ""p50"": 3.316666666666667, ""p95"": 4.25, ""p99"": 4.7}]",True,False,False,False,False,True,110542,False,85518,130809,False,False
t5_5_fault_single_1,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,1,1,2.5,[1],"[[6, 12]]",8260:6:12:fault,True,True,True,,[false],[116226],[116225],[115857],[73369],[0.8579363408872985],[526.3277862999821],CAPACITY_ONLY_TABLE_5_5,False,[null],[null],[null],[null],True,False,False,False,False,False,,False,85518,130809,False,False
t5_5_fault_single_2,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,1,1,2.5,[2],"[[8, 11]]",8260:8:11:fault,True,True,True,,[false],[111910],[111908],[111600],[67435],[0.788547440304965],[502.347067900002],CAPACITY_ONLY_TABLE_5_5,False,[null],[null],[null],[null],True,False,False,False,False,False,,False,85518,130809,False,False
t5_5_fault_single_3,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,1,1,2.5,[3],"[[13, 23]]",8260:13:23:fault,True,True,True,,[false],[111222],[111220],[110944],[66674],[0.779648728922566],[501.09834169998066],CAPACITY_ONLY_TABLE_5_5,False,[null],[null],[null],[null],True,False,False,False,False,False,,False,85518,130809,False,False
t5_5_fault_single_4,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,1,1,2.5,[4],"[[24, 27]]",8260:24:27:fault,True,True,True,,[false],[83563],[83558],[83347],[38070],[0.44516943801304987],[374.5142831999692],CAPACITY_ONLY_TABLE_5_5,False,[null],[null],[null],[null],True,False,False,False,False,False,,False,85518,130809,False,False
t5_5_fault_single_5,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,1,1,2.5,[5],"[[14, 46]]",8260:14:46:fault,True,True,True,,[false],[81474],[81471],[81232],[44042],[0.5150026894922707],[416.5681930000428],CAPACITY_ONLY_TABLE_5_5,False,[null],[null],[null],[null],True,False,False,False,False,False,,False,85518,130809,False,False
t5_5_fault_single_6,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,1,1,2.5,[6],"[[43, 15]]",8260:43:15:fault,True,True,True,,[false],[109367],[109365],[109099],[66401],[0.776456418531771],[486.3858106000116],CAPACITY_ONLY_TABLE_5_5,False,[null],[null],[null],[null],True,False,False,False,False,False,,False,85518,130809,False,False
t5_5_fault_single_7,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_END_TO_END_CAPACITY,True,False,1,1,2.5,[7],"[[33, 44]]",8260:33:44:fault,True,True,True,,[false],[100597],[100594],[100218],[60556],[0.708108234523726],[475.5207247000071],CAPACITY_ONLY_TABLE_5_5,False,[null],[null],[null],[null],True,False,False,False,False,False,,False,85518,130809,False,False
