variant,tth_denominator,mean_tht,min_tht,max_tht,delta_vs_original_project,complete_bags,failed_segments,node_conflicts,runtime_full_astar_calls,missing_denominator_segments,negative_duration_segments,claim_allowed,notes
official_baseline,original_entry_time_tth,3.97610989,3.13333333,7.79666907,0.00898718,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
official_baseline,java_release_time_tth,3.40839829,1.14545053,5.9084323,-0.55872442,28506,0,0,0,0,0,False,variant does not align with source queue release semantics
official_baseline,processed_segment_attempt_time_tth,3.97610989,3.13333333,7.79666907,0.00898718,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
java_source_queue_one_per_epoch,original_entry_time_tth,4.12430545,3.11684817,9.5313456,0.15718274,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
java_source_queue_one_per_epoch,java_release_time_tth,3.55659385,3.13333333,4.72000018,-0.41052886,28506,0,0,0,0,0,True,source queue release denominator matches original project output inference
java_source_queue_one_per_epoch,processed_segment_attempt_time_tth,3.55659385,3.13333333,4.72000018,-0.41052886,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
open_end_boundary,original_entry_time_tth,3.97426825,3.13333333,7.79666667,0.00714554,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
open_end_boundary,java_release_time_tth,3.40655665,1.2187695,5.87509633,-0.56056606,28506,0,0,0,0,0,False,open-end reservation is engineering-reasonable but not Java-proven
open_end_boundary,processed_segment_attempt_time_tth,3.97426825,3.13333333,7.79666667,0.00714554,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
source_queue_plus_open_end,original_entry_time_tth,4.11441861,3.11684817,9.26969583,0.1472959,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
source_queue_plus_open_end,java_release_time_tth,3.54670701,3.13333333,4.70333333,-0.4204157,28506,0,0,0,0,0,False,open-end reservation is engineering-reasonable but not Java-proven
source_queue_plus_open_end,processed_segment_attempt_time_tth,3.54670701,3.13333333,4.70333333,-0.4204157,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
source_queue_plus_open_end_plus_route_quality,original_entry_time_tth,4.11574991,3.11684817,9.3163625,0.1486272,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
source_queue_plus_open_end_plus_route_quality,java_release_time_tth,3.54803831,3.13333333,4.74666667,-0.4190844,28506,0,0,0,0,0,False,open-end reservation is engineering-reasonable but not Java-proven
source_queue_plus_open_end_plus_route_quality,processed_segment_attempt_time_tth,3.54803831,3.13333333,4.74666667,-0.4190844,28506,0,0,0,0,0,False,not the denominator supported by original project output inference
original_project_text_result,original_entry_time_tth,5.76493675,3.11684817,27.14962583,1.79781404,28506,0,original_project_text,original_project_text,0,0,True,baseline text result; not a no-A* promotion claim
original_project_text_result,java_release_time_tth,5.19722515,3.13333333,24.31666667,1.23010244,28506,0,original_project_text,original_project_text,0,0,True,baseline text result; not a no-A* promotion claim
original_project_text_result,processed_segment_attempt_time_tth,3.96712271,3.13333333,5.98333333,0,28506,0,original_project_text,original_project_text,0,0,True,baseline text result; not a no-A* promotion claim
