gate,pass,value,threshold,decision
teacher_replay_parity_144,True,144/144,144/144,pass
node_window_conflicts_zero,True,0,0,pass
edge_capacity_primary_disabled,True,not_applied_original_cie_node_window_primary,no edge_capacity=1 primary,pass
interface_slices_cover_all_route_edges,True,1186,> route-level teacher count,pass
branch_node_slices_positive,True,533,>0,pass
source_retry_slices_match_g3k,True,17,17,pass
forbidden_feature_audit_pass,True,all clear,no forbidden feature in model input,pass
train_val_test_split_created,True,test;train;val,train;val;test,pass
scenario_coverage_required_contexts,True,buffer_capacity;merge_window;no_fault;repair_window;static_fault,no_fault/static_fault/repair_window/merge_window,pass
