window_name,window_size,teacher_planned,g4d_planned,node_window_conflicts,interface_decisions,fallback_actions,fallback_rate_by_interface,estimated_original_cie_astar_calls,actual_astar_call_reduction_rate,decision
g4d_first1024_no_fault,1024,1024,1024,0,8864,1432,0.16155235,1519,0.05727452,pass_window
g4d_first144_no_fault,144,144,144,0,1209,199,0.16459884,196,-0.01530612,safety_pass_but_astar_regression
g4d_first256_no_fault,256,256,256,0,2149,353,0.16426245,334,-0.05688623,safety_pass_but_astar_regression
g4d_first512_no_fault,512,512,512,0,4235,678,0.16009445,654,-0.03669725,safety_pass_but_astar_regression
g4d_offset2048_1024_high_density,1024,977,977,0,9713,2077,0.21383713,10970,0.81066545,negative_teacher_window_preserved
g4d_offset512_512_high_density,512,512,512,0,4620,755,0.16341991,852,0.11384977,pass_window
g4d_offset64_repair512,512,512,512,0,4296,675,0.15712291,706,0.04390935,pass_window
g4d_offset64_static512,512,512,512,0,4227,617,0.14596641,621,0.00644122,pass_window
