policy,window_name,task_count,bounded_astar_emergency_calls,full_cie_astar_emergency_calls,bounded_strategy,runtime_role,task_id,segment_id,current_node,goal_node,bounded_next_node,bounded_reason,full_cie_astar_used
model_only_no_astar,g4d_first1024_no_fault,1024,0,0,,emergency_only_not_default_fallback,,,,,,,
model_only_no_astar,g4d_first144_no_fault,144,0,0,,emergency_only_not_default_fallback,,,,,,,
model_only_no_astar,g4d_first256_no_fault,256,0,0,,emergency_only_not_default_fallback,,,,,,,
model_only_no_astar,g4d_first512_no_fault,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_only_no_astar,g4d_offset2048_1024_high_density,977,0,0,,emergency_only_not_default_fallback,,,,,,,
model_only_no_astar,g4d_offset512_512_high_density,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_only_no_astar,g4d_offset64_repair512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_only_no_astar,g4d_offset64_static512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_first1024_no_fault,1024,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_first144_no_fault,144,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_first256_no_fault,256,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_first512_no_fault,512,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_offset2048_1024_high_density,977,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_offset512_512_high_density,512,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_offset64_repair512,512,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_bounded_emergency,g4d_offset64_static512,512,0,0,bounded_local_search_k5,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_first1024_no_fault,1024,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_first144_no_fault,144,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_first256_no_fault,256,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_first512_no_fault,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_offset2048_1024_high_density,977,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_offset512_512_high_density,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_offset64_repair512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_local_window_k3_fallback,g4d_offset64_static512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_first1024_no_fault,1024,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_first144_no_fault,144,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_first256_no_fault,256,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_first512_no_fault,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_offset2048_1024_high_density,977,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_offset512_512_high_density,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_offset64_repair512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_node_window_aware_fallback,g4d_offset64_static512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_first1024_no_fault,1024,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_first144_no_fault,144,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_first256_no_fault,256,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_first512_no_fault,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_offset2048_1024_high_density,977,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_offset512_512_high_density,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_offset64_repair512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_pibt_lite_fallback,g4d_offset64_static512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_first1024_no_fault,1024,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_first144_no_fault,144,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_first256_no_fault,256,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_first512_no_fault,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_offset2048_1024_high_density,977,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_offset512_512_high_density,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_offset64_repair512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_distance_fallback,g4d_offset64_static512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_first1024_no_fault,1024,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_first144_no_fault,144,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_first256_no_fault,256,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_first512_no_fault,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_offset2048_1024_high_density,977,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_offset512_512_high_density,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_offset64_repair512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
model_plus_static_traffic_map_fallback,g4d_offset64_static512,512,0,0,,emergency_only_not_default_fallback,,,,,,,
