start,goal,match,path_length,python_path,cpp_path
0,47,1,9,"[0, 6, 12, 13, 23, 24, 27, 28, 47]","[0, 6, 12, 13, 23, 24, 27, 28, 47]"
0,48,1,9,"[0, 6, 12, 13, 23, 24, 27, 45, 48]","[0, 6, 12, 13, 23, 24, 27, 45, 48]"
0,49,1,10,"[0, 6, 8, 11, 14, 46, 36, 38, 37, 49]","[0, 6, 8, 11, 14, 46, 36, 38, 37, 49]"
0,50,1,9,"[0, 6, 8, 11, 14, 46, 36, 44, 50]","[0, 6, 8, 11, 14, 46, 36, 44, 50]"
0,51,1,8,"[0, 6, 8, 11, 14, 46, 35, 51]","[0, 6, 8, 11, 14, 46, 35, 51]"
1,47,1,10,"[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[1, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
1,48,1,10,"[1, 7, 8, 11, 13, 23, 24, 27, 45, 48]","[1, 7, 8, 11, 13, 23, 24, 27, 45, 48]"
1,49,1,10,"[1, 7, 8, 11, 14, 46, 36, 38, 37, 49]","[1, 7, 8, 11, 14, 46, 36, 38, 37, 49]"
1,50,1,9,"[1, 7, 8, 11, 14, 46, 36, 44, 50]","[1, 7, 8, 11, 14, 46, 36, 44, 50]"
1,51,1,8,"[1, 7, 8, 11, 14, 46, 35, 51]","[1, 7, 8, 11, 14, 46, 35, 51]"
2,47,1,11,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47]"
2,48,1,11,"[2, 9, 7, 8, 11, 13, 23, 24, 27, 45, 48]","[2, 9, 7, 8, 11, 13, 23, 24, 27, 45, 48]"
2,49,1,11,"[2, 9, 7, 8, 11, 14, 46, 36, 38, 37, 49]","[2, 9, 7, 8, 11, 14, 46, 36, 38, 37, 49]"
2,50,1,10,"[2, 9, 7, 8, 11, 14, 46, 36, 44, 50]","[2, 9, 7, 8, 11, 14, 46, 36, 44, 50]"
2,51,1,9,"[2, 9, 7, 8, 11, 14, 46, 35, 51]","[2, 9, 7, 8, 11, 14, 46, 35, 51]"
3,47,1,9,"[3, 16, 17, 18, 22, 24, 27, 28, 47]","[3, 16, 17, 18, 22, 24, 27, 28, 47]"
3,48,1,9,"[3, 16, 17, 18, 22, 24, 27, 45, 48]","[3, 16, 17, 18, 22, 24, 27, 45, 48]"
3,49,1,14,"[3, 16, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]","[3, 16, 17, 18, 22, 24, 27, 28, 29, 30, 31, 32, 37, 49]"
3,50,1,13,"[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]","[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 36, 44, 50]"
3,51,1,12,"[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]","[3, 16, 17, 18, 22, 26, 43, 15, 14, 46, 35, 51]"
4,47,1,8,"[4, 17, 18, 22, 24, 27, 28, 47]","[4, 17, 18, 22, 24, 27, 28, 47]"
4,48,1,8,"[4, 17, 18, 22, 24, 27, 45, 48]","[4, 17, 18, 22, 24, 27, 45, 48]"
