variant,scenario,context,tick_seconds,max_retry_delay_seconds,max_tasks,planned,unplanned,node_window_conflicts,diagnostic_edge_overlap_only,diagnostic_merge_overlap_only,edge_capacity_model,edge_overlap_counted_as_primary,legacy_path_match_count,legacy_path_mismatch_count,inserted_wait_task_count,g3j_no_path_recovered_count,g3j_no_path_remaining_count,total_retry_attempts,g3j_retry_attempts,mean_recovery_delay_seconds,max_recovery_delay_seconds,g4a_pilot_candidate,decision,teacher_route_source
g3j_primary_single_attempt,legacy_first16,no_fault,,,16,16,0,0,28,0,not_applied_original_cie_node_window_primary,False,16,0,0,0,0,0,0,,,False,baseline_negative_inventory_for_retry_audit,original_cie_legacy_astar
g3j_primary_single_attempt,legacy_first16_buffer2,buffer_capacity,,,16,16,0,0,28,0,not_applied_original_cie_node_window_primary,False,16,0,0,0,0,0,0,,,False,baseline_negative_inventory_for_retry_audit,original_cie_legacy_astar
g3j_primary_single_attempt,legacy_first32,no_fault,,,32,31,1,0,81,0,not_applied_original_cie_node_window_primary,False,31,0,0,0,1,0,0,,,False,baseline_negative_inventory_for_retry_audit,original_cie_legacy_astar
g3j_primary_single_attempt,legacy_offset32_static16,static_fault,,,16,16,0,0,38,0,not_applied_original_cie_node_window_primary,False,16,0,0,0,0,0,0,,,False,baseline_negative_inventory_for_retry_audit,original_cie_legacy_astar
g3j_primary_single_attempt,legacy_offset64_repair32,repair_window,,,32,24,8,0,129,0,not_applied_original_cie_node_window_primary,False,24,0,0,0,8,0,0,,,False,baseline_negative_inventory_for_retry_audit,original_cie_legacy_astar
g3j_primary_single_attempt,legacy_offset64_merge32,merge_window,,,32,24,8,0,129,25,not_applied_original_cie_node_window_primary,False,24,0,0,0,8,0,0,,,False,baseline_negative_inventory_for_retry_audit,original_cie_legacy_astar
g3j_primary_single_attempt,ALL,aggregate,,,144,127,17,0,433,25,not_applied_original_cie_node_window_primary,False,127,0,0,0,17,0,0,,,False,blocker_continue_java_semantics_audit,original_cie_legacy_astar
java_retry_tick_1s_max_delay_60s,legacy_first16,no_fault,1,60,16,16,0,0,28,0,not_applied_original_cie_node_window_primary,False,16,0,0,0,0,16,0,,,False,scenario_row,original_cie_legacy_astar
java_retry_tick_1s_max_delay_60s,legacy_first16_buffer2,buffer_capacity,1,60,16,16,0,0,28,0,not_applied_original_cie_node_window_primary,False,16,0,0,0,0,16,0,,,False,scenario_row,original_cie_legacy_astar
java_retry_tick_1s_max_delay_60s,legacy_first32,no_fault,1,60,32,32,0,0,90,0,not_applied_original_cie_node_window_primary,False,32,0,0,1,0,34,0,1.89353,1.89353,False,scenario_row,original_cie_legacy_astar
java_retry_tick_1s_max_delay_60s,legacy_offset32_static16,static_fault,1,60,16,16,0,0,38,0,not_applied_original_cie_node_window_primary,False,16,0,0,0,0,16,0,,,False,scenario_row,original_cie_legacy_astar
java_retry_tick_1s_max_delay_60s,legacy_offset64_repair32,repair_window,1,60,32,32,0,0,186,0,not_applied_original_cie_node_window_primary,False,32,0,0,8,0,55,0,1.411936,2.39552,False,scenario_row,original_cie_legacy_astar
