artifact,check,status,observed,expected,sha256,source_input_sha256,manifest_path,notes
C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,line_count,PASS,43603,43603,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch_manifest.json,Formal source queue artifact must keep 43603 processed segments.
C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,source_input_hash,PASS,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch_manifest.json,Formal artifact is tied to data/processed/tasks/inputdata.jsonl without editing that file.
C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,test_write_guard,PASS,tests pass temp artifact_dir,no test writes formal g4irsf7 artifact path,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch_manifest.json,Unit tests must pass a temp artifact_dir and must not write artifacts/tasks/g4irsf7.
