scenario,task_id,segment_id,start,goal,path,decision_index,current_node,selected_next_node,candidate_next_nodes,selected_direct_faulted,selected_dead_end_depth2,selected_dead_end_depth3,safe_alternatives_depth3,fault_edge,uses_teacher_path_or_future_schedule
static_fault_18_22,0,0:storage_in:g4irsf2_c0,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,0,0:storage_in:g4irsf2_c0,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,0,0:storage_in:g4irsf2_c0,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,28506,28506:storage_in:g4irsf2_c1,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,28506,28506:storage_in:g4irsf2_c1,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,28506,28506:storage_in:g4irsf2_c1,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,57012,57012:storage_in:g4irsf2_c2,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,57012,57012:storage_in:g4irsf2_c2,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,57012,57012:storage_in:g4irsf2_c2,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,85518,85518:storage_in:g4irsf2_c3,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,85518,85518:storage_in:g4irsf2_c3,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,85518,85518:storage_in:g4irsf2_c3,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,114024,114024:storage_in:g4irsf2_c4,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,114024,114024:storage_in:g4irsf2_c4,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,114024,114024:storage_in:g4irsf2_c4,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,142530,142530:storage_in:g4irsf2_c5,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,142530,142530:storage_in:g4irsf2_c5,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,142530,142530:storage_in:g4irsf2_c5,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,171036,171036:storage_in:g4irsf2_c6,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,171036,171036:storage_in:g4irsf2_c6,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,171036,171036:storage_in:g4irsf2_c6,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,199542,199542:storage_in:g4irsf2_c7,3,47,"[3, 16, 17, 18]",0,3,16,[16],False,True,True,[],"[18, 22]",False
static_fault_18_22,199542,199542:storage_in:g4irsf2_c7,3,47,"[3, 16, 17, 18]",1,16,17,"[17, 21]",False,True,True,[21],"[18, 22]",False
static_fault_18_22,199542,199542:storage_in:g4irsf2_c7,3,47,"[3, 16, 17, 18]",2,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,1,1:storage_in:g4irsf2_c0,4,47,"[4, 17, 18]",0,4,17,[17],False,True,True,[],"[18, 22]",False
static_fault_18_22,1,1:storage_in:g4irsf2_c0,4,47,"[4, 17, 18]",1,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,28507,28507:storage_in:g4irsf2_c1,4,47,"[4, 17, 18]",0,4,17,[17],False,True,True,[],"[18, 22]",False
static_fault_18_22,28507,28507:storage_in:g4irsf2_c1,4,47,"[4, 17, 18]",1,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,57013,57013:storage_in:g4irsf2_c2,4,47,"[4, 17, 18]",0,4,17,[17],False,True,True,[],"[18, 22]",False
static_fault_18_22,57013,57013:storage_in:g4irsf2_c2,4,47,"[4, 17, 18]",1,17,18,[18],False,True,True,[],"[18, 22]",False
static_fault_18_22,85519,85519:storage_in:g4irsf2_c3,4,47,"[4, 17, 18]",0,4,17,[17],False,True,True,[],"[18, 22]",False
static_fault_18_22,85519,85519:storage_in:g4irsf2_c3,4,47,"[4, 17, 18]",1,17,18,[18],False,True,True,[],"[18, 22]",False
