dimension,value,count,fraction
scenario,paper_main_2_5_repeat_1,43603,0.87206
scenario,paper_main_2_5_repeat_2,6397,0.12794
category,model_vs_fallback_disagreement,43076,0.86152
category,fallback_high_frequency,6924,0.13848
category,edge_pressure_high,2999,0.05998
category,p95_or_p99_delay,2706,0.05412
category,high_tth_tail,546,0.01092
category,large_detour,36,0.00072
current_node,52,16382,0.32764
current_node,3,5657,0.11314
current_node,4,5654,0.11308
current_node,5,5653,0.11306
current_node,53,5196,0.10392
current_node,0,3823,0.07646
current_node,2,3820,0.0764
current_node,1,3815,0.0763
goal_node,47,18499,0.36998
goal_node,49,14162,0.28324
goal_node,50,10109,0.20218
goal_node,48,7230,0.1446
