scenario,family,task_offset,max_tasks,fault_edges,fault_windows,node_capacities,merge_groups,merge_capacity,merge_headway_seconds,repeat_count,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_active_steps,cpp_active_steps,python_conflicts,cpp_conflicts,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,makespan_abs_diff,python_elapsed_mean_seconds,python_elapsed_std_seconds,python_elapsed_ci95_seconds,python_elapsed_min_seconds,python_elapsed_max_seconds,cpp_elapsed_mean_seconds,cpp_elapsed_std_seconds,cpp_elapsed_ci95_seconds,cpp_elapsed_min_seconds,cpp_elapsed_max_seconds,python_active_steps_per_second,cpp_active_steps_per_second,python_tasks_per_second,cpp_tasks_per_second,cpp_elapsed_speedup,cpp_active_step_speedup,cpp_task_speedup,parity_pass,first_mismatch_field,python_value,cpp_value,python_version,platform,machine,processor,cpu_count,timer,timer_resolution_seconds,notes
legacy_first16,rolling_horizon_sipp,0,16,none,none,none,none,1,0.0,3,16,16,0,0,16,16,0,0,52.74050093749918,52.74050093749918,0.0,0.0,0.019889633326480787,0.020417106216688918,0.023104130669745915,0.008003000053577125,0.043464999995194376,0.02076159999705851,0.0005610690204951524,0.0006349093660329984,0.020279800053685904,0.021377600030973554,804.4391637274589,770.6535142892103,804.4391637274589,770.6535142892103,0.9580009888110135,0.9580009888110134,0.9580009888110134,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16,periodic_replanning_sipp,0,16,none,none,none,none,1,0.0,3,16,16,0,0,120,120,0,0,77.86919356250007,77.86919356250007,0.0,0.0,0.04721899998063842,0.000260835485037331,0.00029516313750099896,0.046924900030717254,0.047422299976460636,0.1236726666490237,0.0020742186891483964,0.0023471994083344395,0.12167489994317293,0.12581570004113019,2541.349881386826,970.3033277397784,338.84665085157684,129.37377703197046,0.3818062734479833,0.3818062734479833,0.3818062734479833,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16,pibt_active_bag_replay,0,16,none,none,none,none,1,0.0,3,0,0,16,16,19149,19149,0,0,0.0,0.0,0.0,0.0,5.414497766682568,0.10224393708987077,0.11569990661961435,5.299095800030045,5.493776799994521,5.473057866639768,0.31532284314331194,0.35682138760604143,5.267733099986799,5.8361234000185505,3536.6161046054845,3498.775358601625,2.955029383972414,2.9234114438156564,0.9893002958521333,0.9893002958521333,0.9893002958521333,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16,edge_score_event,0,16,none,none,none,none,1,0.0,3,16,16,0,0,173,173,0,0,57.01249999999948,57.01249999999948,0.0,0.0,0.12399103333397458,0.0162769274641135,0.01841907736785245,0.1101135000353679,0.14190699998289347,0.04628869999820987,0.009145774266313753,0.010349417859823445,0.04089410009328276,0.05684849992394447,1395.2621842743893,3737.4132349080974,129.04158929705335,345.6567153672229,2.6786458323255937,2.6786458323255937,2.6786458323255937,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16,fallback_event,0,16,none,none,none,none,1,0.0,3,15,15,1,1,168,168,0,0,57.6933333333327,57.6933333333327,0.0,0.0,0.0458941999822855,0.0008513778516148863,0.0009634247343514022,0.04497300006914884,0.04665209993254393,0.03772833330246309,0.007460432550049764,0.008442274172442863,0.032751500024460256,0.04630619997624308,3660.593278994853,4452.886870277732,348.62793133284316,424.0844638359745,1.2164385745417834,1.2164385745417834,1.2164385745417834,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16_buffer2,rolling_horizon_sipp,0,16,none,none,28:2;47:2,none,1,0.0,3,16,16,0,0,16,16,0,0,52.74050093749918,52.74050093749918,0.0,0.0,0.011043699962707857,0.0010591920808531116,0.0011985886726879652,0.01032519992440939,0.012260099989362061,0.02380653334936748,0.002855621867378696,0.0032314403455163485,0.020583000034093857,0.026019299984909594,1448.7898126559467,672.0844133497121,1448.7898126559467,672.0844133497121,0.4638936631654217,0.4638936631654217,0.4638936631654217,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16_buffer2,periodic_replanning_sipp,0,16,none,none,28:2;47:2,none,1,0.0,3,16,16,0,0,120,120,0,0,77.86919356250007,77.86919356250007,0.0,0.0,0.060772166665022574,0.006631493352771586,0.007504241165809702,0.05554790003225207,0.06823269999586046,0.1531183666860064,0.008522096115092255,0.00964365959277242,0.1456786000635475,0.16241620003711432,1974.5881475880637,783.7074192809222,263.2784196784085,104.49432257078962,0.3968966491762911,0.3968966491762911,0.396896649176291,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16_buffer2,pibt_active_bag_replay,0,16,none,none,28:2;47:2,none,1,0.0,3,0,0,16,16,19149,19149,0,0,0.0,0.0,0.0,0.0,5.391243233384254,0.041335031206196936,0.04677499113196439,5.36445920006372,5.438848500023596,5.481962433356482,0.12115021532635735,0.13709437448486494,5.377527400036342,5.614786199992523,3551.870908257939,3493.0921604793816,2.96777557742582,2.9186628318799994,0.9834513276814482,0.9834513276814483,0.9834513276814483,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16_buffer2,edge_score_event,0,16,none,none,28:2;47:2,none,1,0.0,3,16,16,0,0,173,173,0,0,57.01249999999948,57.01249999999948,0.0,0.0,0.11919866665266454,0.0072927424218334974,0.0082525149287373,0.11316329997498542,0.1273021000670269,0.046353633321511246,0.00524801101293941,0.005938683519220151,0.04041319992393255,0.05036069999914616,1451.3585164849894,3732.1777734242078,134.22968938589497,345.17251083692094,2.5715064410570863,2.5715064410570863,2.5715064410570863,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
legacy_first16_buffer2,fallback_event,0,16,none,none,28:2;47:2,none,1,0.0,3,15,15,1,1,168,168,0,0,57.6933333333327,57.6933333333327,0.0,0.0,0.0447219000197947,0.00022150532297582402,0.0002506568693801729,0.04451000003609806,0.04495190002489835,0.04301423338862757,0.005476808953277286,0.006197592762010595,0.037980100023560226,0.04884620010852814,3756.5488032851968,3905.6839275070547,357.76655269382826,371.9698978578147,1.0397000363981523,1.0397000363981523,1.0397000363981523,True,none,,,3.11.15,Windows-10-10.0.26200-SP0,AMD64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",22,perf_counter,1e-07,repeated local timing with hardware metadata; not a cross-machine normalized benchmark
