scenario,status,intended_scope,task_path,executed_rows,generated_rows,coverage_fraction,min_pass_time,max_pass_time,executed_time_span_seconds,executed_copy_indices,executed_copy_count,full_scope_proven
high_flow_no_fault_32x_smoke,PREFIX_MEASURED,32x full scale,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\high_flow_no_fault_32x_smoke\java_source_queue_one_per_epoch.jsonl,32768,1395296,0.02348462261770979,8267.0,19355.0,11088.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",32,False
rolling_7_day_1x_smoke,PREFIX_MEASURED,7 complete days,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\rolling_7_day_1x_smoke\java_source_queue_one_per_epoch.jsonl,32768,305221,0.10735827482381619,8267.0,61529.0,53262.0,[0],1,False
rolling_2_day_1x,PREFIX_MEASURED,2 complete days,C:\PROGRAMING\czr005\.pytest_cache\g4irsf10\tasks\rolling_2_day_1x\java_source_queue_one_per_epoch.jsonl,87206,87206,1.0,8267.0,168337.0,160070.0,"[0, 1]",2,True
