sample_scope,stage,stage_type,value,wall_seconds,task_count
g4irsf3_profile_sample,bottleneck_score_computation,seconds,0.0052768,1.3496631,4096
g4irsf3_profile_sample,candidate_enumeration,seconds,0.006376,1.3496631,4096
g4irsf3_profile_sample,earliest_safe_reservation_lookup,seconds,0.5878969,1.3496631,4096
g4irsf3_profile_sample,edge_overlap_diagnostic,seconds,0.0071549,1.3496631,4096
g4irsf3_profile_sample,feature_row_computation,seconds,0.4097016,1.3496631,4096
g4irsf3_profile_sample,graph_construction,seconds,0.000049,1.3496631,4096
g4irsf3_profile_sample,historical_risk_lookup,seconds,0.004841,1.3496631,4096
g4irsf3_profile_sample,model_construction,seconds,0.0000037,1.3496631,4096
g4irsf3_profile_sample,model_inference,seconds,0.0497496,1.3496631,4096
g4irsf3_profile_sample,node_window_conflict_audit,seconds,0.0307846,1.3496631,4096
g4irsf3_profile_sample,per_window_aggregation,seconds,0.0001094,1.3496631,4096
g4irsf3_profile_sample,pibt_lite_fallback_scoring,seconds,0.0856387,1.3496631,4096
g4irsf3_profile_sample,pybind_payload_construction,seconds,0.0000083,1.3496631,4096
g4irsf3_profile_sample,reservation_append,seconds,0.0068526,1.3496631,4096
g4irsf3_profile_sample,risk_gate_rule_override,seconds,0.0041249,1.3496631,4096
g4irsf3_profile_sample,runtime_selection_validation,seconds,0.004201,1.3496631,4096
g4irsf3_profile_sample,score_sort_margin,seconds,0.0059278,1.3496631,4096
g4irsf3_profile_sample,source_reservation_lookup,seconds,0.0188415,1.3496631,4096
g4irsf3_profile_sample,task_row_construction,seconds,0.0002242,1.3496631,4096
g4irsf3_profile_sample,window_route_grouping,seconds,0.0077462,1.3496631,4096
g4irsf3_profile_sample,earliest_safe_lookup_count,counter,40271,1.3496631,4096
g4irsf3_profile_sample,earliest_safe_scan_count,counter,36390694,1.3496631,4096
g4irsf3_profile_sample,python_wall_clock,seconds,1.3496631,1.3496631,4096
