table_id,row_id,metric,method,unit,measurement_status,paper_evidence,paper_value,paper_dynamic_value,paper_static_value,paper_improvement_percent,hca_evidence,hca_value,hca_primary_success,s4_evidence,s4_value,s4_nominal_value,s4_degraded_value,s4_degradation_delta,s4_primary_success,s4_finish_le_std,s4_finish_le_std_minus_2700,s4_secondary_status,s4_admission_mode,s4_topology_reachable_raw_bag_upper_bound,s4_topology_safety_pass,s4_business_failed_raw_bags,s4_business_failure_is_safety_failure,speed_mps,standard_speed_mps,actual_speed_mps,deviation_percent,line_ids,reconstructed_edges,global_line_mapping_edges,affected_conveyors,mapping_evidence,mapping_basis,case_specific_override,mapping_source_inconsistency,fresh_protocol_status,contains_69_edge_reconstruction,s4_vs_archived,s4_vs_fresh_hca,s4_vs_fresh_hca_evidence,s4_vs_fresh_hca_release_pairing,s4_vs_archived_dynamic,s4_vs_archived_static
5.2,speed_1.5_min,tth_min_minutes,,,MEASURED,ARCHIVED,5.1,,,,EXACT_FRESH,5.1,,EXACT_FRESH,5.088922222221906,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.2,speed_1.5_mean,tth_mean_minutes,,,MEASURED,ARCHIVED,6.44,,,,EXACT_FRESH,6.4199238756752965,,EXACT_FRESH,5.718686732227889,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.2,speed_1.5_max,tth_max_minutes,,,MEASURED,ARCHIVED,9.68,,,,EXACT_FRESH,9.633333333333333,,EXACT_FRESH,9.205622222222397,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.2,speed_2.0_min,tth_min_minutes,,,MEASURED,ARCHIVED,3.87,,,,EXACT_FRESH,3.8666666666666667,,EXACT_FRESH,3.8666999999998857,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,S4_WIN,ORIGINAL_WIN,,,,
5.2,speed_2.0_mean,tth_mean_minutes,,,MEASURED,ARCHIVED,4.93,,,,EXACT_FRESH,4.9273766926261136,,EXACT_FRESH,4.325176983792843,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.2,speed_2.0_max,tth_max_minutes,,,MEASURED,ARCHIVED,7.37,,,,EXACT_FRESH,7.366666666666666,,EXACT_FRESH,5.808400000000014,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.2,speed_2.5_min,tth_min_minutes,,,MEASURED,ARCHIVED,3.13,,,,EXACT_FRESH,3.1333333333333333,,EXACT_FRESH,3.133366666666431,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN,,,,
5.2,speed_2.5_mean,tth_mean_minutes,,,MEASURED,ARCHIVED,3.96,,,,EXACT_FRESH,3.94516943801305,,EXACT_FRESH,3.512828910872565,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,S4_WIN,S4_WIN,,,,
5.2,speed_2.5_max,tth_max_minutes,,,MEASURED,ARCHIVED,5.98,,,,EXACT_FRESH,5.95,,EXACT_FRESH,6.790066666666584,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN,,,,
5.2,speed_3.0_min,tth_min_minutes,,,MEASURED,ARCHIVED,2.63,,,,EXACT_FRESH,2.6333333333333333,,EXACT_FRESH,2.638922222222027,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,ORIGINAL_WIN,ORIGINAL_WIN,,,,
