scenario,context,replay_variant,label_taxonomy,label_role,count,share
legacy_first16,no_fault,g3c_baseline_reproduction,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16,no_fault,g3c_baseline_reproduction,LEGACY_NEXT_GLOBALLY_UNSAFE,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16,no_fault,g3c_baseline_reproduction,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,47,0.27976190476190477
legacy_first16,no_fault,g3c_baseline_reproduction,MOVE_NOW_LEGACY,primary_g4a,117,0.6964285714285714
legacy_first16,no_fault,wait_fixed_hold_1s,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16,no_fault,wait_fixed_hold_1s,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,49,0.2916666666666667
legacy_first16,no_fault,wait_fixed_hold_1s,MOVE_NOW_LEGACY,primary_g4a,117,0.6964285714285714
legacy_first16,no_fault,wait_fixed_hold_2s,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,2,0.013793103448275862
legacy_first16,no_fault,wait_fixed_hold_2s,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,26,0.1793103448275862
legacy_first16,no_fault,wait_fixed_hold_2s,MOVE_NOW_LEGACY,primary_g4a,117,0.8068965517241379
legacy_first16,no_fault,wait_fixed_hold_5s,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,16,0.11678832116788321
legacy_first16,no_fault,wait_fixed_hold_5s,LEGACY_NO_PATH,auxiliary_or_exclusion,3,0.021897810218978103
legacy_first16,no_fault,wait_fixed_hold_5s,MOVE_NOW_LEGACY,primary_g4a,118,0.8613138686131386
legacy_first16,no_fault,jump_to_earliest_safe_time,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,21,0.168
legacy_first16,no_fault,jump_to_earliest_safe_time,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,jump_to_earliest_safe_time,MOVE_NOW_LEGACY,primary_g4a,97,0.776
legacy_first16,no_fault,reroute_from_current_legacy,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16,no_fault,reroute_from_current_legacy,LEGACY_NEXT_GLOBALLY_UNSAFE,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16,no_fault,reroute_from_current_legacy,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,30,0.17543859649122806
legacy_first16,no_fault,reroute_from_current_legacy,MOVE_NOW_LEGACY,primary_g4a,135,0.7894736842105263
legacy_first16,no_fault,reroute_from_current_legacy,REROUTE_NOW_LEGACY,primary_g4a,4,0.023391812865497075
legacy_first16,no_fault,ablation_edge_capacity_2,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,1,0.008264462809917356
legacy_first16,no_fault,ablation_edge_capacity_2,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,1,0.008264462809917356
legacy_first16,no_fault,ablation_edge_capacity_2,MOVE_NOW_LEGACY,primary_g4a,119,0.9834710743801653
legacy_first16,no_fault,ablation_disable_edge_capacity,MOVE_NOW_LEGACY,primary_g4a,121,1.0
legacy_first16,no_fault,ablation_disable_merge_group,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16,no_fault,ablation_disable_merge_group,LEGACY_NEXT_GLOBALLY_UNSAFE,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16,no_fault,ablation_disable_merge_group,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,47,0.27976190476190477
legacy_first16,no_fault,ablation_disable_merge_group,MOVE_NOW_LEGACY,primary_g4a,117,0.6964285714285714
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,21,0.168
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16,no_fault,hybrid_legacy_wait_sipp_fallback,MOVE_NOW_LEGACY,primary_g4a,97,0.776
legacy_first16_buffer2,buffer_capacity,g3c_baseline_reproduction,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16_buffer2,buffer_capacity,g3c_baseline_reproduction,LEGACY_NEXT_GLOBALLY_UNSAFE,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16_buffer2,buffer_capacity,g3c_baseline_reproduction,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,47,0.27976190476190477
legacy_first16_buffer2,buffer_capacity,g3c_baseline_reproduction,MOVE_NOW_LEGACY,primary_g4a,117,0.6964285714285714
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_1s,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,2,0.011904761904761904
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_1s,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,49,0.2916666666666667
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_1s,MOVE_NOW_LEGACY,primary_g4a,117,0.6964285714285714
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_2s,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,2,0.013793103448275862
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_2s,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,26,0.1793103448275862
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_2s,MOVE_NOW_LEGACY,primary_g4a,117,0.8068965517241379
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_5s,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,16,0.11678832116788321
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_5s,LEGACY_NO_PATH,auxiliary_or_exclusion,3,0.021897810218978103
legacy_first16_buffer2,buffer_capacity,wait_fixed_hold_5s,MOVE_NOW_LEGACY,primary_g4a,118,0.8613138686131386
legacy_first16_buffer2,buffer_capacity,jump_to_earliest_safe_time,HOLD_UNTIL_SAFE_LEGACY_NEXT,primary_g4a,21,0.168
legacy_first16_buffer2,buffer_capacity,jump_to_earliest_safe_time,LEGACY_NO_PATH,auxiliary_or_exclusion,7,0.056
legacy_first16_buffer2,buffer_capacity,jump_to_earliest_safe_time,MOVE_NOW_LEGACY,primary_g4a,97,0.776
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,ABSTAIN_NO_TEACHER,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,LEGACY_NEXT_GLOBALLY_UNSAFE,auxiliary_or_exclusion,1,0.005847953216374269
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,LEGACY_NEXT_TEMPORARILY_BLOCKED,auxiliary_or_exclusion,30,0.17543859649122806
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,MOVE_NOW_LEGACY,primary_g4a,135,0.7894736842105263
