repeat,start_epoch,max_epochs,max_new_tasks,epochs_run,generated_count,planned_count,completed_count,fault_event_count,repair_event_count,active_fault_count,active_route_count,unfinished_count,route_size_checksum,route_location_checksum,last_epoch
1,8260,5000,64,4211,64,63,57,1,1,0,6,1,573,84800,12470.0
2,8260,5000,64,4211,64,63,57,1,1,0,6,1,573,84800,12470.0
3,8260,5000,64,4211,64,63,57,1,1,0,6,1,573,84800,12470.0
