scenario,current,legacy_next,branch_or_linear,block_reason,blocked_count
legacy_offset64_repair32,27,28,branch,edge_capacity,53
legacy_first32,27,28,branch,edge_capacity,40
legacy_offset32_static16,27,28,branch,edge_capacity,40
legacy_first32,22,24,branch,edge_capacity,34
legacy_first32,18,22,linear,edge_capacity,33
legacy_offset64_merge32,18,22,linear,edge_capacity+merge_group,33
legacy_offset64_repair32,18,22,linear,edge_capacity,33
legacy_offset64_merge32,27,28,branch,edge_capacity,29
legacy_offset64_merge32,11,13,branch,edge_capacity,25
legacy_offset64_repair32,11,13,branch,edge_capacity,25
legacy_first16,18,22,linear,edge_capacity,22
legacy_first16_buffer2,18,22,linear,edge_capacity,22
legacy_first16,22,24,branch,edge_capacity,18
legacy_first16_buffer2,22,24,branch,edge_capacity,18
legacy_offset32_static16,16,21,branch,edge_capacity,15
legacy_offset64_repair32,22,24,branch,edge_capacity,14
legacy_first16,27,28,branch,edge_capacity,11
legacy_first16_buffer2,27,28,branch,edge_capacity,11
legacy_offset64_merge32,22,24,branch,edge_capacity,11
legacy_first32,11,13,branch,edge_capacity,8
legacy_offset32_static16,11,13,branch,edge_capacity,7
legacy_offset32_static16,18,22,linear,edge_capacity,7
legacy_offset64_repair32,13,23,linear,edge_capacity,5
legacy_offset64_merge32,4,17,linear,edge_capacity,4
legacy_offset64_repair32,4,17,linear,edge_capacity,4
legacy_first32,4,17,linear,edge_capacity,3
legacy_offset32_static16,22,24,branch,edge_capacity,3
legacy_offset32_static16,24,27,linear,edge_capacity,2
legacy_offset64_merge32,13,23,linear,edge_capacity+merge_group,2
legacy_offset64_merge32,24,27,linear,edge_capacity,2
legacy_first32,24,27,linear,edge_capacity,1
legacy_first32,8,11,linear,edge_capacity,1
legacy_offset64_merge32,17,18,linear,edge_capacity,1
legacy_offset64_merge32,8,11,linear,edge_capacity,1
legacy_offset64_repair32,17,18,linear,edge_capacity,1
legacy_offset64_repair32,24,27,linear,edge_capacity,1
legacy_offset64_repair32,8,11,linear,edge_capacity,1
