scenario,policy_family,task_local_index,task_global_index,segment_id,task_id,source_line,task_start,task_goal,pass_time,std,start_deadline_slack,teacher_family,teacher_path,teacher_finish_time,policy_partial_path,policy_decision_count,policy_terminal_reason,first_divergence_current,sipp_teacher_next,policy_next,policy_action_kind,divergence_reason,ready_time,deadline_slack_at_divergence,safe_candidate_count,candidate_count,blocked_candidate_count,active_fault_state,node_capacity_state,merge_group_state,scenario_context,failure_motif,observation_vs_model_guess,suggested_next_fix,slice_scope,prefix_match_len,decision_ordinal,task_decision_ordinal,fallback_used
legacy_first16,fallback_event,8,8,8:storage_in,8,10,0,47,10084.10648,23400.0,13277.49352,rolling_horizon_sipp,0 6 8 11 14 46 36 38 39 47,10155.706479999999,0 6 12 13 23 24 27,8,no_safe_action,6,8,12,move,different_next_node,10088.306480000001,13276.493519999998,3,3,0,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,69,2,True
legacy_first16,pibt_active_bag_replay,0,0,0:storage_in,0,2,3,47,8267.845453,22200.0,13890.154547,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,8316.845453,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+699 more),1472,max_ticks,16,17,21,move,different_next_node,8297.845453,13861.754547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16,pibt_active_bag_replay,1,1,1:storage_in,1,3,4,47,8867.845453,22200.0,13291.754547,rolling_horizon_sipp,4 17 18 22 24 27 28 47,8914.245453,4 17 18 22 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+631 more),1405,max_ticks,28,47,29,move,different_next_node,8937.845453,13258.154547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16,pibt_active_bag_replay,2,2,2:storage_in,2,4,5,47,8875.816299,22200.0,13284.583701,rolling_horizon_sipp,5 19 18 22 24 27 28 47,8939.800872,5 19 18 22 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 ...(+629 more),1410,max_ticks,22,24,26,move,different_next_node,8912.845453,13260.354547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,4,,4,
legacy_first16,pibt_active_bag_replay,3,3,3:storage_in,3,5,3,47,8880.000872,22200.0,13277.999128,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,8929.000872,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+630 more),1400,max_ticks,16,17,21,move,different_next_node,8917.845453,13241.754547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16,pibt_active_bag_replay,4,4,4:storage_in,4,6,3,47,9462.482986,22200.0,12695.517014,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,9511.482986,3 16 21 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+560 more),1338,max_ticks,16,17,21,move,different_next_node,9497.845453,12661.754547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16,pibt_active_bag_replay,5,5,5:storage_in,5,7,4,47,9470.615484,23100.0,13588.984516,rolling_horizon_sipp,4 17 18 22 24 27 28 47,9522.282986,4 17 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 39 40 41 42 25 26 43 15 14 46 36 38 ...(+563 more),1336,max_ticks,28,47,29,move,different_next_node,9542.845453,13553.154547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16,pibt_active_bag_replay,6,6,6:storage_in,6,8,5,47,10062.62162,22200.0,12097.77838,rolling_horizon_sipp,5 19 18 22 24 27 28 47,10108.221619999998,5 19 18 22 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+903 more),1044,max_ticks,28,47,29,move,different_next_node,10132.845453,12063.154547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,7,,7,
legacy_first16,pibt_active_bag_replay,7,7,7:storage_in,7,9,3,47,10073.28213,22200.0,12084.71787,rolling_horizon_sipp,3 16 17 18 22 24 27 28 47,10122.28213,3 16 21 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 ...(+898 more),1042,max_ticks,16,17,21,move,different_next_node,10112.845453,12046.754547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
legacy_first16,pibt_active_bag_replay,8,8,8:storage_in,8,10,0,47,10084.10648,23400.0,13277.49352,rolling_horizon_sipp,0 6 8 11 14 46 36 38 39 47,10155.706479999999,0 6 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 23 24 27 28 29 30 31 32 33 34 12 13 ...(+897 more),1044,max_ticks,6,8,12,move,different_next_node,10112.845453,13251.954547,,,,no,none,none,no_fault,wrong_branch_vs_sipp,model_or_data_limited,Collect SIPP teacher counterfactual slices and run feature ablations before RL.,first_divergence,2,,2,
