scenario,scenario_context,oracle_policy,segment_id,task_id,source_line,failure_motif,first_divergence_current,sipp_teacher_next,edge_score_terminal_reason,oracle_terminal_reason,teacher_finish_time,oracle_finish_time,oracle_decision_count,teacher_path,oracle_path,recovery_status
legacy_first32,no_fault,oracle1_teacher_next,15:storage_in,15,17,wrong_branch_vs_sipp,16,21,no_safe_action,,10762.459529999998,10729.045399999999,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle2_sipp_rank,15:storage_in,15,17,wrong_branch_vs_sipp,16,21,no_safe_action,,10762.459529999998,10729.045399999999,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle2_sipp_rank,19:storage_in,19,21,hold_when_sipp_moves,8,11,no_safe_action,,10784.059529999997,10740.811150000001,13,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle3_lookahead_k2,15:storage_in,15,17,wrong_branch_vs_sipp,16,21,no_safe_action,,10762.459529999998,10729.045399999999,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle3_lookahead_k2,19:storage_in,19,21,hold_when_sipp_moves,8,11,no_safe_action,,10784.059529999997,10740.811150000001,13,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle3_lookahead_k3,15:storage_in,15,17,wrong_branch_vs_sipp,16,21,no_safe_action,,10762.459529999998,10729.045399999999,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle3_lookahead_k3,19:storage_in,19,21,hold_when_sipp_moves,8,11,no_safe_action,,10784.059529999997,10740.811150000001,13,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle3_lookahead_k5,15:storage_in,15,17,wrong_branch_vs_sipp,16,21,no_safe_action,,10762.459529999998,10729.045399999999,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_first32,no_fault,oracle3_lookahead_k5,19:storage_in,19,21,hold_when_sipp_moves,8,11,no_safe_action,,10784.059529999997,10740.811150000001,13,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,recovered
legacy_offset32_static16,static_fault,oracle1_teacher_next,43:storage_in,43,45,static_fault_branch_gap,19,25,no_safe_action,,11941.949620000001,11941.949620000001,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46 36 38 39 47,recovered
legacy_offset32_static16,static_fault,oracle2_sipp_rank,43:storage_in,43,45,static_fault_branch_gap,19,25,no_safe_action,,11941.949620000001,11941.949620000001,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46 36 38 39 47,recovered
legacy_offset32_static16,static_fault,oracle3_lookahead_k2,43:storage_in,43,45,static_fault_branch_gap,19,25,no_safe_action,,11941.949620000001,11941.949620000001,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46 36 38 39 47,recovered
legacy_offset32_static16,static_fault,oracle3_lookahead_k3,43:storage_in,43,45,static_fault_branch_gap,19,25,no_safe_action,,11941.949620000001,11941.949620000001,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46 36 38 39 47,recovered
legacy_offset32_static16,static_fault,oracle3_lookahead_k5,43:storage_in,43,45,static_fault_branch_gap,19,25,no_safe_action,,11941.949620000001,11941.949620000001,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle1_teacher_next,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12606.572989999997,12556.83655,12,4 17 18 22 26 43 15 14 46 36 38 39 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle1_teacher_next,73:storage_in,73,75,repair_window_branch_gap,22,24,no_safe_action,,12533.572989999999,12533.572989999999,7,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle1_teacher_next,87:storage_in,87,89,repair_window_branch_gap,16,21,no_safe_action,,13149.488279999998,13118.37869,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle1_teacher_next,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle2_sipp_rank,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12606.572989999997,12556.83655,12,4 17 18 22 26 43 15 14 46 36 38 39 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle2_sipp_rank,73:storage_in,73,75,repair_window_branch_gap,22,24,no_safe_action,,12533.572989999999,12533.572989999999,7,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle2_sipp_rank,87:storage_in,87,89,repair_window_branch_gap,16,21,no_safe_action,,13149.488279999998,13118.37869,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12606.572989999997,12556.83655,12,4 17 18 22 26 43 15 14 46 36 38 39 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,73:storage_in,73,75,repair_window_branch_gap,22,24,no_safe_action,,12533.572989999999,12533.572989999999,7,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,87:storage_in,87,89,repair_window_branch_gap,16,21,no_safe_action,,13149.488279999998,13118.37869,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12606.572989999997,12556.83655,12,4 17 18 22 26 43 15 14 46 36 38 39 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,73:storage_in,73,75,repair_window_branch_gap,22,24,no_safe_action,,12533.572989999999,12533.572989999999,7,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,87:storage_in,87,89,repair_window_branch_gap,16,21,no_safe_action,,13149.488279999998,13118.37869,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k5,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12606.572989999997,12556.83655,12,4 17 18 22 26 43 15 14 46 36 38 39 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k5,73:storage_in,73,75,repair_window_branch_gap,22,24,no_safe_action,,12533.572989999999,12533.572989999999,7,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k5,87:storage_in,87,89,repair_window_branch_gap,16,21,no_safe_action,,13149.488279999998,13118.37869,7,3 16 21 23 24 27 28 47,3 16 21 23 24 27 28 47,recovered
legacy_offset64_repair32,repair_window,oracle3_lookahead_k5,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle1_teacher_next,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12609.172989999994,12523.83655,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle1_teacher_next,70:storage_in,70,72,hold_when_sipp_moves,7,8,no_safe_action,,12558.706479999999,12562.706479999999,14,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle1_teacher_next,89:storage_in,89,91,hold_when_sipp_moves,4,17,no_safe_action,,13117.08828,13114.24538,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle1_teacher_next,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle2_sipp_rank,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12609.172989999994,12523.83655,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle2_sipp_rank,70:storage_in,70,72,hold_when_sipp_moves,7,8,no_safe_action,,12558.706479999999,12562.706479999999,14,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle2_sipp_rank,89:storage_in,89,91,hold_when_sipp_moves,4,17,no_safe_action,,13117.08828,13114.24538,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k2,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12609.172989999994,12523.83655,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k2,70:storage_in,70,72,hold_when_sipp_moves,7,8,no_safe_action,,12558.706479999999,12562.706479999999,14,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k2,89:storage_in,89,91,hold_when_sipp_moves,4,17,no_safe_action,,13117.08828,13114.24538,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k2,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k3,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12609.172989999994,12523.83655,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k3,70:storage_in,70,72,hold_when_sipp_moves,7,8,no_safe_action,,12558.706479999999,12562.706479999999,14,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k3,89:storage_in,89,91,hold_when_sipp_moves,4,17,no_safe_action,,13117.08828,13114.24538,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k3,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k5,66:storage_in,66,68,hold_when_sipp_moves,4,17,no_safe_action,,12609.172989999994,12523.83655,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k5,70:storage_in,70,72,hold_when_sipp_moves,7,8,no_safe_action,,12558.706479999999,12562.706479999999,14,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46 36 38 39 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k5,89:storage_in,89,91,hold_when_sipp_moves,4,17,no_safe_action,,13117.08828,13114.24538,7,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,recovered
legacy_offset64_merge32,merge_group,oracle3_lookahead_k5,91:storage_in,91,93,hold_when_sipp_moves,4,17,no_safe_action,,13171.088279999996,13167.8367,31,4 17 18 22 24 27 28 47,4 17 18 22 26 43 15 14 46 36 38 39 47,recovered
